"geoid","geolevel","year","crime_score","infrastructure_score","social_cohesion_score","structural_composition_score","level","value"
"85003","zcta",2019,105.83,88.96,80.12,137.46,"safety_score",64.49
"85004","zcta",2019,105.83,86.3,76.32,159.37,"safety_score",46.61
"85006","zcta",2019,105.83,98.78,59.83,131.19,"safety_score",64.46
"85007","zcta",2019,105.83,94.83,66.92,139.4,"safety_score",60.36
"85008","zcta",2019,105.83,101.3,47.01,145.15,"safety_score",47.21
"85009","zcta",2019,105.83,100.9,43.15,126.53,"safety_score",63.04
"85012","zcta",2019,105.83,87.04,86.59,131.73,"safety_score",70.72
"85013","zcta",2019,105.83,97.47,86.2,133.71,"safety_score",69.19
"85014","zcta",2019,105.83,98.85,78.84,142.91,"safety_score",60.35
"85015","zcta",2019,105.83,100.35,45.44,145.64,"safety_score",46.08
"85016","zcta",2019,105.83,99.87,82.62,137.59,"safety_score",66.19
"85017","zcta",2019,105.83,100.4,38.88,130.58,"safety_score",57.04
"85018","zcta",2019,105.83,100.09,85.79,126.75,"safety_score",74.57
"85019","zcta",2019,105.83,98.88,48.48,125.97,"safety_score",64.65
"85020","zcta",2019,105.83,99.81,79.55,122.99,"safety_score",74.33
"85021","zcta",2019,105.83,100.45,58.79,137.14,"safety_score",56.59
"85022","zcta",2019,105.83,100.91,81.5,132.57,"safety_score",69.09
"85023","zcta",2019,105.83,99.7,80.01,125.54,"safety_score",74.92
"85024","zcta",2019,105.83,98.36,98.67,122.22,"safety_score",84.74
"85027","zcta",2019,105.83,100.04,89.96,127.32,"safety_score",76.42
"85028","zcta",2019,105.83,96.97,109.29,96.46,"safety_score",107.41
"85029","zcta",2019,105.83,100.67,71.62,128.76,"safety_score",69.29
"85031","zcta",2019,105.83,99.66,45.82,124.14,"safety_score",66.15
"85032","zcta",2019,105.83,101.59,74.56,127.45,"safety_score",70.7
"85033","zcta",2019,105.83,101.37,45.12,126.27,"safety_score",63.58
"85034","zcta",2019,105.83,79.19,51.51,154.01,"safety_score",43.32
"85035","zcta",2019,105.83,101.21,33.82,135.71,"safety_score",52.1
"85037","zcta",2019,105.83,101.03,66.95,121.87,"safety_score",75.52
"85040","zcta",2019,105.83,99.8,56.27,123.17,"safety_score",68.31
"85041","zcta",2019,105.83,101.29,73.51,111.39,"safety_score",84.72
"85042","zcta",2019,105.83,100.71,76.23,119.88,"safety_score",78.77
"85043","zcta",2019,105.83,100.11,68.88,122.41,"safety_score",75.81
"85044","zcta",2019,105.83,100.34,87.11,128.84,"safety_score",74.67
"85045","zcta",2019,105.83,85.93,111.5,99.41,"safety_score",107.79
"85048","zcta",2019,105.83,99.85,99.18,113.96,"safety_score",91.18
"85050","zcta",2019,105.83,99.46,101.7,111.5,"safety_score",93.12
"85051","zcta",2019,105.83,100.56,62.52,125.67,"safety_score",68.43
"85053","zcta",2019,105.83,99.28,79.86,121.1,"safety_score",77.56
"85054","zcta",2019,105.83,87.65,75.37,149.08,"safety_score",51.91
"85083","zcta",2019,105.83,97.15,111.09,99.12,"safety_score",106.24
"85085","zcta",2019,105.83,98.12,98.17,122.16,"safety_score",82.81
"85086","zcta",2019,105.83,100.37,112.13,109.95,"safety_score",99.5
"85087","zcta",2019,105.83,88.06,111.63,103.3,"safety_score",104.38
"85118","zcta",2019,100.61,102.23,114.05,96.45,"safety_score",109.27
"85119","zcta",2019,100.61,102.7,105.45,113.62,"safety_score",93.59
"85120","zcta",2019,103.22,101.13,102.59,114,"safety_score",93.92
"85121","zcta",2019,100.61,94.4,100.6,102.36,"safety_score",98.93
"85122","zcta",2019,100.61,103.02,83.83,124.97,"safety_score",78.15
"85123","zcta",2019,100.61,102.07,81.69,124.09,"safety_score",78.26
"85128","zcta",2019,100.61,102.47,88.49,114.1,"safety_score",87.89
"85131","zcta",2019,NA,NA,NA,NA,"safety_score",NA
"85132","zcta",2019,NA,NA,NA,NA,"safety_score",NA
"85135","zcta",2019,106.25,89.71,84.76,77.13,"safety_score",111.6
"85137","zcta",2019,100.61,98.01,104.78,112.74,"safety_score",94
