"geoid","geolevel","year","crime_score","infrastructure_score","social_cohesion_score","structural_composition_score","level","value"
"83111","zcta",2019,106.44,126.68,123.36,99.07,"safety_score",113.29
"83120","zcta",2019,106.44,126.68,101.51,104.18,"safety_score",107.04
"83201","zcta",2019,104.03,83.91,96.03,124.65,"safety_score",77.78
"83202","zcta",2019,105.48,92.11,102.82,113.34,"safety_score",90.06
"83203","zcta",2019,106.93,100.32,109.76,65.94,"safety_score",124.22
"83204","zcta",2019,102.26,105.3,97.13,120.91,"safety_score",85.04
"83209","zcta",2019,NA,NA,NA,NA,"safety_score",NA
"83210","zcta",2019,106.93,100.32,64.41,103.26,"safety_score",87.29
"83211","zcta",2019,105.13,110.29,91.66,114.99,"safety_score",90.72
"83212","zcta",2019,101.18,126.68,117.14,73.16,"safety_score",127.96
"83213","zcta",2019,111.56,126.68,103.6,109.79,"safety_score",99.87
"83214","zcta",2019,104.03,83.91,95.47,107.49,"safety_score",90.33
"83215","zcta",2019,NA,NA,NA,NA,"safety_score",NA
"83217","zcta",2019,105.45,126.68,120.05,86.74,"safety_score",121.09
"83218","zcta",2019,106.93,100.32,114.56,88.49,"safety_score",112.24
"83220","zcta",2019,102.71,126.68,123.36,60.03,"safety_score",138.99
"83221","zcta",2019,106.93,100.32,97.5,103.99,"safety_score",96.22
"83223","zcta",2019,102.71,126.68,123.36,80.83,"safety_score",125.61
"83226","zcta",2019,95.85,126.68,109.12,92.88,"safety_score",111.06
"83227","zcta",2019,NA,NA,NA,NA,"safety_score",NA
"83228","zcta",2019,95.31,117.07,120.59,111.25,"safety_score",102.27
"83232","zcta",2019,95.31,117.07,109.35,91.27,"safety_score",111.99
"83233","zcta",2019,NA,NA,NA,NA,"safety_score",NA
"83234","zcta",2019,104.03,83.91,111.54,80.07,"safety_score",112.97
"83235","zcta",2019,95.85,126.68,102.55,63.68,"safety_score",129.29
"83236","zcta",2019,101.75,77.09,112.24,99.98,"safety_score",99.28
"83237","zcta",2019,95.31,117.07,105.54,124.38,"safety_score",90.27
"83238","zcta",2019,NA,NA,NA,NA,"safety_score",NA
"83239","zcta",2019,102.71,126.68,117.71,85.95,"safety_score",121.49
"83241","zcta",2019,100.38,121.88,100.53,88.96,"safety_score",111.06
"83243","zcta",2019,NA,NA,NA,NA,"safety_score",NA
"83244","zcta",2019,111.56,126.68,120.01,71.89,"safety_score",130.38
"83245","zcta",2019,104.03,83.91,114.72,94.42,"safety_score",105.97
"83246","zcta",2019,104.03,83.91,116.22,95.74,"safety_score",106.3
"83250","zcta",2019,104.03,83.91,112.16,105.74,"safety_score",98.39
"83251","zcta",2019,81.5,126.68,119.22,100.61,"safety_score",109.73
"83252","zcta",2019,101.88,126.68,112.29,92.95,"safety_score",114.4
"83253","zcta",2019,NA,NA,NA,NA,"safety_score",NA
"83254","zcta",2019,104.08,126.68,104.29,104.05,"safety_score",104.35
"83255","zcta",2019,96.53,126.68,120.48,95.08,"safety_score",114.98
"83261","zcta",2019,102.71,126.68,104.81,87.63,"safety_score",115.5
"83262","zcta",2019,106.93,100.32,110.09,72.27,"safety_score",120.98
"83263","zcta",2019,95.31,117.07,103.94,101.33,"safety_score",102.8
"83271","zcta",2019,100.49,126.68,113.75,97.03,"safety_score",112.51
"83272","zcta",2019,102.71,126.68,122.39,74.03,"safety_score",130.44
"83274","zcta",2019,101.75,77.09,105.09,98.05,"safety_score",97.55
"83276","zcta",2019,104.08,126.68,101.65,92.65,"safety_score",109.82
"83277","zcta",2019,106.93,100.32,123.36,72.98,"safety_score",125.51
"83278","zcta",2019,81.5,126.68,114.75,84.13,"safety_score",117.04
"83281","zcta",2019,NA,NA,NA,NA,"safety_score",NA
"83283","zcta",2019,95.31,117.07,123.36,101.15,"safety_score",110.35
"83285","zcta",2019,101.02,90.27,123.36,64.13,"safety_score",128.66
"83286","zcta",2019,95.31,117.07,111.88,97.98,"safety_score",107.76
"83287","zcta",2019,102.71,126.68,123.36,75.72,"safety_score",129.52
"83301","zcta",2019,96.71,86.39,92.04,121.25,"safety_score",79.28
"83302","zcta",2019,101.04,91.85,114.69,145.16,"safety_score",74.2
"83311","zcta",2019,109.76,93.89,108.78,100.66,"safety_score",101.73
"83313","zcta",2019,108.24,95.82,101,104.91,"safety_score",96.94
"83314","zcta",2019,97.3,84.72,102.38,97.21,"safety_score",98.51
"83316","zcta",2019,99.45,98.71,101.7,99.99,"safety_score",99.74
"83318","zcta",2019,108.35,104.03,89.91,114.17,"safety_score",88.27
"83320","zcta",2019,108.24,95.82,97.93,86.83,"safety_score",106.82
"83321","zcta",2019,98.33,57.01,95.97,93.85,"safety_score",93.05
"83322","zcta",2019,NA,NA,NA,NA,"safety_score",NA
"83323","zcta",2019,109.76,93.89,91.51,92.53,"safety_score",101.45
"83324","zcta",2019,105.61,126.68,104.9,99.55,"safety_score",108.24
"83325","zcta",2019,95.09,115.77,103.72,112.7,"safety_score",95.23
"83327","zcta",2019,111.56,126.68,113.1,104.27,"safety_score",108.8
"83328","zcta",2019,98.33,57.01,109.72,114.39,"safety_score",85.04
"83330","zcta",2019,96.28,112.44,89.08,104.29,"safety_score",95.76
"83332","zcta",2019,97.3,84.72,101.2,110.48,"safety_score",90.19
"83333","zcta",2019,108.24,95.82,69.44,101.34,"safety_score",85.56
"83334","zcta",2019,98.33,57.01,95.05,118.76,"safety_score",76.33
"83335","zcta",2019,95.09,115.77,88.19,100.32,"safety_score",96.97
"83336","zcta",2019,106.94,114.18,81.2,110.19,"safety_score",89.49
"83337","zcta",2019,NA,NA,NA,NA,"safety_score",NA
"83338","zcta",2019,98.99,118.3,78.65,117.37,"safety_score",85.84
"83340","zcta",2019,108.24,95.82,80.1,98.75,"safety_score",89.89
"83341","zcta",2019,98.33,57.01,113.7,106.66,"safety_score",90.99
"83342","zcta",2019,104.83,109.35,103.93,78.23,"safety_score",117.34
"83344","zcta",2019,104.04,75.45,83.15,112.25,"safety_score",81.14
"83346","zcta",2019,109.76,93.89,84.58,109.35,"safety_score",88.82
"83347","zcta",2019,102.55,118.88,92.18,97.88,"safety_score",102.77
"83348","zcta",2019,108.24,95.82,98.46,72.51,"safety_score",116.96
"83349","zcta",2019,105.61,126.68,95.97,107.79,"safety_score",100
"83350","zcta",2019,108.31,101.29,80.42,108.72,"safety_score",88.09
"83352","zcta",2019,108.47,116.4,82.04,101.92,"safety_score",96.93
"83353","zcta",2019,108.24,95.82,80.44,84.32,"safety_score",97.62
"83354","zcta",2019,NA,NA,NA,NA,"safety_score",NA
"83355","zcta",2019,96.28,112.44,71.91,100.86,"safety_score",91.7
"83401","zcta",2019,102.58,85.74,94.75,123.32,"safety_score",79.4
"83402","zcta",2019,104.03,90.6,91.03,129.44,"safety_score",74.94
"83404","zcta",2019,96.58,53.86,97.38,109.69,"safety_score",81.42
"83406","zcta",2019,96.58,53.86,106.66,111.15,"safety_score",83.83
"83420","zcta",2019,105.85,126.68,103.26,95.12,"safety_score",110.86
"83421","zcta",2019,105.85,126.68,123.36,166.69,"safety_score",77.69
"83422","zcta",2019,110.63,115.35,95.44,121.93,"safety_score",88.77
"83423","zcta",2019,99.93,126.68,62.33,128.57,"safety_score",75.54
"83424","zcta",2019,110.63,115.35,123.36,127.98,"safety_score",94.71
"83425","zcta",2019,108.58,117.61,101.63,71.08,"safety_score",122.96
"83427","zcta",2019,96.58,53.86,117.1,86.97,"safety_score",104.43
"83428","zcta",2019,96.58,53.86,122.25,94.01,"safety_score",101.95
"83429","zcta",2019,105.85,126.68,119.76,70.04,"safety_score",132.09
"83431","zcta",2019,108.58,117.61,101.37,91.28,"safety_score",110
"83433","zcta",2019,NA,NA,NA,NA,"safety_score",NA
"83434","zcta",2019,109.12,102.83,111,89.23,"safety_score",111.52
"83435","zcta",2019,104.26,122.15,109.16,109.53,"safety_score",102.55
"83436","zcta",2019,108.71,110.03,114.81,83.82,"safety_score",117.08
"83440","zcta",2019,107.75,107.37,89.23,160.06,"safety_score",57.01
"83442","zcta",2019,108.58,117.61,110.33,104.35,"safety_score",104.26
"83443","zcta",2019,104.94,86.51,108.62,97.38,"safety_score",102.12
"83444","zcta",2019,108.58,117.61,74.07,106.11,"safety_score",90.37
"83445","zcta",2019,107.75,107.37,102.17,96.45,"safety_score",104.51
"83446","zcta",2019,NA,NA,NA,NA,"safety_score",NA
"83448","zcta",2019,107.75,107.37,86.9,116.41,"safety_score",87.68
"83449","zcta",2019,96.58,53.86,123.36,84.77,"safety_score",107.02
"83450","zcta",2019,108.58,117.61,103.9,80.59,"safety_score",117.53
"83451","zcta",2019,107.75,107.37,102.74,103.6,"safety_score",99.6
"83452","zcta",2019,110.63,115.35,101.83,87.84,"safety_score",113.55
"83454","zcta",2019,96.58,53.86,102.89,101.95,"safety_score",89.98
"83455","zcta",2019,110.63,115.35,103.65,102.86,"safety_score",102.37
"83460","zcta",2019,NA,NA,NA,NA,"safety_score",NA
"83462","zcta",2019,110.2,126.68,123.36,115.22,"safety_score",107.15
"83463","zcta",2019,NA,NA,NA,NA,"safety_score",NA
"83464","zcta",2019,105.07,126.68,107.54,117.15,"safety_score",98.07
"83465","zcta",2019,110.2,126.68,97.5,83.42,"safety_score",116.07
"83466","zcta",2019,110.2,126.68,77.18,120.22,"safety_score",87.97
"83467","zcta",2019,110.2,126.68,109.62,111.36,"safety_score",101.91
"83468","zcta",2019,110.2,126.68,123.36,80.66,"safety_score",126.39
"83469","zcta",2019,NA,NA,NA,NA,"safety_score",NA
"83501","zcta",2019,100.47,90.2,100.56,111.67,"safety_score",89.19
"83520","zcta",2019,106.33,126.68,120.1,127.03,"safety_score",94.61
"83522","zcta",2019,108.32,126.68,114.41,90.56,"safety_score",116.91
"83523","zcta",2019,111.56,126.68,115.65,87.35,"safety_score",119.35
"83524","zcta",2019,106.01,108.44,104.17,107.75,"safety_score",98.25
