"geoid","geolevel","year","crime_score","infrastructure_score","social_cohesion_score","structural_composition_score","level","value"
"60002","zcta",2019,109.86,102.96,102.86,93.98,"safety_score",106.41
"60004","zcta",2019,97.18,102,86.39,100.14,"safety_score",92.42
"60005","zcta",2019,97.18,101.15,71.43,110.99,"safety_score",78.21
"60007","zcta",2019,102.69,102.01,85.88,98.09,"safety_score",94.36
"60008","zcta",2019,97.18,100.34,61.14,109.11,"safety_score",75.87
"60010","zcta",2019,105.86,102.77,105.9,89.17,"safety_score",109.98
"60012","zcta",2019,108.72,102.69,116.66,84.66,"safety_score",116.06
"60013","zcta",2019,109.29,103,105.32,90.93,"safety_score",108.85
"60014","zcta",2019,108.72,103.12,95.83,102.25,"safety_score",97.27
"60015","zcta",2019,103.52,101.98,103.5,94.16,"safety_score",104.08
"60016","zcta",2019,97.18,102.18,57.69,112.18,"safety_score",71.62
"60018","zcta",2019,97.18,101.15,65.55,99,"safety_score",88.02
"60020","zcta",2019,109.86,102.58,95.27,102.24,"safety_score",96.88
"60021","zcta",2019,109.29,102.03,104.93,95.06,"safety_score",105.31
"60022","zcta",2019,97.18,95.82,113.63,86.21,"safety_score",112.81
"60025","zcta",2019,97.18,101.71,84.55,94.5,"safety_score",95.74
"60026","zcta",2019,97.18,98.76,90.84,108.93,"safety_score",88.66
"60029","zcta",2019,97.18,-28.83,104.33,80.15,"safety_score",112.59
"60030","zcta",2019,109.86,103.05,102.82,104.34,"safety_score",99
"60031","zcta",2019,109.86,103.06,94.16,106.7,"safety_score",93.01
"60033","zcta",2019,95.89,103.02,76.41,117.67,"safety_score",78.82
"60034","zcta",2019,108.72,100.41,97.56,106.78,"safety_score",94.32
"60035","zcta",2019,109.86,103.01,101.82,96.26,"safety_score",103.39
"60040","zcta",2019,109.86,101.95,56.32,127.29,"safety_score",62.53
"60041","zcta",2019,109.86,102.45,104.63,89.67,"safety_score",109.97
"60042","zcta",2019,109.29,102.5,105.31,101.4,"safety_score",103.19
"60043","zcta",2019,97.18,77.69,118.19,91.27,"safety_score",111.71
"60044","zcta",2019,109.86,102.56,100.2,113.7,"safety_score",90.47
"60045","zcta",2019,109.86,102.92,108.82,97.06,"safety_score",106.11
"60046","zcta",2019,109.86,103.04,105.33,93.76,"safety_score",107.16
"60047","zcta",2019,109.86,103.08,105.61,92.41,"safety_score",108.4
"60048","zcta",2019,109.86,103.01,105.42,94.47,"safety_score",106.11
"60050","zcta",2019,109.29,103.05,97.34,103.8,"safety_score",97.11
"60051","zcta",2019,109.29,102.96,102.32,101.06,"safety_score",101.57
"60053","zcta",2019,97.18,100.52,88.58,83.01,"safety_score",106.43
"60056","zcta",2019,97.18,102.09,71.03,105.02,"safety_score",82.49
"60060","zcta",2019,109.86,103.06,83.16,104.14,"safety_score",92.22
"60061","zcta",2019,109.86,102.99,77.09,107.94,"safety_score",86.3
"60062","zcta",2019,97.18,101.7,92.24,94.71,"safety_score",98.26
"60064","zcta",2019,109.86,102.8,44.81,134.93,"safety_score",56.39
"60067","zcta",2019,97.18,101.58,91.23,102.03,"safety_score",92.92
"60068","zcta",2019,97.18,101.56,98.53,91.96,"safety_score",103
"60069","zcta",2019,109.86,102.41,91.36,94.08,"safety_score",100.04
"60070","zcta",2019,97.18,99.29,34.19,111.89,"safety_score",61.67
"60071","zcta",2019,108.72,101.66,98.18,108.98,"safety_score",91.28
"60072","zcta",2019,108.72,97.61,115.94,87.09,"safety_score",115.9
"60073","zcta",2019,109.86,103.13,84.35,103.63,"safety_score",93.71
"60074","zcta",2019,103.52,102.35,46.15,122.16,"safety_score",61.28
"60076","zcta",2019,97.18,101.27,70.56,92.31,"safety_score",92.56
"60077","zcta",2019,97.18,100.97,53.8,115.4,"safety_score",68.6
"60081","zcta",2019,109.29,102.56,112.83,84.29,"safety_score",117.68
"60083","zcta",2019,109.86,102.56,109.76,99.6,"safety_score",106.42
"60084","zcta",2019,109.86,102.83,95.92,106.04,"safety_score",94.6
"60085","zcta",2019,109.86,103.15,38.66,130.32,"safety_score",56.62
"60087","zcta",2019,109.86,102.98,62.82,116.31,"safety_score",76.08
"60088","zcta",2019,NA,NA,NA,NA,"safety_score",NA
"60089","zcta",2019,103.52,102.39,86.3,99.87,"safety_score",94.07
"60090","zcta",2019,97.18,101.61,56.09,116.8,"safety_score",68.84
"60091","zcta",2019,97.18,100.93,106.04,90.12,"safety_score",107.38
"60093","zcta",2019,97.18,100,109.61,94.32,"safety_score",106.47
"60096","zcta",2019,109.86,102.22,102,96.11,"safety_score",102.87
"60097","zcta",2019,108.72,102.69,110.51,94.87,"safety_score",109.01
"60098","zcta",2019,108.72,103.06,87.94,114.42,"safety_score",85.72
"60099","zcta",2019,109.86,103.01,78.79,111.18,"safety_score",85.24
"60101","zcta",2019,108.2,102.75,59.67,103.31,"safety_score",82.27
"60102","zcta",2019,108.2,102.98,108.65,90.33,"safety_score",111.34
"60103","zcta",2019,102.69,102.26,102.74,93.89,"safety_score",105.1
"60104","zcta",2019,97.18,99.92,83.88,100.68,"safety_score",92.13
"60106","zcta",2019,108.2,102.3,52.77,117.36,"safety_score",69.28
"60107","zcta",2019,97.18,101.67,80.68,99.53,"safety_score",94.61
"60108","zcta",2019,108.2,102.39,87.81,108.3,"safety_score",88.52
"60109","zcta",2019,107.69,84.47,106.79,108.98,"safety_score",97.72
"60110","zcta",2019,107.69,102.95,64.47,108.51,"safety_score",82.07
"60111","zcta",2019,106.54,100.15,123.5,49,"safety_score",144.35
"60112","zcta",2019,106.54,103.13,93.07,117.41,"safety_score",86.39
"60113","zcta",2019,-2.99,102.56,85.17,101.16,"safety_score",80.22
"60115","zcta",2019,106.54,103.23,78.07,146.53,"safety_score",58.2
"60118","zcta",2019,107.69,102.52,97.85,102.42,"safety_score",96.05
"60119","zcta",2019,107.69,102.1,109.73,92.85,"safety_score",110.13
"60120","zcta",2019,102.44,102.51,58.9,110.96,"safety_score",77.51
"60123","zcta",2019,107.69,103.01,68.18,109.13,"safety_score",81.78
