"geoid","geolevel","year","crime_score","infrastructure_score","social_cohesion_score","structural_composition_score","level","value"
"01001","zcta",2019,98.1,102.63,87.32,98.94,"safety_score",93.26
"01002","zcta",2019,104.33,103.11,72.43,141.44,"safety_score",58.81
"01003","zcta",2019,NA,NA,NA,NA,"safety_score",NA
"01005","zcta",2019,104.61,99.51,104.23,80.64,"safety_score",113.01
"01007","zcta",2019,102.85,102.99,103.32,89.12,"safety_score",109.28
"01008","zcta",2019,98.1,93.92,118.27,70.38,"safety_score",127.99
"01009","zcta",2019,98.1,62.53,93.75,100.37,"safety_score",94.35
"01010","zcta",2019,98.1,100.34,111.02,75.56,"safety_score",121.41
"01011","zcta",2019,100.47,98.21,104.75,88.45,"safety_score",109.45
"01012","zcta",2019,102.85,96.82,110.8,69.31,"safety_score",125.89
"01013","zcta",2019,98.1,102.78,61.52,115.88,"safety_score",69.31
"01020","zcta",2019,98.1,102.89,86.78,101.57,"safety_score",90.68
"01022","zcta",2019,98.1,99.13,87.61,143.57,"safety_score",63.42
"01026","zcta",2019,102.85,99.22,104.55,79.23,"safety_score",116.42
"01027","zcta",2019,102.85,103.03,91.39,100.38,"safety_score",93.81
"01028","zcta",2019,98.1,102.59,107.55,88.13,"safety_score",109.39
"01029","zcta",2019,102.23,90.63,114.73,85.66,"safety_score",116.71
"01030","zcta",2019,98.1,102.31,99.44,79.44,"safety_score",112.54
"01031","zcta",2019,104.61,86.39,79.24,97.49,"safety_score",89.04
"01032","zcta",2019,102.85,95.65,113.77,82.5,"safety_score",118.31
"01033","zcta",2019,102.85,102.65,102.46,78.17,"safety_score",114.44
"01034","zcta",2019,98.1,98.38,114.27,69.7,"safety_score",126.89
"01035","zcta",2019,102.85,102.54,95.51,95.38,"safety_score",100.24
"01036","zcta",2019,98.1,101.19,111.31,69.5,"safety_score",123.81
"01037","zcta",2019,104.61,77.64,106.74,71.3,"safety_score",118.83
"01038","zcta",2019,102.85,101.87,100.99,97.49,"safety_score",100.79
"01039","zcta",2019,104.33,99.96,105.55,99.35,"safety_score",100.92
"01040","zcta",2019,98.1,102.98,48.54,118.95,"safety_score",62.25
"01050","zcta",2019,100.47,100.29,106.87,75.19,"safety_score",119.2
"01053","zcta",2019,102.85,100.88,93.91,93.9,"safety_score",99.55
"01054","zcta",2019,105.82,101.16,101.54,80.03,"safety_score",114.83
"01056","zcta",2019,98.1,102.74,91.79,92.66,"safety_score",99.63
"01057","zcta",2019,98.1,102.04,108.83,83.93,"safety_score",113.27
"01060","zcta",2019,102.85,103.01,76.03,135.93,"safety_score",61.44
"01062","zcta",2019,102.85,102.88,93.46,90.74,"safety_score",101.64
"01063","zcta",2019,NA,NA,NA,NA,"safety_score",NA
"01066","zcta",2019,NA,NA,NA,NA,"safety_score",NA
"01068","zcta",2019,104.61,92.81,113.89,74.6,"safety_score",122.76
