"geoid","geolevel","year","crime_score","infrastructure_score","social_cohesion_score","structural_composition_score","level","value"
"63005","zcta",2019,103.18,78.95,111.66,95.77,"safety_score",101.57
"63010","zcta",2019,108.5,111.07,99.97,105.51,"safety_score",97.75
"63011","zcta",2019,103.18,78.95,104.96,95.93,"safety_score",99.09
"63012","zcta",2019,108.5,111.07,107.85,90.57,"safety_score",111.44
"63013","zcta",2019,104.31,105.77,115.33,74.13,"safety_score",123.88
"63014","zcta",2019,104.28,110.36,100.93,70.68,"safety_score",120.77
"63015","zcta",2019,106.41,108.42,111.4,89.54,"safety_score",112.23
"63016","zcta",2019,108.5,111.07,107.71,99.08,"safety_score",106.16
"63017","zcta",2019,103.18,78.95,98.19,104.21,"safety_score",90.34
"63019","zcta",2019,108.5,111.07,102.96,103.13,"safety_score",100.32
"63020","zcta",2019,106.2,116.27,105.62,99.03,"safety_score",106.1
"63021","zcta",2019,103.18,78.95,100.92,99.85,"safety_score",94.36
"63023","zcta",2019,108.5,111.07,104.58,98.11,"safety_score",106.47
"63025","zcta",2019,105.84,95.01,111.9,94.93,"safety_score",106.31
"63026","zcta",2019,105.84,95.01,101.52,101.47,"safety_score",97.7
"63028","zcta",2019,106.61,118.88,109.88,96.17,"safety_score",109.02
"63030","zcta",2019,103.9,121.48,123.36,75.25,"safety_score",128.02
"63031","zcta",2019,103.18,78.95,96.92,106.2,"safety_score",89.86
"63033","zcta",2019,103.18,78.95,92.79,115.85,"safety_score",81.89
"63034","zcta",2019,103.18,78.95,111.37,87.36,"safety_score",107.75
"63036","zcta",2019,103.19,113.73,116.55,88.74,"safety_score",116.48
"63037","zcta",2019,104.31,105.77,107.91,91.13,"safety_score",108.49
"63038","zcta",2019,103.18,78.95,112.54,90.43,"safety_score",105.66
"63039","zcta",2019,104.31,105.77,101.14,106.47,"safety_score",97.86
"63040","zcta",2019,103.18,78.95,102.99,102,"safety_score",93.84
"63041","zcta",2019,106.41,108.42,112.16,78.59,"safety_score",120.99
"63042","zcta",2019,103.18,78.95,87.74,124.26,"safety_score",72.41
"63043","zcta",2019,103.18,78.95,85.85,110.65,"safety_score",81.04
"63044","zcta",2019,103.18,78.95,79.72,112.93,"safety_score",77.15
"63045","zcta",2019,NA,NA,NA,NA,"safety_score",NA
"63047","zcta",2019,NA,NA,NA,NA,"safety_score",NA
"63048","zcta",2019,108.5,111.07,103.1,108.22,"safety_score",98.46
"63049","zcta",2019,105.84,95.01,106.22,97.69,"safety_score",102.46
"63050","zcta",2019,108.5,111.07,109,92.01,"safety_score",110.58
"63051","zcta",2019,108.5,111.07,106.83,101.36,"safety_score",104.38
"63052","zcta",2019,108.5,111.07,104.66,98.62,"safety_score",104.44
"63053","zcta",2019,NA,NA,NA,NA,"safety_score",NA
"63055","zcta",2019,104.31,105.77,115.46,94.96,"safety_score",109.42
"63056","zcta",2019,104.31,105.77,116.97,94.97,"safety_score",110.46
"63057","zcta",2019,NA,NA,NA,NA,"safety_score",NA
"63060","zcta",2019,104.31,105.77,108.48,94.07,"safety_score",108.8
"63061","zcta",2019,104.31,105.77,123.36,61.92,"safety_score",133.59
"63068","zcta",2019,104.28,110.36,113,96.63,"safety_score",108.83
"63069","zcta",2019,105.33,98.6,103.05,99.25,"safety_score",99.67
"63070","zcta",2019,108.5,111.07,101.83,110.55,"safety_score",94.99
"63071","zcta",2019,103.9,121.48,105.63,99.13,"safety_score",106.84
"63072","zcta",2019,106.41,108.42,104.3,88.77,"safety_score",110.16
"63073","zcta",2019,104.31,105.77,123.36,93.9,"safety_score",113.18
"63074","zcta",2019,103.18,78.95,71.7,126.63,"safety_score",65.36
"63077","zcta",2019,104.31,105.77,106.31,115.41,"safety_score",93.09
"63079","zcta",2019,NA,NA,NA,NA,"safety_score",NA
"63080","zcta",2019,102.49,110.83,102.76,113.78,"safety_score",93.59
"63084","zcta",2019,104.31,105.77,100.12,114.81,"safety_score",90.87
"63087","zcta",2019,105.09,105.93,120.18,91.61,"safety_score",114.04
"63088","zcta",2019,103.18,78.95,92.92,124.41,"safety_score",74.59
"63089","zcta",2019,104.31,105.77,109.78,93.3,"safety_score",109.16
"63090","zcta",2019,104.31,105.77,103.6,101.38,"safety_score",99.8
"63091","zcta",2019,104.28,110.36,112.19,101.85,"safety_score",106.03
"63101","zcta",2019,54.72,90.42,63.61,159.02,"safety_score",37.1
"63102","zcta",2019,NA,NA,NA,NA,"safety_score",NA
"63103","zcta",2019,54.72,90.42,63.02,163.82,"safety_score",33.28
"63104","zcta",2019,54.72,90.42,70.86,137.7,"safety_score",56.06
"63105","zcta",2019,78.95,84.69,75.25,124.13,"safety_score",65.88
"63106","zcta",2019,54.72,90.42,54.9,144.74,"safety_score",46.11
"63107","zcta",2019,54.72,90.42,66.64,125.86,"safety_score",62.19
"63108","zcta",2019,54.72,90.42,70.24,151.29,"safety_score",45.47
"63109","zcta",2019,54.72,90.42,91.28,117.98,"safety_score",77.23
"63110","zcta",2019,54.72,90.42,81.34,141.29,"safety_score",57.75
"63111","zcta",2019,54.72,90.42,70.27,133.13,"safety_score",59.89
"63112","zcta",2019,54.72,90.42,70.81,138.53,"safety_score",55.16
"63113","zcta",2019,54.72,90.42,75.09,115.54,"safety_score",72.15
"63114","zcta",2019,103.18,78.95,87.4,121.05,"safety_score",76.48
"63115","zcta",2019,54.72,90.42,71.93,122.06,"safety_score",67.39
"63116","zcta",2019,54.72,90.42,80.43,121.04,"safety_score",71.82
"63117","zcta",2019,78.95,84.69,98.17,117.66,"safety_score",79.99
"63118","zcta",2019,54.72,90.42,60.93,140.54,"safety_score",51.47
"63119","zcta",2019,78.95,84.69,106.56,103.75,"safety_score",93.55
"63120","zcta",2019,78.95,84.69,83.9,117.92,"safety_score",76.12
"63121","zcta",2019,103.18,78.95,90.46,122.9,"safety_score",75.83
"63122","zcta",2019,103.18,78.95,106.45,98.57,"safety_score",97.14
"63123","zcta",2019,78.95,84.69,94.39,104.83,"safety_score",88.43
"63124","zcta",2019,103.18,78.95,104.52,106.91,"safety_score",91.26
"63125","zcta",2019,78.95,84.69,79.93,109.42,"safety_score",80.2
"63126","zcta",2019,103.18,78.95,102.95,94.71,"safety_score",98.43
"63127","zcta",2019,103.18,78.95,108.37,102.31,"safety_score",96.03
"63128","zcta",2019,103.18,78.95,103.27,98.93,"safety_score",95.49
"63129","zcta",2019,103.18,78.95,98.36,94.64,"safety_score",96.21
"63130","zcta",2019,78.95,84.69,91.85,125.49,"safety_score",73.16
"63131","zcta",2019,103.18,78.95,113.67,86.54,"safety_score",108.96
"63132","zcta",2019,103.18,78.95,86.3,127.37,"safety_score",70.79
"63133","zcta",2019,78.95,84.69,87.5,129.34,"safety_score",70.27
"63134","zcta",2019,103.18,78.95,88.94,138.48,"safety_score",67.04
"63135","zcta",2019,103.18,78.95,89.28,115.85,"safety_score",80.65
"63136","zcta",2019,78.95,84.69,83.71,132.95,"safety_score",67.11
"63137","zcta",2019,78.95,84.69,86.92,125.22,"safety_score",74.04
"63138","zcta",2019,103.18,78.95,82.7,128.4,"safety_score",68.88
"63139","zcta",2019,54.72,90.42,94.42,118.75,"safety_score",78.38
"63140","zcta",2019,103.18,78.95,69.21,161.94,"safety_score",40.18
"63141","zcta",2019,103.18,78.95,96.12,108.63,"safety_score",86.23
"63143","zcta",2019,78.95,84.69,87.78,132.51,"safety_score",66.88
"63144","zcta",2019,103.18,78.95,99.32,124.67,"safety_score",77.38
"63146","zcta",2019,103.18,78.95,84.29,128.23,"safety_score",68.62
"63147","zcta",2019,54.72,90.42,88.54,111.75,"safety_score",82.52
"63155","zcta",2019,NA,NA,NA,NA,"safety_score",NA
"63301","zcta",2019,107.71,108.73,96.82,114.8,"safety_score",89.68
"63303","zcta",2019,107.71,108.73,99.05,109.87,"safety_score",93.39
"63304","zcta",2019,107.71,108.73,111.71,88.6,"safety_score",112.84
"63330","zcta",2019,109.83,114.99,60.52,95.53,"safety_score",92.91
"63332","zcta",2019,107.71,108.73,113.3,88.83,"safety_score",114.18
"63333","zcta",2019,106.77,119.14,112.13,99.38,"safety_score",107.88
"63334","zcta",2019,106.6,118.93,103,109.53,"safety_score",98.05
"63336","zcta",2019,109.83,114.99,112.13,96.79,"safety_score",108.67
"63339","zcta",2019,109.83,114.99,118.14,86.03,"safety_score",118.06
"63341","zcta",2019,107.71,108.73,122.24,86.07,"safety_score",118.13
"63343","zcta",2019,106.6,118.93,107.91,110.15,"safety_score",100.49
"63344","zcta",2019,106.6,118.93,111.41,107.15,"safety_score",102.64
"63345","zcta",2019,107.17,96.39,112.36,83.15,"safety_score",113.15
"63347","zcta",2019,103.36,122.86,103.21,85.56,"safety_score",114.06
"63348","zcta",2019,105.85,117.76,117.95,95.16,"safety_score",113.86
"63349","zcta",2019,104.92,122.27,108.38,99.28,"safety_score",108.1
"63350","zcta",2019,110.17,115.41,114.8,82.35,"safety_score",118.91
"63351","zcta",2019,108.33,118.54,112.08,93.87,"safety_score",110.98
"63352","zcta",2019,70.71,111.54,112.03,94.67,"safety_score",106.06
"63353","zcta",2019,109.83,114.99,99.6,111.73,"safety_score",94.88
"63357","zcta",2019,107.1,115.2,113.83,83.82,"safety_score",118.15
"63359","zcta",2019,107.63,112.41,106.75,95.15,"safety_score",108.39
"63361","zcta",2019,91.58,119.61,105.09,102.49,"safety_score",102.79
"63362","zcta",2019,103.36,122.86,105.32,112.22,"safety_score",98.11
"63363","zcta",2019,108.33,118.54,104.86,105.65,"safety_score",102.86
"63366","zcta",2019,107.71,108.73,104.2,99.01,"safety_score",103.14
"63367","zcta",2019,107.71,108.73,108.36,100.13,"safety_score",104.03
"63368","zcta",2019,107.71,108.73,105.82,99.48,"safety_score",103.52
"63369","zcta",2019,103.36,122.86,115.05,103.71,"safety_score",107.43
"63370","zcta",2019,NA,NA,NA,NA,"safety_score",NA
"63373","zcta",2019,107.71,108.73,120.72,93.83,"safety_score",112.92
"63376","zcta",2019,107.71,108.73,103.74,96.71,"safety_score",104.35
"63377","zcta",2019,103.36,122.86,117.31,91.33,"safety_score",116.06
"63379","zcta",2019,103.36,122.86,104.84,102.84,"safety_score",103.89
"63381","zcta",2019,106.67,119.98,103.12,92.27,"safety_score",109.38
"63382","zcta",2019,83.75,112.69,101.53,109.25,"safety_score",94.36
"63383","zcta",2019,104.92,122.27,96.28,110.97,"safety_score",96.22
"63384","zcta",2019,96.77,111.87,103.45,104.39,"safety_score",99.72
"63385","zcta",2019,107.71,108.73,108.69,103.04,"safety_score",102.79
"63386","zcta",2019,107.71,108.73,117.72,80.03,"safety_score",120.7
"63387","zcta",2019,NA,NA,NA,NA,"safety_score",NA
"63388","zcta",2019,72.98,123.8,114.04,74.56,"safety_score",123.19
"63389","zcta",2019,103.36,122.86,108.56,103.78,"safety_score",104.3
"63390","zcta",2019,104.92,122.27,103.73,103.67,"safety_score",103.35
"63401","zcta",2019,62.3,115.37,101.53,119.76,"safety_score",86.08
"63430","zcta",2019,108.95,126.68,106.29,96.91,"safety_score",109.53
"63431","zcta",2019,106.67,109.65,123.36,96.22,"safety_score",112.13
"63432","zcta",2019,108.95,126.68,120.59,82.04,"safety_score",124.12
"63433","zcta",2019,NA,NA,NA,NA,"safety_score",NA
"63434","zcta",2019,106.26,126.68,104.88,123.68,"safety_score",91.03
"63435","zcta",2019,107.59,118.01,109.52,96.57,"safety_score",108.4
"63436","zcta",2019,34.25,126.68,113.15,90.57,"safety_score",110.23
"63437","zcta",2019,106.11,114.34,105.58,104,"safety_score",102.26
"63438","zcta",2019,98.29,106.7,123.36,83.42,"safety_score",118.69
"63439","zcta",2019,98.31,115.37,123.36,117.25,"safety_score",101.39
"63440","zcta",2019,100.95,113.36,110.42,92.8,"safety_score",109.85
"63441","zcta",2019,72.04,120.84,114.29,103.69,"safety_score",104.03
"63443","zcta",2019,100.67,112.47,116.81,78.24,"safety_score",121.07
"63445","zcta",2019,108.95,126.68,101.33,102.13,"safety_score",104.42
"63446","zcta",2019,108.89,118.01,107.2,104.14,"safety_score",105.49
"63447","zcta",2019,106.23,109.34,104.87,101.87,"safety_score",101.93
"63448","zcta",2019,106.23,109.34,111.51,89.93,"safety_score",111.99
"63450","zcta",2019,105.83,116.68,123.36,91.65,"safety_score",115.54
"63451","zcta",2019,106.26,126.68,123.36,90.43,"safety_score",119.48
"63452","zcta",2019,106.23,109.34,112.73,86.6,"safety_score",114.99
"63453","zcta",2019,108.95,126.68,120.67,81.18,"safety_score",124.61
"63454","zcta",2019,98.29,106.7,106.03,94.26,"safety_score",106.03
"63456","zcta",2019,76.67,112.47,108.68,106.06,"safety_score",99.13
"63457","zcta",2019,106.23,109.34,114.57,67.75,"safety_score",127.63
"63458","zcta",2019,111.56,126.68,110.59,101.09,"safety_score",108.07
"63459","zcta",2019,72.04,120.84,115.22,79.27,"safety_score",119.91
"63460","zcta",2019,111.56,126.68,123.36,74.13,"safety_score",130.84
"63461","zcta",2019,90.35,104.05,101.04,96.41,"safety_score",101.16
"63462","zcta",2019,69.83,116.68,111.89,86.1,"safety_score",113.69
"63463","zcta",2019,90.35,104.05,105.96,100.19,"safety_score",101.01
"63464","zcta",2019,NA,NA,NA,NA,"safety_score",NA
"63465","zcta",2019,108.95,126.68,118.94,76.22,"safety_score",127.68
"63467","zcta",2019,NA,NA,NA,NA,"safety_score",NA
"63468","zcta",2019,105.83,116.68,106.47,112.89,"safety_score",97.59
"63469","zcta",2019,108.91,126.68,114.89,90.58,"safety_score",116.66
"63471","zcta",2019,98.29,106.7,123.36,101.54,"safety_score",107.56
"63472","zcta",2019,108.95,126.68,113.37,94.2,"safety_score",113.31
"63473","zcta",2019,107.59,118.01,111.66,101.3,"safety_score",108.66
"63474","zcta",2019,108.95,126.68,111.09,91.73,"safety_score",112.89
"63501","zcta",2019,101.07,77.35,95.48,132.61,"safety_score",70.88
"63530","zcta",2019,106.67,109.65,105.53,105.62,"safety_score",101.58
"63531","zcta",2019,111.56,126.68,110.43,80.9,"safety_score",121.56
"63532","zcta",2019,106.67,109.65,113.18,91.77,"safety_score",111.54
"63533","zcta",2019,106.31,102.01,118.93,87.1,"safety_score",114.54
"63534","zcta",2019,106.67,109.65,119.14,82.18,"safety_score",119.59
"63535","zcta",2019,NA,NA,NA,NA,"safety_score",NA
"63536","zcta",2019,102.24,126.68,110.85,94.71,"safety_score",111.86
