"geoid","geolevel","year","crime_score","infrastructure_score","social_cohesion_score","structural_composition_score","level","value"
"38601","zcta",2019,103.48,102.84,108.7,86.1,"safety_score",114.77
"38603","zcta",2019,111.54,103.23,115.18,91.03,"safety_score",113.78
"38606","zcta",2019,105.07,103.22,100.01,96.85,"safety_score",102.77
"38610","zcta",2019,106.33,103.22,113.28,94.87,"safety_score",109.82
"38611","zcta",2019,103.4,103.21,112.86,89.96,"safety_score",111.65
"38614","zcta",2019,94.31,103.12,79.06,120.33,"safety_score",75.55
"38617","zcta",2019,107.97,97.03,93.35,89.76,"safety_score",104.24
"38618","zcta",2019,103.81,103.21,103.28,99.62,"safety_score",103.05
"38619","zcta",2019,104.93,103.18,83.52,108.04,"safety_score",88.51
"38620","zcta",2019,106.66,103.21,91.34,81.43,"safety_score",111.53
"38621","zcta",2019,106.66,103.21,80.85,114.74,"safety_score",81.98
"38622","zcta",2019,106.66,103.17,83.66,121.52,"safety_score",78.73
"38623","zcta",2019,104.04,103.24,102.94,66.66,"safety_score",124.9
"38625","zcta",2019,106.33,103.17,112.17,91.09,"safety_score",111.05
"38626","zcta",2019,89.88,99.62,103.85,78.84,"safety_score",115.57
"38627","zcta",2019,102.3,102.89,95.59,79.3,"safety_score",113.85
"38629","zcta",2019,111.54,103.22,111.15,94.63,"safety_score",108.6
"38630","zcta",2019,NA,NA,NA,NA,"safety_score",NA
"38631","zcta",2019,107.97,100.32,64.18,112.41,"safety_score",74.91
"38632","zcta",2019,100.81,103.21,111.11,98.4,"safety_score",105.34
"38633","zcta",2019,101.11,103.21,100.96,92.56,"safety_score",106
"38635","zcta",2019,105.31,103.24,96.48,98.92,"safety_score",99.37
"38637","zcta",2019,100.81,103.21,86.68,125.97,"safety_score",76.71
"38639","zcta",2019,107.97,99.07,71.1,97.88,"safety_score",89.55
"38641","zcta",2019,100.81,102.82,117.25,89.1,"safety_score",114.75
"38642","zcta",2019,105.98,103.23,115.08,89.39,"safety_score",114.21
"38643","zcta",2019,87.63,103.24,84.39,120.83,"safety_score",76.15
"38644","zcta",2019,107.97,80.52,114.95,91.09,"safety_score",111.87
"38645","zcta",2019,107.97,101.59,100.36,114.43,"safety_score",91.82
"38646","zcta",2019,104.04,103.24,102.71,98.43,"safety_score",101.86
"38647","zcta",2019,104.04,103.24,104.54,58.46,"safety_score",131.33
"38650","zcta",2019,101.11,103.23,99.03,117.38,"safety_score",89.57
"38651","zcta",2019,100.81,103.14,115.02,88.97,"safety_score",114.33
"38652","zcta",2019,101.11,103.23,106.73,96.14,"safety_score",105.31
"38654","zcta",2019,103.4,103.23,104.58,106.59,"safety_score",97.16
"38655","zcta",2019,103.48,103.22,95.35,129.6,"safety_score",77.73
"38658","zcta",2019,106.66,103.18,118.63,85.34,"safety_score",118.71
"38659","zcta",2019,105.98,103.23,98.19,85.46,"safety_score",109.15
"38661","zcta",2019,105.98,103.21,111.45,86.78,"safety_score",116.59
"38663","zcta",2019,111.54,103.24,102.3,96.03,"safety_score",104.48
"38664","zcta",2019,71.79,102.35,51.65,158.61,"safety_score",32.82
"38665","zcta",2019,105.66,103.2,107.29,110.89,"safety_score",97.37
"38666","zcta",2019,106.66,103.22,111.41,102.96,"safety_score",103.07
"38668","zcta",2019,104.65,103.23,98.49,104.7,"safety_score",95.56
"38670","zcta",2019,71.79,101.6,102.38,101.68,"safety_score",95.76
"38671","zcta",2019,100.81,103.22,83.38,126.79,"safety_score",74.61
"38672","zcta",2019,100.81,103.18,109.49,97.9,"safety_score",105.95
"38673","zcta",2019,103.48,102.3,118.11,107.38,"safety_score",104.73
"38674","zcta",2019,111.54,103.16,115.06,82.33,"safety_score",118
"38676","zcta",2019,71.79,102.73,87.6,108.1,"safety_score",84.87
"38677","zcta",2019,NA,NA,NA,NA,"safety_score",NA
"38680","zcta",2019,100.81,103.09,84.55,114.4,"safety_score",84.02
"38683","zcta",2019,105.61,103.2,106.72,91.82,"safety_score",109.25
"38685","zcta",2019,104.73,102.86,85.05,59.16,"safety_score",125.68
"38701","zcta",2019,100.11,103.22,88.38,116.52,"safety_score",83.13
"38702","zcta",2019,NA,NA,NA,NA,"safety_score",NA
"38703","zcta",2019,80.65,103.22,86.02,115.79,"safety_score",80.28
"38704","zcta",2019,NA,NA,NA,NA,"safety_score",NA
"38720","zcta",2019,94.31,99.88,113.18,97.23,"safety_score",106.69
"38721","zcta",2019,104.04,103.24,99.79,83.23,"safety_score",111.41
"38722","zcta",2019,100.11,102.11,84.82,94.93,"safety_score",98.2
"38723","zcta",2019,NA,NA,NA,NA,"safety_score",NA
"38725","zcta",2019,80.65,103,94.11,113.33,"safety_score",86.96
"38726","zcta",2019,80.65,102.87,75.2,102.95,"safety_score",85.58
"38730","zcta",2019,80.65,103.15,100.53,111.18,"safety_score",90.17
"38731","zcta",2019,100.11,101.31,81.07,106.91,"safety_score",89.07
"38732","zcta",2019,94.1,103.24,87.4,117.66,"safety_score",81.04
"38736","zcta",2019,107.56,102.98,72.07,98.05,"safety_score",92.87
"38737","zcta",2019,97.59,103.24,75.57,114,"safety_score",77.2
"38738","zcta",2019,NA,NA,NA,NA,"safety_score",NA
"38740","zcta",2019,80.65,102.61,108.59,83.08,"safety_score",111.27
"38744","zcta",2019,100.11,102.3,110.47,82.32,"safety_score",117.21
"38745","zcta",2019,100.11,94.88,82.72,82.29,"safety_score",104.79
"38746","zcta",2019,80.65,102.85,78.38,90.46,"safety_score",93.12
"38748","zcta",2019,100.11,103.17,103.85,99.99,"safety_score",101.91
"38749","zcta",2019,NA,NA,NA,NA,"safety_score",NA
"38751","zcta",2019,107.56,103.24,91.72,111.04,"safety_score",89.23
"38753","zcta",2019,107.56,103.24,103.27,85.61,"safety_score",112.06
"38754","zcta",2019,107.56,103.24,94.75,92.85,"safety_score",102.31
"38756","zcta",2019,100.11,103.17,91.84,108.55,"safety_score",90.55
"38759","zcta",2019,94.1,103.14,117.91,101.92,"safety_score",105.01
"38760","zcta",2019,100.11,102.59,87.53,117.5,"safety_score",81.66
"38761","zcta",2019,107.56,103.19,74.9,102.87,"safety_score",89.49
"38762","zcta",2019,94.1,103.2,76.33,117.23,"safety_score",76.23
"38764","zcta",2019,80.65,102.61,100.81,70.38,"safety_score",117.7
"38765","zcta",2019,NA,NA,NA,NA,"safety_score",NA
"38767","zcta",2019,NA,NA,NA,NA,"safety_score",NA
"38768","zcta",2019,107.56,103.24,41.62,102.05,"safety_score",72.3
"38769","zcta",2019,85.37,103.18,62.08,108.03,"safety_score",74.82
"38771","zcta",2019,107.56,103.24,91.34,122.07,"safety_score",81.4
"38772","zcta",2019,NA,NA,NA,NA,"safety_score",NA
"38773","zcta",2019,94.1,103.21,95.1,97.83,"safety_score",98.33
"38774","zcta",2019,80.65,103.13,80.29,109.5,"safety_score",79.96
"38778","zcta",2019,107.56,103.24,75.47,102.5,"safety_score",87.71
"38781","zcta",2019,80.65,102.25,85.45,102.54,"safety_score",85.49
"38801","zcta",2019,97.81,103.22,86.53,118.23,"safety_score",81.12
"38804","zcta",2019,104.29,103.2,95.21,119.48,"safety_score",84.37
"38821","zcta",2019,98.89,103.23,104.66,108.4,"safety_score",95.15
"38824","zcta",2019,104.64,103.2,103.7,98.3,"safety_score",102.76
"38826","zcta",2019,97.81,103.11,102.42,108.82,"safety_score",94.07
"38827","zcta",2019,108.26,103.22,106.59,100.05,"safety_score",103.47
"38828","zcta",2019,98.91,103.13,103.12,108.97,"safety_score",94.81
"38829","zcta",2019,106.76,103.24,107.81,97.11,"safety_score",105.16
"38833","zcta",2019,103.3,103.15,104.42,122.24,"safety_score",87.72
"38834","zcta",2019,99.68,103.23,103.48,114.34,"safety_score",90.81
"38838","zcta",2019,108.26,103.18,112.89,93.17,"safety_score",111.3
"38841","zcta",2019,99.27,103.21,79.99,100.99,"safety_score",93.25
"38843","zcta",2019,104.29,103.19,102.29,95.9,"safety_score",104.05
"38844","zcta",2019,98.89,102.6,123.5,69.39,"safety_score",128.4
"38846","zcta",2019,103.97,103.13,107.68,81.97,"safety_score",116.33
"38847","zcta",2019,109.33,103.22,114.95,92.56,"safety_score",112.77
"38848","zcta",2019,98.89,103,119.41,63.35,"safety_score",132.79
"38849","zcta",2019,103.23,103.17,105.25,102.45,"safety_score",101.63
"38850","zcta",2019,106.35,103.21,106.56,88.22,"safety_score",111.92
"38851","zcta",2019,111.54,103.23,94.82,100.05,"safety_score",99.71
"38852","zcta",2019,105.73,103.21,111.71,91.96,"safety_score",111
"38855","zcta",2019,110.41,103.23,107.52,94.98,"safety_score",107.5
"38856","zcta",2019,106.19,103.19,115.35,83.39,"safety_score",118.86
"38857","zcta",2019,98.18,102.94,105.19,88.92,"safety_score",109.61
"38858","zcta",2019,102.49,103.18,108.86,92.49,"safety_score",109.18
"38859","zcta",2019,101.98,103.09,114.66,87.93,"safety_score",115.62
"38860","zcta",2019,102.87,103.16,102.62,88.39,"safety_score",109.57
"38862","zcta",2019,98.18,102.77,104.52,84.97,"safety_score",111.15
"38863","zcta",2019,100.46,103.22,94.59,112.6,"safety_score",90.09
"38864","zcta",2019,103.76,103.2,122.46,91.13,"safety_score",115.25
"38865","zcta",2019,100.83,103.18,111.2,95.71,"safety_score",108.01
"38866","zcta",2019,98.18,103.14,109.94,101.43,"safety_score",102.45
"38868","zcta",2019,101.51,103.18,105.23,104.06,"safety_score",99.6
"38869","zcta",2019,97.44,103.06,85.1,81.99,"safety_score",102.44
"38870","zcta",2019,104.65,103.21,110.79,92.05,"safety_score",110.14
"38871","zcta",2019,100.68,103.08,112.18,88.1,"safety_score",113.69
"38873","zcta",2019,105.12,103.2,104.86,93.35,"safety_score",106.37
"38876","zcta",2019,110.41,103.21,105.3,102.89,"safety_score",101.7
"38878","zcta",2019,110.81,103.22,95.62,90.09,"safety_score",107.08
"38879","zcta",2019,98.18,101.66,95.9,137.33,"safety_score",68.83
"38901","zcta",2019,95.6,103.24,98.01,111.43,"safety_score",90.18
"38913","zcta",2019,110.07,103.09,105.9,73.3,"safety_score",122.94
"38914","zcta",2019,106.82,103.09,104.1,77.1,"safety_score",118.2
"38915","zcta",2019,110.07,103.22,106.01,101.95,"safety_score",102.37
"38916","zcta",2019,108.68,103.24,96.26,100.16,"safety_score",98.92
"38917","zcta",2019,104.04,103.24,114.93,90.84,"safety_score",113.78
"38920","zcta",2019,87.63,103.24,86.42,98.64,"safety_score",95.95
"38921","zcta",2019,87.63,103.24,97.79,93.64,"safety_score",101.93
"38922","zcta",2019,103.08,103.21,97.73,99.11,"safety_score",102.07
"38923","zcta",2019,104.04,103.24,123.5,71.02,"safety_score",129.45
"38924","zcta",2019,111.54,103.1,91.52,83.67,"safety_score",109.54
"38925","zcta",2019,105.43,102.83,96.37,85.98,"safety_score",107.79
"38927","zcta",2019,98.96,103.21,107.79,74.47,"safety_score",121.47
"38928","zcta",2019,87.63,103.24,73.24,106.92,"safety_score",81.01
"38929","zcta",2019,106.98,103.18,96.95,103.7,"safety_score",97.58
"38930","zcta",2019,100.11,103.24,86.23,102.31,"safety_score",91.91
"38940","zcta",2019,95.6,103.2,123.5,92.14,"safety_score",114.09
"38941","zcta",2019,100.11,103.18,72.3,110.75,"safety_score",79.07
"38943","zcta",2019,104.04,103.24,96.22,79.99,"safety_score",115.02
"38944","zcta",2019,100.11,102.55,120.15,91.42,"safety_score",113.43
"38945","zcta",2019,NA,NA,NA,NA,"safety_score",NA
"38946","zcta",2019,100.11,102.2,66.22,71.71,"safety_score",108.74
"38947","zcta",2019,104.04,103.24,109.28,68.14,"safety_score",125.62
"38948","zcta",2019,95.11,103.24,96.96,93.53,"safety_score",103.74
"38949","zcta",2019,103.48,100.82,105.87,91.63,"safety_score",109.43
"38950","zcta",2019,87.63,103.24,102.51,72.98,"safety_score",118.31
"38951","zcta",2019,110.07,103.18,120.11,55.92,"safety_score",138.61
"38952","zcta",2019,100.11,102.64,120.21,91.89,"safety_score",113.24
"38953","zcta",2019,97.93,103.12,109.66,74.01,"safety_score",122.03
"38954","zcta",2019,100.11,103.15,82.84,94.54,"safety_score",97.08
"38957","zcta",2019,87.63,103.24,104.52,109.1,"safety_score",92.22
"38958","zcta",2019,NA,NA,NA,NA,"safety_score",NA
"38961","zcta",2019,95.11,103.24,111.26,97.25,"safety_score",102.84
"38962","zcta",2019,87.63,103.24,71.67,73.14,"safety_score",107.63
"38963","zcta",2019,NA,NA,NA,NA,"safety_score",NA
"38964","zcta",2019,87.63,103.24,123.5,96.85,"safety_score",108.71
"38965","zcta",2019,105.7,103.21,106.04,101.86,"safety_score",101.66
"38966","zcta",2019,87.63,103.24,77.06,95.27,"safety_score",92.64
"38967","zcta",2019,104.04,103.04,99.68,105.62,"safety_score",97.12
"39038","zcta",2019,111.54,103.22,85.24,98.35,"safety_score",97.24
"39039","zcta",2019,104.04,103.21,110.74,66.07,"safety_score",128.05
"39040","zcta",2019,104.04,103.22,98.38,83.08,"safety_score",112.17
"39041","zcta",2019,110.34,101.46,111.49,77.12,"safety_score",120.76
"39042","zcta",2019,109.26,103.18,102.91,100.43,"safety_score",101.54
"39044","zcta",2019,110.35,102.64,106.99,80.75,"safety_score",117.85
"39045","zcta",2019,108.18,102.58,111.3,82.63,"safety_score",117.31
"39046","zcta",2019,108.18,103.2,87.88,111.95,"safety_score",86.94
"39047","zcta",2019,109.81,103.12,110.66,109.49,"safety_score",98.22
"39051","zcta",2019,103.88,103.22,98.79,93.55,"safety_score",104.7
"39054","zcta",2019,104.04,103.24,110.11,60,"safety_score",131.47
"39056","zcta",2019,110.34,102.94,87.3,115.09,"safety_score",84.62
"39057","zcta",2019,109.31,103.21,96.23,84.73,"safety_score",111.14
"39059","zcta",2019,110.34,102.9,102.06,86.47,"safety_score",112.06
"39061","zcta",2019,NA,NA,NA,NA,"safety_score",NA
"39062","zcta",2019,110.88,103.08,107.7,98.55,"safety_score",105.16
"39063","zcta",2019,111.54,103.22,72.84,103.19,"safety_score",87.71
"39066","zcta",2019,110.34,101.52,103.16,88.12,"safety_score",110.46
"39067","zcta",2019,101.03,103.14,94.78,84.51,"safety_score",109.01
"39069","zcta",2019,92.83,103.23,75.3,72.91,"safety_score",108.08
"39071","zcta",2019,109.26,102.54,89.32,93.07,"safety_score",101.41
"39073","zcta",2019,110.35,103.12,107.5,104.74,"safety_score",102.13
"39074","zcta",2019,108.64,103.24,87.43,91.58,"safety_score",102.6
"39078","zcta",2019,100.11,103.04,109.53,80.83,"safety_score",116.91
"39079","zcta",2019,106.92,102.99,76.44,84.25,"safety_score",100.06
"39082","zcta",2019,110.88,103.15,119.89,78.11,"safety_score",124.1
"39083","zcta",2019,100.11,103.23,92.96,94.49,"safety_score",100.47
"39086","zcta",2019,84.13,103.19,92.51,75.16,"safety_score",113.66
"39088","zcta",2019,NA,NA,NA,NA,"safety_score",NA
"39090","zcta",2019,100.49,103.24,93.69,110.58,"safety_score",90.26
