"geoid","geolevel","year","crime_score","infrastructure_score","social_cohesion_score","structural_composition_score","level","value"
"68001","zcta",2019,NA,NA,NA,NA,"safety_score",NA
"68002","zcta",2019,107.39,126.68,112.53,106.82,"safety_score",105.84
"68003","zcta",2019,106.36,123.35,103.76,101.14,"safety_score",104.9
"68004","zcta",2019,109.19,126.68,106.28,97.78,"safety_score",109.38
"68005","zcta",2019,101.34,105.8,88.38,125.07,"safety_score",81.08
"68007","zcta",2019,107.52,112.15,109.51,103.41,"safety_score",104.49
"68008","zcta",2019,107.39,126.68,103.72,101.09,"safety_score",105.29
"68010","zcta",2019,NA,NA,NA,NA,"safety_score",NA
"68014","zcta",2019,105.61,126.68,122.43,91.89,"safety_score",118.6
"68015","zcta",2019,106.91,126.68,114.78,92.74,"safety_score",116.12
"68016","zcta",2019,105.82,120.02,115.39,86.43,"safety_score",119.45
"68017","zcta",2019,108.61,113.25,109.89,89.07,"safety_score",112.6
"68018","zcta",2019,106.91,126.68,121.65,86.66,"safety_score",121.8
"68019","zcta",2019,109.93,106.79,109.34,91.05,"safety_score",110.95
"68020","zcta",2019,108.77,116.74,110.7,74.07,"safety_score",123.35
"68022","zcta",2019,107.65,97.62,103.14,115.38,"safety_score",90.54
"68023","zcta",2019,107.39,126.68,109.27,90.25,"safety_score",113.76
"68025","zcta",2019,102.43,116.68,92.5,115.82,"safety_score",90.07
"68028","zcta",2019,101.34,105.8,109.2,102.53,"safety_score",103.84
"68029","zcta",2019,108.66,116.74,114.31,109.8,"safety_score",102.39
"68030","zcta",2019,105.3,126.68,105.65,91.14,"safety_score",111.57
"68031","zcta",2019,102.67,116.68,112.24,97.08,"safety_score",108.34
"68033","zcta",2019,106.91,126.68,120.21,73.71,"safety_score",128.95
"68034","zcta",2019,107.39,126.68,117.6,78.94,"safety_score",124.86
"68036","zcta",2019,106.26,126.68,107.82,87.9,"safety_score",116.09
"68037","zcta",2019,105.82,120.02,113.49,96.38,"safety_score",110.86
"68038","zcta",2019,109.93,106.79,112.15,92.87,"safety_score",110.23
"68039","zcta",2019,107.62,126.68,70.46,123.48,"safety_score",79.12
"68040","zcta",2019,106.91,126.68,123.36,99.29,"safety_score",113.34
"68041","zcta",2019,106.91,126.68,107.55,103.64,"safety_score",105.6
"68042","zcta",2019,NA,NA,NA,NA,"safety_score",NA
"68044","zcta",2019,102.67,116.68,110.66,96.73,"safety_score",109.66
"68045","zcta",2019,109.56,116.74,107.59,117.46,"safety_score",94.65
"68046","zcta",2019,101.34,105.8,101.01,107.53,"safety_score",96.8
"68047","zcta",2019,107.18,126.68,110.04,93.89,"safety_score",112.5
"68048","zcta",2019,105.82,120.02,109.65,102.92,"safety_score",105.79
"68050","zcta",2019,106.91,126.68,116.6,74.52,"safety_score",127.48
"68055","zcta",2019,107.62,126.68,109.68,107.86,"safety_score",104.36
"68057","zcta",2019,97.95,106.67,116.47,96.17,"safety_score",108.67
"68058","zcta",2019,105.82,120.02,121.38,80.3,"safety_score",124.76
"68059","zcta",2019,101.34,105.8,114.95,95.01,"safety_score",110.56
"68061","zcta",2019,109.93,106.79,106.2,104.34,"safety_score",100.48
"68062","zcta",2019,107.62,126.68,111.37,91.63,"safety_score",114.47
"68063","zcta",2019,97.95,106.67,87,96.94,"safety_score",96.85
"68064","zcta",2019,107.32,117,106.64,104.35,"safety_score",103.57
"68065","zcta",2019,108.77,115.21,115.16,85.7,"safety_score",117.03
"68066","zcta",2019,106.91,126.68,106.21,107.09,"safety_score",102.41
"68067","zcta",2019,107.62,126.68,87.67,99.89,"safety_score",100.83
"68068","zcta",2019,NA,NA,NA,NA,"safety_score",NA
"68069","zcta",2019,104.5,101.71,113.25,89.64,"safety_score",112.75
"68070","zcta",2019,106.91,126.68,104.04,79.22,"safety_score",119.63
"68071","zcta",2019,107.62,126.68,60.83,122.02,"safety_score",76.22
"68072","zcta",2019,NA,NA,NA,NA,"safety_score",NA
"68073","zcta",2019,106.91,126.68,114.42,92.58,"safety_score",115.22
"68102","zcta",2019,107.65,97.62,64.7,175.7,"safety_score",33.13
"68104","zcta",2019,107.65,97.62,85.48,117.34,"safety_score",82.95
"68105","zcta",2019,107.65,97.62,64.42,140,"safety_score",60.18
"68106","zcta",2019,107.65,97.62,91.98,124.74,"safety_score",79.6
"68107","zcta",2019,107.65,97.62,50.48,117.62,"safety_score",72.32
"68108","zcta",2019,107.65,97.62,60.34,130.97,"safety_score",66.59
"68111","zcta",2019,107.65,97.62,67.61,133.28,"safety_score",67.96
"68112","zcta",2019,107.52,112.15,90.35,109.52,"safety_score",93.52
"68113","zcta",2019,101.34,105.8,105.87,172.7,"safety_score",57.73
"68114","zcta",2019,107.65,97.62,87.81,127.78,"safety_score",74.59
"68116","zcta",2019,107.65,97.62,99.47,114.43,"safety_score",89.96
"68117","zcta",2019,107.65,97.62,84.37,100.04,"safety_score",94.96
"68118","zcta",2019,107.65,97.62,113.14,98.91,"safety_score",105.25
"68122","zcta",2019,107.52,112.15,100.32,106.12,"safety_score",98.97
"68123","zcta",2019,101.34,105.8,98.98,134.03,"safety_score",79.8
"68124","zcta",2019,107.65,97.62,92.8,109.7,"safety_score",88.9
"68127","zcta",2019,107.65,97.62,76.94,136.59,"safety_score",65.7
"68128","zcta",2019,101.34,105.8,89.84,118.64,"safety_score",84.2
"68130","zcta",2019,107.65,97.62,107.12,105.77,"safety_score",98.15
"68131","zcta",2019,107.65,97.62,71.19,154.64,"safety_score",52.32
"68132","zcta",2019,107.65,97.62,84.29,129.29,"safety_score",73.35
"68133","zcta",2019,101.34,105.8,110.83,103.47,"safety_score",103.97
"68134","zcta",2019,107.65,97.62,84.55,127.93,"safety_score",74.53
"68135","zcta",2019,107.65,97.62,111.15,101.86,"safety_score",103.32
"68136","zcta",2019,101.34,105.8,105.43,104.92,"safety_score",100.84
"68137","zcta",2019,107.65,97.62,94.08,115.87,"safety_score",86.86
"68138","zcta",2019,101.34,105.8,102.03,105.1,"safety_score",99.04
"68142","zcta",2019,107.52,112.15,109.99,111.21,"safety_score",100.59
"68144","zcta",2019,107.65,97.62,98.95,104.08,"safety_score",95.57
"68147","zcta",2019,104.5,101.71,89.58,110.04,"safety_score",91.41
"68152","zcta",2019,107.52,112.15,104.21,95.66,"safety_score",106.89
"68154","zcta",2019,107.65,97.62,93.77,122.47,"safety_score",81.07
"68157","zcta",2019,104.5,101.71,89.63,112.33,"safety_score",88.76
"68164","zcta",2019,107.65,97.62,92.01,120.81,"safety_score",82.23
"68178","zcta",2019,NA,NA,NA,NA,"safety_score",NA
"68301","zcta",2019,102.41,115.06,119.63,90.6,"safety_score",115.59
"68303","zcta",2019,107.36,126.68,123.36,84.84,"safety_score",123.04
"68304","zcta",2019,105.82,120.02,118.5,83.25,"safety_score",121.42
"68305","zcta",2019,103.95,126.68,102.72,116.42,"safety_score",95.14
"68307","zcta",2019,101.1,123.35,117.52,89.18,"safety_score",116.72
"68309","zcta",2019,100.55,118.69,108.43,123.19,"safety_score",93.21
"68310","zcta",2019,100.55,118.69,104.78,108.24,"safety_score",98.71
"68313","zcta",2019,109.08,119.14,111.49,93.29,"safety_score",113.09
"68314","zcta",2019,109.08,119.14,117.38,104.94,"safety_score",107.34
"68315","zcta",2019,NA,NA,NA,NA,"safety_score",NA
"68316","zcta",2019,102.02,117.26,118.53,89.45,"safety_score",115.8
"68317","zcta",2019,103.34,113.25,113.48,94.79,"safety_score",110.56
"68318","zcta",2019,100.55,118.69,119.27,80.78,"safety_score",121.98
"68319","zcta",2019,92.48,107.84,114.76,94.06,"safety_score",108.95
"68320","zcta",2019,103.95,126.68,120.5,106.05,"safety_score",108.16
"68321","zcta",2019,103.95,126.68,122.52,90.97,"safety_score",120.31
"68322","zcta",2019,109.46,126.68,119.95,80.98,"safety_score",124.32
"68323","zcta",2019,111.56,126.68,120.96,74.04,"safety_score",129.96
"68324","zcta",2019,96.38,126.68,116.7,118.36,"safety_score",98.91
"68325","zcta",2019,104.9,112.79,116.11,88.53,"safety_score",115.51
"68326","zcta",2019,107.36,126.68,115.86,72.63,"safety_score",128.03
"68327","zcta",2019,107.36,126.68,116.56,86.85,"safety_score",120.66
"68328","zcta",2019,100.55,118.69,117.43,94.06,"safety_score",114.1
"68329","zcta",2019,101.91,126.68,111.65,92.76,"safety_score",113.6
"68331","zcta",2019,100.55,118.69,113.55,99.3,"safety_score",109.18
"68332","zcta",2019,107.44,126.68,123.36,73.25,"safety_score",130.88
"68333","zcta",2019,102.63,107.2,77.41,115.86,"safety_score",82.88
"68335","zcta",2019,98.45,126.68,118.04,70.06,"safety_score",130.03
"68336","zcta",2019,110.31,99.81,119.65,85.76,"safety_score",117.62
"68337","zcta",2019,104.89,126.68,122.2,112.56,"safety_score",107.15
"68338","zcta",2019,105.61,126.68,122.37,76.69,"safety_score",126.86
"68339","zcta",2019,109.7,109.48,118.8,84.78,"safety_score",118.26
"68340","zcta",2019,107.36,126.68,109.97,90.38,"safety_score",114.91
"68341","zcta",2019,100.37,119.99,120.24,93.67,"safety_score",114.68
"68342","zcta",2019,103.08,122.69,114.79,90.75,"safety_score",115.01
"68343","zcta",2019,102.02,116.86,114.26,89.13,"safety_score",114.79
"68344","zcta",2019,96.38,126.68,112.18,86.67,"safety_score",116.56
"68345","zcta",2019,108.22,126.68,123.36,87.93,"safety_score",122.3
"68346","zcta",2019,96.38,126.68,111.43,93.34,"safety_score",113.27
"68347","zcta",2019,104.17,115.5,118.07,86.98,"safety_score",117.62
"68348","zcta",2019,107.44,126.68,112.19,88.66,"safety_score",116.67
"68349","zcta",2019,105.82,120.02,110.39,92.88,"safety_score",111.94
"68350","zcta",2019,105.61,126.68,114,76.48,"safety_score",124.85
"68351","zcta",2019,102.02,117.26,115.7,95.68,"safety_score",110.72
"68352","zcta",2019,105.61,126.68,105.08,104.91,"safety_score",103.88
"68354","zcta",2019,102.02,117.26,111.79,84.14,"safety_score",115.98
"68355","zcta",2019,104.89,126.68,105.32,99.25,"safety_score",107.49
"68357","zcta",2019,100.55,118.69,114.01,82.85,"safety_score",119.83
"68358","zcta",2019,105.43,109.25,116.48,79.96,"safety_score",120.36
"68359","zcta",2019,102.02,116.86,116.33,105.11,"safety_score",105.93
"68360","zcta",2019,109.08,119.14,109.72,118.18,"safety_score",96.88
"68361","zcta",2019,111.56,126.68,110.9,98.47,"safety_score",109.75
"68362","zcta",2019,NA,NA,NA,NA,"safety_score",NA
"68364","zcta",2019,109.08,119.14,120.89,99.33,"safety_score",112.8
"68365","zcta",2019,111.56,126.68,101.97,91.25,"safety_score",111.6
"68366","zcta",2019,108.06,109.91,112.21,89.62,"safety_score",114.31
"68367","zcta",2019,104.37,117.89,109.96,102.93,"safety_score",105.55
"68368","zcta",2019,110.31,99.81,120.1,89.24,"safety_score",114
"68370","zcta",2019,107.36,126.68,113.18,98.4,"safety_score",110.73
"68371","zcta",2019,95.03,117.26,113.05,92.89,"safety_score",110.77
"68372","zcta",2019,110.31,99.81,110.86,99.8,"safety_score",104.32
"68375","zcta",2019,107.36,126.68,89,107.59,"safety_score",98.6
"68376","zcta",2019,106.8,126.68,114.55,87.15,"safety_score",117.91
"68377","zcta",2019,105.61,126.68,111.03,77.05,"safety_score",124.35
"68378","zcta",2019,105.69,126.68,116.93,80.1,"safety_score",124.13
"68379","zcta",2019,NA,NA,NA,NA,"safety_score",NA
"68380","zcta",2019,NA,NA,NA,NA,"safety_score",NA
"68381","zcta",2019,106.05,122.69,119.18,77.11,"safety_score",126.18
"68382","zcta",2019,NA,NA,NA,NA,"safety_score",NA
"68401","zcta",2019,92.48,107.84,110.62,95.09,"safety_score",107.39
"68402","zcta",2019,110.31,99.81,117.32,80.66,"safety_score",118.37
"68403","zcta",2019,105.82,120.02,117.99,93.97,"safety_score",114.24
"68404","zcta",2019,110.31,99.81,118.38,68.06,"safety_score",126.7
"68405","zcta",2019,109.08,119.14,106.59,112.33,"safety_score",97.66
"68406","zcta",2019,103.25,120.63,119.88,94.28,"safety_score",114.61
"68407","zcta",2019,105.82,120.02,122.35,82.86,"safety_score",122.11
"68409","zcta",2019,105.82,120.02,114.8,96.85,"safety_score",111.42
"68410","zcta",2019,96.38,126.68,93.17,112.38,"safety_score",93.01
"68413","zcta",2019,101.1,123.35,121.51,81.6,"safety_score",122.91
"68414","zcta",2019,103.95,126.68,114.66,129.29,"safety_score",92.97
"68415","zcta",2019,100.55,118.69,118.51,74.65,"safety_score",125.92
"68416","zcta",2019,111.56,126.68,115.04,102.82,"safety_score",108.53
"68417","zcta",2019,96.38,126.68,113.11,113.19,"safety_score",101.92
"68418","zcta",2019,96.38,126.68,113.15,100.68,"safety_score",108.9
"68419","zcta",2019,110.31,99.81,112.94,88.73,"safety_score",111.43
"68420","zcta",2019,111.56,126.68,103,87.63,"safety_score",114.7
"68421","zcta",2019,NA,NA,NA,NA,"safety_score",NA
"68422","zcta",2019,100.55,118.69,117.08,83.99,"safety_score",120.09
"68423","zcta",2019,109.08,119.14,120.15,70.53,"safety_score",129.1
"68424","zcta",2019,105.61,126.68,118.19,84.8,"safety_score",121.91
"68428","zcta",2019,109.7,109.48,112.08,104.24,"safety_score",104.97
"68430","zcta",2019,110.31,99.81,118.51,79.7,"safety_score",118.9
"68431","zcta",2019,104.89,126.68,115.27,64.65,"safety_score",133.34
"68433","zcta",2019,104.89,126.68,116.77,81.31,"safety_score",123.74
"68434","zcta",2019,109.08,119.14,102.79,110.61,"safety_score",96.96
"68436","zcta",2019,111.56,126.68,115.6,91.33,"safety_score",116.45
"68437","zcta",2019,104.89,126.68,116.56,84.5,"safety_score",121.08
"68438","zcta",2019,NA,NA,NA,NA,"safety_score",NA
"68439","zcta",2019,109.08,119.14,116,92.37,"safety_score",114.1
"68440","zcta",2019,NA,NA,NA,NA,"safety_score",NA
"68441","zcta",2019,111.56,126.68,117.11,89.93,"safety_score",117.64
"68442","zcta",2019,104.42,126.68,120.83,80,"safety_score",125.3
"68443","zcta",2019,107.44,126.68,114.94,88.56,"safety_score",118.54
"68444","zcta",2019,NA,NA,NA,NA,"safety_score",NA
"68445","zcta",2019,94.95,114.59,90.09,88.58,"safety_score",106.24
"68446","zcta",2019,96.38,126.68,111.65,115.44,"safety_score",98.5
"68447","zcta",2019,109.5,126.68,118.03,87.1,"safety_score",119.73
"68448","zcta",2019,96.38,126.68,119.98,90.7,"safety_score",117.65
"68450","zcta",2019,107.44,126.68,88.01,112,"safety_score",93.13
"68452","zcta",2019,NA,NA,NA,NA,"safety_score",NA
"68453","zcta",2019,103.25,120.63,118.31,81.11,"safety_score",122.11
"68454","zcta",2019,96.38,126.68,116.5,84.62,"safety_score",119.5
"68455","zcta",2019,105.82,120.02,116.66,75.95,"safety_score",125.76
"68456","zcta",2019,109.08,119.14,115.62,102.13,"safety_score",108.07
"68457","zcta",2019,104.89,126.68,111.55,85.77,"safety_score",118.12
"68458","zcta",2019,100.55,118.69,123.36,76.28,"safety_score",125.83
"68460","zcta",2019,92.48,107.84,119.27,82.07,"safety_score",118.27
"68461","zcta",2019,110.31,99.81,114.16,77.7,"safety_score",118.48
"68462","zcta",2019,108.06,109.91,108.22,99.73,"safety_score",104.7
"68463","zcta",2019,105.82,120.02,109.21,103.88,"safety_score",104.07
"68464","zcta",2019,94.95,114.59,118.32,80.61,"safety_score",121.23
"68465","zcta",2019,97.75,116.64,98.49,98.37,"safety_score",103.17
"68466","zcta",2019,100.55,118.69,114.45,90.69,"safety_score",114.01
"68467","zcta",2019,92.48,107.84,103.77,111.24,"safety_score",92.88
"68502","zcta",2019,110.31,99.81,86.66,128.11,"safety_score",75.21
"68503","zcta",2019,110.31,99.81,69.41,151.16,"safety_score",54.79
"68504","zcta",2019,110.31,99.81,81.33,152.97,"safety_score",56.43
"68505","zcta",2019,110.31,99.81,94.39,125.26,"safety_score",79.96
"68506","zcta",2019,110.31,99.81,93.9,120.4,"safety_score",82.73
"68507","zcta",2019,110.31,99.81,102.14,116.18,"safety_score",89.33
"68508","zcta",2019,NA,NA,NA,NA,"safety_score",NA
"68510","zcta",2019,110.31,99.81,93,124.18,"safety_score",80.14
"68512","zcta",2019,110.31,99.81,87.63,121.63,"safety_score",79.65
"68514","zcta",2019,NA,NA,NA,NA,"safety_score",NA
"68516","zcta",2019,110.31,99.81,99,116.28,"safety_score",87.95
"68517","zcta",2019,110.31,99.81,123.36,96.36,"safety_score",111.04
"68520","zcta",2019,110.31,99.81,120.38,97.51,"safety_score",110.61
"68521","zcta",2019,110.31,99.81,84.1,132.45,"safety_score",72.69
"68522","zcta",2019,110.31,99.81,82.01,119.77,"safety_score",80.15
"68523","zcta",2019,110.31,99.81,123.36,82.58,"safety_score",118.98
"68524","zcta",2019,110.31,99.81,91.99,123.53,"safety_score",81.19
"68526","zcta",2019,110.31,99.81,107.98,104.26,"safety_score",100.84
"68527","zcta",2019,110.31,99.81,123.36,78.76,"safety_score",121.43
"68528","zcta",2019,110.31,99.81,90.88,116.71,"safety_score",85.2
"68531","zcta",2019,110.31,99.81,87.91,150.24,"safety_score",59.49
"68532","zcta",2019,110.31,99.81,113.67,78.85,"safety_score",118.39
"68601","zcta",2019,106.77,106.5,94.2,104.89,"safety_score",98.03
"68620","zcta",2019,105.53,126.68,112.5,90.88,"safety_score",114.64
"68621","zcta",2019,97.95,106.67,123.36,72.52,"safety_score",127.42
"68622","zcta",2019,111.56,126.68,114.64,137.17,"safety_score",87.9
"68623","zcta",2019,111.56,126.68,118.42,92.23,"safety_score",118.58
"68624","zcta",2019,105.61,126.68,106.86,62.71,"safety_score",131.44
"68626","zcta",2019,105.61,126.68,112.37,81.85,"safety_score",121.01
"68627","zcta",2019,105.53,126.68,119.54,88.96,"safety_score",118.9
"68628","zcta",2019,105.53,126.68,112.93,94.48,"safety_score",114.08
