"geoid","geolevel","year","crime_score","infrastructure_score","social_cohesion_score","structural_composition_score","level","value"
"37010","zcta",2019,83.8,108.13,113.02,90.4,"safety_score",110.56
"37012","zcta",2019,102.85,101.34,108.77,85.32,"safety_score",112.1
"37013","zcta",2019,93.2,80.48,60.85,129.66,"safety_score",60.98
"37014","zcta",2019,104.38,90,119.49,101.12,"safety_score",104.57
"37015","zcta",2019,96.17,103.04,97.76,112.64,"safety_score",90.49
"37016","zcta",2019,109.23,97.19,120.42,95.66,"safety_score",110.36
"37018","zcta",2019,99.91,80.39,115.11,106.71,"safety_score",100.83
"37019","zcta",2019,106.15,114.9,116.17,106.21,"safety_score",104.25
"37020","zcta",2019,101.34,101.45,107,97.35,"safety_score",105.26
"37022","zcta",2019,100.84,107.88,104.45,91.51,"safety_score",107.5
"37023","zcta",2019,99.85,126.68,117.13,87.03,"safety_score",118.51
"37025","zcta",2019,101.07,104.18,107.44,91.36,"safety_score",108.41
"37026","zcta",2019,110.81,102.33,109.7,84.64,"safety_score",113.17
"37027","zcta",2019,100.16,83.19,107.77,104.93,"safety_score",95.64
"37028","zcta",2019,99.85,126.68,122.06,95.66,"safety_score",116.43
"37029","zcta",2019,92.66,108.66,118.85,87.96,"safety_score",114.92
"37030","zcta",2019,100.91,111.38,99,101.95,"safety_score",99.59
"37031","zcta",2019,99.18,103.9,114.39,90.73,"safety_score",111.19
"37032","zcta",2019,89.91,110.41,118.92,89.05,"safety_score",114.02
"37033","zcta",2019,103.43,117.99,109.78,102.2,"safety_score",105.45
"37034","zcta",2019,103.6,111.85,112.65,97.24,"safety_score",108.61
"37035","zcta",2019,105.53,113.79,112.01,104.05,"safety_score",104.74
"37036","zcta",2019,99.1,111.23,114.23,92.02,"safety_score",111.43
"37037","zcta",2019,101.63,94.1,111.05,104.35,"safety_score",101.56
"37040","zcta",2019,93.3,109.22,94.02,133.58,"safety_score",76.12
"37042","zcta",2019,93.3,109.22,91.02,137.67,"safety_score",72.89
"37043","zcta",2019,99.42,111.51,101.11,120.9,"safety_score",87.61
"37046","zcta",2019,104.97,98.3,115.41,114.05,"safety_score",97.58
"37047","zcta",2019,103.26,109.87,113.75,88.23,"safety_score",113.74
"37048","zcta",2019,83.66,104.62,118.32,93.76,"safety_score",109.28
"37049","zcta",2019,74.29,107.03,108.29,100.15,"safety_score",100.72
"37050","zcta",2019,101.14,115.58,114.2,80.41,"safety_score",119.21
"37051","zcta",2019,98.74,109.57,115.71,90.71,"safety_score",112.54
"37052","zcta",2019,93.3,109.22,118.48,69.86,"safety_score",125.92
"37055","zcta",2019,98.04,113.32,98.28,112.64,"safety_score",92.18
"37057","zcta",2019,103.47,110.93,123.36,116.92,"safety_score",98.33
"37058","zcta",2019,99.85,126.68,110.82,107.22,"safety_score",104.7
"37059","zcta",2019,100,100.59,114.35,98.94,"safety_score",104.47
"37060","zcta",2019,103.27,96.27,116.61,87.76,"safety_score",112.85
"37061","zcta",2019,110.26,110.82,110.59,104.27,"safety_score",102.89
"37062","zcta",2019,99.89,97.28,104.88,103.88,"safety_score",98.08
"37064","zcta",2019,100.16,83.19,101.11,111.43,"safety_score",88.76
"37066","zcta",2019,93.02,102.21,93.81,115.09,"safety_score",85.39
"37067","zcta",2019,107.12,85.9,88.93,133.6,"safety_score",68.92
"37069","zcta",2019,107.12,85.9,112.31,100.87,"safety_score",101.2
"37072","zcta",2019,86.84,96.58,90.66,114.55,"safety_score",83.56
"37073","zcta",2019,74.29,107.03,104.88,100.1,"safety_score",99.9
"37074","zcta",2019,104.75,110.71,102.25,106.44,"safety_score",98.67
"37075","zcta",2019,93.02,102.21,97.55,111.51,"safety_score",89.47
"37076","zcta",2019,100.43,86.27,86.58,126.47,"safety_score",73.88
"37078","zcta",2019,106.34,109.46,123.36,87.88,"safety_score",117.03
"37079","zcta",2019,96.58,117.95,107.18,117.48,"safety_score",93.4
"37080","zcta",2019,99.37,97.14,104.97,103.34,"safety_score",98.11
"37082","zcta",2019,105.53,113.79,113.93,92.97,"safety_score",111.41
"37083","zcta",2019,104.16,115.82,106.7,104.89,"safety_score",101.52
"37085","zcta",2019,104.64,93.07,116.63,109.02,"safety_score",100.71
"37086","zcta",2019,97.41,87.29,84.43,113.98,"safety_score",83.09
"37087","zcta",2019,104.63,103.01,95.39,113.86,"safety_score",89.23
"37090","zcta",2019,104.28,101.71,103.95,108.47,"safety_score",96.55
"37091","zcta",2019,102.2,108.19,98.15,103.75,"safety_score",97.14
"37095","zcta",2019,106.15,98.32,109.25,110.61,"safety_score",97.19
"37096","zcta",2019,104.11,105.5,107.48,84.71,"safety_score",113.06
"37097","zcta",2019,111.56,105,111.42,102.51,"safety_score",104.43
"37098","zcta",2019,103.43,117.99,104.95,93.17,"safety_score",109.35
"37101","zcta",2019,107.65,109.91,115.4,101.72,"safety_score",106.47
"37110","zcta",2019,105.2,109.16,93.4,107.73,"safety_score",93.31
"37115","zcta",2019,93.2,80.48,67.87,131.87,"safety_score",61.14
"37118","zcta",2019,106.7,96.16,117.35,82.28,"safety_score",116.67
"37122","zcta",2019,100.83,88.88,106.62,106.17,"safety_score",97.03
"37127","zcta",2019,101.63,94.1,101.15,115.08,"safety_score",89.54
"37128","zcta",2019,101.63,94.1,96,123.92,"safety_score",81.63
"37129","zcta",2019,101.63,94.1,97.4,118,"safety_score",86.41
"37130","zcta",2019,101.63,94.1,78.66,142.85,"safety_score",62.18
"37132","zcta",2019,NA,NA,NA,NA,"safety_score",NA
"37134","zcta",2019,109.25,100.93,113.24,102.7,"safety_score",103.33
"37135","zcta",2019,100.65,86.83,115.21,105.58,"safety_score",100.74
"37137","zcta",2019,103.43,117.99,115,86.32,"safety_score",117.54
"37138","zcta",2019,100.43,86.27,101.85,103.34,"safety_score",96.33
"37140","zcta",2019,NA,NA,NA,NA,"safety_score",NA
"37141","zcta",2019,74.29,107.03,113.3,104.6,"safety_score",100.88
"37142","zcta",2019,93.3,109.22,84.99,87.02,"safety_score",102.08
"37143","zcta",2019,99.37,97.14,113.43,91.56,"safety_score",109.26
"37144","zcta",2019,103.48,113.02,115.19,91.43,"safety_score",113.19
"37145","zcta",2019,102.57,117.96,108.08,90.45,"safety_score",112.43
"37146","zcta",2019,89.91,110.41,110.63,104.64,"safety_score",101.48
"37148","zcta",2019,83.66,104.62,104.87,116.54,"safety_score",90.27
"37149","zcta",2019,106.22,98.21,123.36,90.03,"safety_score",115.07
"37150","zcta",2019,107.86,109.98,94.9,98.06,"safety_score",101.79
"37151","zcta",2019,100.91,111.38,117.07,88.14,"safety_score",115.62
"37153","zcta",2019,101.34,101.45,112.89,99.23,"safety_score",106.34
"37160","zcta",2019,103.81,117.75,82.25,114.6,"safety_score",86.68
"37165","zcta",2019,NA,NA,NA,NA,"safety_score",NA
"37166","zcta",2019,103.68,97.85,104.47,105,"safety_score",96.87
"37167","zcta",2019,101.63,94.1,87.1,118.51,"safety_score",81.96
"37171","zcta",2019,93.3,109.22,123.36,76.17,"safety_score",123.65
"37172","zcta",2019,74.29,107.03,93.61,114.82,"safety_score",85.77
"37174","zcta",2019,103.26,93.39,102.41,121.41,"safety_score",84.67
"37175","zcta",2019,105.05,118.75,110.55,91.8,"safety_score",113.89
"37178","zcta",2019,105.05,118.75,110.66,87.14,"safety_score",115.76
"37179","zcta",2019,107.12,85.9,113.43,112.79,"safety_score",94.3
"37180","zcta",2019,101.05,108.81,104.15,108.68,"safety_score",97.66
"37181","zcta",2019,101.46,109.74,114.38,92.39,"safety_score",111.97
"37183","zcta",2019,102.13,95.82,106.95,87.9,"safety_score",110.82
"37184","zcta",2019,104.28,101.71,101.46,114.34,"safety_score",92.91
"37185","zcta",2019,109.75,105.88,108.82,98.42,"safety_score",105.13
"37186","zcta",2019,98.59,109.02,99.29,112.92,"safety_score",92.38
"37187","zcta",2019,99.1,111.23,108.26,109.67,"safety_score",98.67
"37188","zcta",2019,83.66,104.62,106.37,101.98,"safety_score",99.38
"37189","zcta",2019,93.2,80.48,107.94,98.58,"safety_score",99.84
"37190","zcta",2019,105.52,96.48,106.17,107.72,"safety_score",96.21
"37191","zcta",2019,93.3,109.22,115.53,98.19,"safety_score",107.6
"37201","zcta",2019,NA,NA,NA,NA,"safety_score",NA
"37203","zcta",2019,93.2,80.48,66.87,169.03,"safety_score",34.46
"37204","zcta",2019,93.2,80.48,94.49,132.87,"safety_score",70.55
"37205","zcta",2019,93.2,80.48,101.55,115.72,"safety_score",84.04
"37206","zcta",2019,93.2,80.48,79.12,131.01,"safety_score",65.42
"37207","zcta",2019,93.2,80.48,75.78,115.49,"safety_score",75.91
"37208","zcta",2019,93.2,80.48,77.02,144.68,"safety_score",55.99
"37209","zcta",2019,93.2,80.48,73.27,143.35,"safety_score",55.6
"37210","zcta",2019,93.2,80.48,49.52,145.83,"safety_score",44.87
"37211","zcta",2019,93.2,80.48,55.61,136.48,"safety_score",54
"37212","zcta",2019,93.2,80.48,86.46,143.82,"safety_score",59.52
"37213","zcta",2019,NA,NA,NA,NA,"safety_score",NA
"37214","zcta",2019,93.2,80.48,86.46,124.34,"safety_score",73.04
"37215","zcta",2019,100.16,83.19,101.19,116.21,"safety_score",84.41
"37216","zcta",2019,93.2,80.48,102.68,114.72,"safety_score",86.01
"37217","zcta",2019,93.2,80.48,47.67,137.07,"safety_score",50.04
"37218","zcta",2019,93.2,80.48,98.29,97.6,"safety_score",95.86
"37219","zcta",2019,93.2,80.48,64.95,174.66,"safety_score",29.02
"37220","zcta",2019,93.2,80.48,119.41,86.89,"safety_score",110.53
