"geoid","geolevel","year","crime_score","infrastructure_score","social_cohesion_score","structural_composition_score","level","value"
"20105","zcta",2019,106.84,102.94,104.18,105.19,"safety_score",100.11
"20106","zcta",2019,104.79,103.2,115.73,84.49,"safety_score",118
"20109","zcta",2019,99.26,103.17,51.99,139.18,"safety_score",54.91
"20110","zcta",2019,99.26,103.18,71.83,112.82,"safety_score",80.65
"20111","zcta",2019,102.74,103.17,73.22,115.34,"safety_score",81.1
"20112","zcta",2019,102.08,103.03,112,90.29,"safety_score",112.36
"20115","zcta",2019,100.19,103.18,109.05,105.46,"safety_score",100.47
"20117","zcta",2019,103.51,101.47,112.04,111.73,"safety_score",97.27
"20118","zcta",2019,NA,NA,NA,NA,"safety_score",NA
"20119","zcta",2019,100.19,103.12,112.1,88.75,"safety_score",113.08
"20120","zcta",2019,107.51,102.94,89.6,107.03,"safety_score",92.87
"20121","zcta",2019,108.18,102.64,74.83,120,"safety_score",78.64
"20124","zcta",2019,108.18,102.08,108.49,89.7,"safety_score",110.45
"20129","zcta",2019,106.84,88.58,123.5,96,"safety_score",113.42
"20130","zcta",2019,99.74,102.26,123.5,85.12,"safety_score",118.99
"20132","zcta",2019,106.84,102.82,111.69,94.01,"safety_score",109.49
"20135","zcta",2019,104.03,102.43,116.91,98.5,"safety_score",108.3
"20136","zcta",2019,102.08,103.05,106.9,96.89,"safety_score",106.13
"20137","zcta",2019,101.13,101.25,112.53,79.06,"safety_score",120.08
"20139","zcta",2019,100.19,101.35,123.5,103.62,"safety_score",106.51
"20141","zcta",2019,106.84,102.27,117.17,99.21,"safety_score",109.67
"20143","zcta",2019,102.08,96.44,119.91,70.95,"safety_score",128.17
"20144","zcta",2019,100.19,102.82,118.36,94.61,"safety_score",110.87
"20147","zcta",2019,106.84,103.12,89.86,114.23,"safety_score",86.49
"20148","zcta",2019,106.84,103.09,97.23,117.85,"safety_score",86.51
"20151","zcta",2019,108.18,102.48,78.7,99.16,"safety_score",93.14
"20152","zcta",2019,106.84,103.03,100.09,103.27,"safety_score",99.47
"20155","zcta",2019,102.08,103.09,100.24,107.46,"safety_score",95.39
"20158","zcta",2019,106.84,101.58,117.53,101.61,"safety_score",106.87
"20164","zcta",2019,106.84,103.06,69.23,108.16,"safety_score",85.06
"20165","zcta",2019,106.84,103,96.7,101.71,"safety_score",97.94
"20166","zcta",2019,106.84,102.62,72.34,129.46,"safety_score",68.3
"20169","zcta",2019,102.08,103.02,108.33,105.15,"safety_score",100.16
"20170","zcta",2019,108.18,102.83,68.1,115.85,"safety_score",78.17
"20171","zcta",2019,108.18,102.9,83.71,123.71,"safety_score",77.53
"20175","zcta",2019,106.84,103.02,100.5,106.57,"safety_score",96.26
"20176","zcta",2019,106.84,103.1,87.78,108.55,"safety_score",89.84
"20180","zcta",2019,106.84,102.25,113.82,96.15,"safety_score",109.55
"20181","zcta",2019,101.13,102.92,112.4,87.02,"safety_score",115.03
"20184","zcta",2019,103.51,95.06,117.34,87.75,"safety_score",114.56
"20186","zcta",2019,102.14,103.22,99.57,110.01,"safety_score",92.62
"20187","zcta",2019,100.19,103.22,113,92.27,"safety_score",110.99
"20190","zcta",2019,108.18,102.36,64.76,142.49,"safety_score",53.36
"20191","zcta",2019,108.18,102.66,76.73,112.88,"safety_score",81.63
"20194","zcta",2019,108.18,101.83,97.23,115.57,"safety_score",87.25
"20197","zcta",2019,106.84,100.14,118.92,98.56,"safety_score",106.64
"20198","zcta",2019,100.19,103,120.64,85.37,"safety_score",117.88
"22003","zcta",2019,108.18,102.95,56.97,111.16,"safety_score",76.29
"22015","zcta",2019,108.18,102.85,95.78,100.97,"safety_score",99.7
"22025","zcta",2019,102.08,102.95,105.09,103.57,"safety_score",98.89
"22026","zcta",2019,102.08,102.9,67.7,118.02,"safety_score",74.91
"22027","zcta",2019,108.18,94.44,114.95,110.11,"safety_score",101.44
"22030","zcta",2019,105.79,103.09,78.63,121.7,"safety_score",76.35
"22031","zcta",2019,105.79,102.97,69.81,138.41,"safety_score",61.12
"22032","zcta",2019,105.79,102.95,104.79,97.4,"safety_score",105.44
"22033","zcta",2019,108.18,102.8,77.33,126.17,"safety_score",72.62
"22035","zcta",2019,NA,NA,NA,NA,"safety_score",NA
"22039","zcta",2019,108.18,102.24,115.06,82.42,"safety_score",116.26
"22041","zcta",2019,108.18,102.62,42.28,130.33,"safety_score",53.44
"22042","zcta",2019,104.97,102.99,64.69,121.77,"safety_score",71.6
"22043","zcta",2019,108.18,102.53,71.91,125.1,"safety_score",71.34
"22044","zcta",2019,104.97,102.59,54.48,123.27,"safety_score",63.32
"22046","zcta",2019,104.97,102.76,82.69,115.47,"safety_score",81.44
"22060","zcta",2019,108.18,101.39,106.26,163.5,"safety_score",59.92
"22066","zcta",2019,107.51,102.53,112.93,82.5,"safety_score",118.57
"22079","zcta",2019,108.18,102.76,80.04,114.43,"safety_score",83.88
"22101","zcta",2019,106.79,102.92,106.04,95.08,"safety_score",106.32
"22102","zcta",2019,108.18,102.56,69.53,145.35,"safety_score",53.68
"22124","zcta",2019,108.18,102.29,98.8,100.62,"safety_score",99.44
"22125","zcta",2019,102.08,97.36,99.84,113.01,"safety_score",89.78
"22134","zcta",2019,NA,NA,NA,NA,"safety_score",NA
"22150","zcta",2019,108.18,102.63,55.37,107.83,"safety_score",79.18
"22151","zcta",2019,108.18,102.26,82.43,91.61,"safety_score",101.25
"22152","zcta",2019,108.18,102.67,93.09,100.81,"safety_score",97.23
"22153","zcta",2019,108.18,102.68,104.54,95.74,"safety_score",106.31
"22172","zcta",2019,102.08,102.68,67.77,121.41,"safety_score",72.5
"22180","zcta",2019,108.18,102.52,91.7,113.35,"safety_score",87.69
"22181","zcta",2019,108.18,102.09,91.81,100.25,"safety_score",96.6
"22182","zcta",2019,108.18,102.57,101.67,101.02,"safety_score",101.07
"22185","zcta",2019,NA,NA,NA,NA,"safety_score",NA
"22191","zcta",2019,102.08,103.16,68.41,124.85,"safety_score",71.62
"22192","zcta",2019,102.08,103.15,89.24,108.23,"safety_score",90.3
"22193","zcta",2019,102.08,103.17,83.05,100.57,"safety_score",94.69
"22201","zcta",2019,105.41,103.19,73,155.3,"safety_score",47.13
"22202","zcta",2019,105.41,103.17,70.09,163.33,"safety_score",40.03
"22203","zcta",2019,105.41,103.16,66.9,151.29,"safety_score",47.42
"22204","zcta",2019,105.41,103.21,63.22,131.11,"safety_score",60.73
"22205","zcta",2019,103.58,103.18,104.23,98.7,"safety_score",102.26
"22206","zcta",2019,107.27,103.16,73.65,142.97,"safety_score",56.66
"22207","zcta",2019,106.79,102.95,106.02,102.55,"safety_score",101.01
"22209","zcta",2019,105.41,103.09,63.39,152.97,"safety_score",42.95
"22211","zcta",2019,NA,NA,NA,NA,"safety_score",NA
"22213","zcta",2019,105.41,102.71,99.53,112.2,"safety_score",90.28
"22214","zcta",2019,NA,NA,NA,NA,"safety_score",NA
"22301","zcta",2019,109.14,103.13,101.23,119.07,"safety_score",86.98
"22302","zcta",2019,108.66,102.7,72.24,132.78,"safety_score",63.8
"22303","zcta",2019,108.18,102.03,62.82,145.14,"safety_score",51.72
"22304","zcta",2019,108.66,103.05,54.62,142.45,"safety_score",49.23
"22305","zcta",2019,109.14,103.16,50.17,140.59,"safety_score",51.76
"22306","zcta",2019,108.18,102.75,49.15,129.95,"safety_score",59.86
"22307","zcta",2019,108.18,101.46,95.58,100.39,"safety_score",96.9
"22308","zcta",2019,108.18,101.95,115.69,88.81,"safety_score",115.57
"22309","zcta",2019,108.18,102.77,64.73,113.86,"safety_score",77.79
"22310","zcta",2019,108.18,102.7,90.32,105.7,"safety_score",93.09
"22311","zcta",2019,108.66,102.74,47.37,160.99,"safety_score",34.59
"22312","zcta",2019,108.66,102.95,54.93,128.79,"safety_score",61.46
"22314","zcta",2019,109.14,103.2,81.47,138.41,"safety_score",63.07
"22315","zcta",2019,108.18,102.64,95.71,111.51,"safety_score",91.13
"22401","zcta",2019,96.45,103.2,74.57,149.9,"safety_score",52.98
"22405","zcta",2019,94.46,103.22,106.16,104.53,"safety_score",99.49
"22406","zcta",2019,97.32,103.22,97.55,112.8,"safety_score",89.72
"22407","zcta",2019,104.12,103.23,98.28,109.25,"safety_score",93.94
"22408","zcta",2019,102.76,103.23,101.04,111.33,"safety_score",93.34
"22427","zcta",2019,NA,NA,NA,NA,"safety_score",NA
"22432","zcta",2019,99.49,103.24,123.5,70.24,"safety_score",129.67
"22433","zcta",2019,101.79,103.01,102.51,88.45,"safety_score",109.61
"22435","zcta",2019,104.37,103.24,116.13,83.44,"safety_score",118.43
"22436","zcta",2019,109.61,103.11,118.56,81.83,"safety_score",122.21
"22437","zcta",2019,106.8,103.19,107.13,106.04,"safety_score",101.47
"22438","zcta",2019,109.61,102.97,123.5,78.14,"safety_score",126.57
"22443","zcta",2019,103.27,103.24,102.3,103.04,"safety_score",100.28
"22448","zcta",2019,104.65,103.13,118.48,183.7,"safety_score",51.62
"22454","zcta",2019,109.61,103.19,101.76,92.7,"safety_score",107.94
"22460","zcta",2019,110.34,103.24,118.39,74.22,"safety_score",124.83
"22469","zcta",2019,103.27,103.24,109.34,79.2,"safety_score",118.96
"22473","zcta",2019,93.71,103.23,109.56,90.84,"safety_score",111.01
"22476","zcta",2019,109.61,102.83,123.5,76.83,"safety_score",126.51
"22480","zcta",2019,87.92,102.98,107.35,94.31,"safety_score",104.46
"22482","zcta",2019,93.71,103.22,98.12,109.7,"safety_score",91.09
"22485","zcta",2019,103.96,103.24,106.74,103.68,"safety_score",100.79
"22488","zcta",2019,103.27,103.24,118.7,60.76,"safety_score",134.85
"22503","zcta",2019,87.92,103.19,118.23,80.24,"safety_score",119.98
"22504","zcta",2019,102.7,103.12,123.5,112.7,"safety_score",103.78
"22508","zcta",2019,102.96,103.21,113.15,90.54,"safety_score",114.04
"22509","zcta",2019,109.61,102.28,123.5,49,"safety_score",144.73
"22511","zcta",2019,99.49,103.24,123.5,75.64,"safety_score",126.25
"22514","zcta",2019,102.69,103.23,103.55,100.67,"safety_score",102.81
"22520","zcta",2019,103.27,103.24,111.61,88.26,"safety_score",113.67
"22529","zcta",2019,103.27,103.24,123.5,101.07,"safety_score",106.79
"22530","zcta",2019,99.49,103.24,123.5,102.7,"safety_score",108.67
"22534","zcta",2019,104.12,102.96,109.29,93.27,"safety_score",109.18
"22535","zcta",2019,101.39,103.17,96.62,92.04,"safety_score",106.58
"22538","zcta",2019,101.39,102.9,123.5,57.99,"safety_score",138.44
"22539","zcta",2019,99.49,103.24,121.67,78.79,"safety_score",124.04
"22542","zcta",2019,101.79,103.19,115.52,86.02,"safety_score",117.35
"22546","zcta",2019,103.39,103.21,104.84,100.92,"safety_score",103.41
"22548","zcta",2019,110.34,103.24,123.5,139.65,"safety_score",84.94
"22551","zcta",2019,104.12,103.2,103.88,92.94,"safety_score",107.74
"22553","zcta",2019,104.12,103.18,104,103.18,"safety_score",99.59
"22554","zcta",2019,94.46,103.23,98.95,111.82,"safety_score",91.49
"22556","zcta",2019,94.46,103.22,94.9,106.66,"safety_score",93.66
"22560","zcta",2019,106.8,103.24,98.45,111.2,"safety_score",91.96
"22567","zcta",2019,101.79,103.22,112.2,106.41,"safety_score",101.88
"22572","zcta",2019,106.81,103.24,99.55,105.53,"safety_score",97.12
"22576","zcta",2019,87.92,103.18,102.62,98.05,"safety_score",102.94
"22578","zcta",2019,87.92,103.18,121.32,91.35,"safety_score",113.62
"22579","zcta",2019,NA,NA,NA,NA,"safety_score",NA
"22580","zcta",2019,102.76,103.15,111.74,95.95,"safety_score",108.88
"22601","zcta",2019,97.35,103.22,83.6,132.52,"safety_score",70.77
"22602","zcta",2019,103.29,103.24,104.02,103.9,"safety_score",99.82
"22603","zcta",2019,103.29,103.23,100.17,99.36,"safety_score",100.82
"22610","zcta",2019,101.9,103.18,109.22,83.56,"safety_score",116.71
"22611","zcta",2019,99.29,103.24,100.23,100.89,"safety_score",99.16
"22620","zcta",2019,99.29,103.24,120.31,104.83,"safety_score",104.47
"22623","zcta",2019,106,103.18,88.63,103.33,"safety_score",95.77
"22624","zcta",2019,103.29,103.18,116.73,105.33,"safety_score",104.02
"22625","zcta",2019,103.29,103.19,119.63,88.53,"safety_score",117.53
"22627","zcta",2019,110.1,103.24,120.38,89.83,"safety_score",115.89
"22630","zcta",2019,101.17,103.24,98.73,104.64,"safety_score",96.56
"22637","zcta",2019,103.29,103.17,121.91,76.63,"safety_score",126.06
"22639","zcta",2019,100.19,102.39,123.5,96.26,"safety_score",111.6
"22640","zcta",2019,110.1,103.24,123.5,81.47,"safety_score",123.54
"22641","zcta",2019,96.67,102.97,123.5,89.93,"safety_score",117
"22642","zcta",2019,101.04,103.19,114.47,86.77,"safety_score",115.47
"22643","zcta",2019,100.19,101.64,108.36,90.45,"safety_score",111.82
"22644","zcta",2019,96.67,103.2,112.18,91.81,"safety_score",110.19
"22645","zcta",2019,102.59,103.21,102.14,97.87,"safety_score",101.58
"22646","zcta",2019,NA,NA,NA,NA,"safety_score",NA
"22650","zcta",2019,103.13,103.16,113.64,84.55,"safety_score",118.12
"22652","zcta",2019,96.67,103.18,116.64,87.22,"safety_score",115.52
"22654","zcta",2019,99.98,103.09,120.01,83.04,"safety_score",120.85
"22655","zcta",2019,102.59,103.24,103.59,107.54,"safety_score",97.44
"22656","zcta",2019,103.29,103.2,107.13,100.03,"safety_score",104.58
"22657","zcta",2019,99.28,103.23,104.02,111,"safety_score",93.91
"22660","zcta",2019,96.67,103.19,99.29,120.24,"safety_score",87.77
"22663","zcta",2019,101.29,103.17,95.03,82.13,"safety_score",111.31
"22664","zcta",2019,96.67,103.23,94.63,118.44,"safety_score",85.24
"22701","zcta",2019,103.11,103.24,94.98,114.99,"safety_score",88.16
"22709","zcta",2019,103.46,103.24,113.93,102.63,"safety_score",104.28
"22711","zcta",2019,NA,NA,NA,NA,"safety_score",NA
"22712","zcta",2019,100.19,103.19,92.15,106.77,"safety_score",92.99
"22713","zcta",2019,107.09,103.17,114.59,88.99,"safety_score",114.46
"22714","zcta",2019,104.09,103.03,107.68,84.62,"safety_score",114.14
"22715","zcta",2019,103.46,103.24,108.91,121.81,"safety_score",89.29
"22716","zcta",2019,110.1,103.24,119.18,91.56,"safety_score",114.15
"22718","zcta",2019,104.09,102.79,95.77,83.39,"safety_score",108.87
"22719","zcta",2019,103.46,103.24,75.02,82.72,"safety_score",100.3
"22720","zcta",2019,100.19,102.79,117.6,87.26,"safety_score",116.88
"22722","zcta",2019,103.46,103.24,110.02,70.12,"safety_score",125.34
"22723","zcta",2019,103.46,103.24,123.5,62.48,"safety_score",135.88
"22724","zcta",2019,104.09,103.13,118.81,83.89,"safety_score",119.29
"22726","zcta",2019,104.09,102.92,119.38,117.68,"safety_score",96.19
"22727","zcta",2019,103.46,103.24,108.98,94.55,"safety_score",107.91
"22728","zcta",2019,100.19,103.08,116.53,85.86,"safety_score",115.97
"22729","zcta",2019,NA,NA,NA,NA,"safety_score",NA
"22730","zcta",2019,103.46,103.24,123.5,77,"safety_score",123.9
"22731","zcta",2019,NA,NA,NA,NA,"safety_score",NA
"22732","zcta",2019,103.46,103.24,123.5,70.12,"safety_score",130.05
"22733","zcta",2019,103.11,103.12,86.06,102.7,"safety_score",93.45
"22734","zcta",2019,102.14,103.14,88.72,118.6,"safety_score",85.77
"22735","zcta",2019,103.78,103.2,108.52,102.14,"safety_score",102.83
"22736","zcta",2019,104.09,102.95,104.94,83.05,"safety_score",115.32
"22737","zcta",2019,104.09,103.17,113.61,93.25,"safety_score",111.25
"22738","zcta",2019,103.46,103.24,115.7,104.02,"safety_score",104.71
"22740","zcta",2019,105.88,103.15,118.94,100.06,"safety_score",108.85
"22741","zcta",2019,104.09,101.8,45.51,101.94,"safety_score",83.31
"22742","zcta",2019,100.19,103,112.24,85.18,"safety_score",113.95
"22743","zcta",2019,103.46,103.24,123.5,104.45,"safety_score",105.85
"22747","zcta",2019,110.1,103.24,115.1,85.45,"safety_score",116.28
"22749","zcta",2019,110.1,103.24,123.5,74.93,"safety_score",127.97
"22801","zcta",2019,105,103.23,76.66,146.7,"safety_score",59.06
"22802","zcta",2019,105,103.22,74.86,125.74,"safety_score",73.71
"22807","zcta",2019,NA,NA,NA,NA,"safety_score",NA
"22810","zcta",2019,96.67,103.08,99.64,101.6,"safety_score",98.18
"22811","zcta",2019,105.45,102.22,109.01,68.9,"safety_score",126.14
"22812","zcta",2019,105.74,103.19,108.26,102.42,"safety_score",101.65
"22815","zcta",2019,101.06,103.2,100.44,103.67,"safety_score",98.64
"22820","zcta",2019,105.45,101.04,102.94,118.74,"safety_score",92.32
"22821","zcta",2019,105.45,103.13,109.58,91.22,"safety_score",110.93
"22824","zcta",2019,96.67,103.23,103.99,103.62,"safety_score",98.92
"22827","zcta",2019,104.29,103.21,107.51,92.27,"safety_score",108.55
"22830","zcta",2019,105.45,102.9,111.25,90.31,"safety_score",113.32
"22831","zcta",2019,105.45,102.72,114.85,83.81,"safety_score",118.41
"22832","zcta",2019,105.45,102.66,121.71,96.12,"safety_score",112.45
"22834","zcta",2019,105.45,102.64,114.45,89.03,"safety_score",114.22
"22835","zcta",2019,103.3,103.24,109.91,98.03,"safety_score",106.48
"22840","zcta",2019,105.45,103.11,105.07,100.66,"safety_score",104.14
"22841","zcta",2019,105.74,103.06,115.93,80.53,"safety_score",120.91
"22842","zcta",2019,96.67,103.22,97.8,98.3,"safety_score",101.23
"22843","zcta",2019,106.04,103.1,113.83,74.43,"safety_score",124.57
"22844","zcta",2019,101.06,103.17,92.92,104.49,"safety_score",93.12
"22845","zcta",2019,NA,NA,NA,NA,"safety_score",NA
"22846","zcta",2019,105.45,102.97,108.54,104.89,"safety_score",101.81
"22847","zcta",2019,96.67,103.13,97.62,79.33,"safety_score",109.98
"22849","zcta",2019,104.29,103.18,105.5,93.74,"safety_score",107.7
"22850","zcta",2019,105.45,102.67,118.66,85.77,"safety_score",119.13
"22851","zcta",2019,103.13,103.24,103.48,98.04,"safety_score",103.32
"22853","zcta",2019,101.06,103.15,102.02,105.19,"safety_score",97.33
"22901","zcta",2019,98.75,103.18,85.44,129.48,"safety_score",72.45
"22902","zcta",2019,98.75,103.15,89.23,130.57,"safety_score",72.04
"22903","zcta",2019,98.75,103.19,84.34,149.39,"safety_score",58.68
"22904","zcta",2019,NA,NA,NA,NA,"safety_score",NA
"22911","zcta",2019,100.29,103,99.09,113.92,"safety_score",89.33
"22920","zcta",2019,100.26,102.84,110.81,87.52,"safety_score",112.78
"22922","zcta",2019,96.91,103.23,97.12,74.85,"safety_score",115.87
"22923","zcta",2019,100.76,102.98,106.41,109.99,"safety_score",94.53
"22931","zcta",2019,100.29,87.58,102.62,125.04,"safety_score",86.88
"22932","zcta",2019,100.29,102.69,103.04,104.19,"safety_score",99.06
"22935","zcta",2019,100.24,101.01,101.38,120.61,"safety_score",88.62
"22936","zcta",2019,100.29,102.37,119.81,82.13,"safety_score",120.55
"22937","zcta",2019,100.29,101.4,99.29,99.72,"safety_score",102.69
"22938","zcta",2019,97.38,101.69,115.24,94.66,"safety_score",110.48
"22939","zcta",2019,106.04,103.19,109.36,104.9,"safety_score",100.05
"22940","zcta",2019,100.24,101.71,123.5,81.37,"safety_score",122.72
"22942","zcta",2019,98.83,103.09,106.57,94.21,"safety_score",106.26
"22943","zcta",2019,100.29,95.29,104.99,87.1,"safety_score",111.64
"22946","zcta",2019,100.29,72.26,110.48,132.75,"safety_score",86.71
"22947","zcta",2019,98.77,102.87,114.59,99.04,"safety_score",106.57
"22948","zcta",2019,103.46,103.24,123.5,64.84,"safety_score",133.58
"22949","zcta",2019,94.46,103.24,91.12,114.96,"safety_score",85.8
"22952","zcta",2019,106.04,103.04,112.58,80.77,"safety_score",119.42
"22958","zcta",2019,100.25,103.15,120.33,80.7,"safety_score",122.32
"22959","zcta",2019,100.29,100.14,108.61,89.32,"safety_score",111.73
"22960","zcta",2019,103.13,103.21,89.24,108.57,"safety_score",89.81
"22963","zcta",2019,101.62,103.24,113.02,95.33,"safety_score",108.77
"22964","zcta",2019,94.46,103.24,123.5,68.23,"safety_score",130.12
"22967","zcta",2019,96.91,103.23,108.17,98.35,"safety_score",105.52
"22968","zcta",2019,100.24,103.04,107.47,93,"safety_score",109.39
"22969","zcta",2019,97.38,102.1,118.51,85.03,"safety_score",117.05
"22971","zcta",2019,94.46,103.24,101.28,87.06,"safety_score",109.3
"22972","zcta",2019,101.79,102.88,123.5,167.17,"safety_score",65.18
"22973","zcta",2019,101.83,103.24,104.43,95.96,"safety_score",105.5
"22974","zcta",2019,98.77,102.96,114.25,89.8,"safety_score",112.66
"22976","zcta",2019,94.46,103.24,112.96,68.87,"safety_score",126.91
"22980","zcta",2019,98.36,103.24,97.12,112.4,"safety_score",89.08
"22989","zcta",2019,NA,NA,NA,NA,"safety_score",NA
"23002","zcta",2019,103.34,103.24,113.14,93.2,"safety_score",111.07
"23004","zcta",2019,93.07,103.24,109.51,89.69,"safety_score",110.09
"23005","zcta",2019,105.39,103.18,97.78,110.25,"safety_score",91.98
"23009","zcta",2019,104.02,103.24,114.38,90.83,"safety_score",113.03
"23011","zcta",2019,NA,NA,NA,NA,"safety_score",NA
"23015","zcta",2019,101.33,103.11,112.31,89.18,"safety_score",113.27
"23021","zcta",2019,106.7,103.11,123.5,68.74,"safety_score",131.86
"23022","zcta",2019,101.62,103.17,94.53,55.01,"safety_score",128
"23023","zcta",2019,103.99,103.24,116.31,88.82,"safety_score",116.01
"23024","zcta",2019,101.31,103.16,117.81,90.04,"safety_score",114.7
"23025","zcta",2019,106.7,103.01,123.5,62.9,"safety_score",137.09
"23027","zcta",2019,81.97,103.24,113.47,87.13,"safety_score",112.57
"23030","zcta",2019,101.52,102.09,114.51,85.83,"safety_score",115.74
"23032","zcta",2019,95.79,103.24,84.23,75.51,"safety_score",110.87
"23035","zcta",2019,106.7,103.22,119.03,71.4,"safety_score",128.52
"23038","zcta",2019,95.92,103.2,111.06,95.61,"safety_score",107.75
"23039","zcta",2019,104.19,103.12,112.25,75.27,"safety_score",123.39
"23040","zcta",2019,87.52,103.24,110.24,87.96,"safety_score",111.27
"23043","zcta",2019,95.79,103.24,117.13,121.47,"safety_score",93.13
"23045","zcta",2019,106.7,102.93,123.5,63.12,"safety_score",136.23
"23047","zcta",2019,103.39,102.95,109.39,95.17,"safety_score",108.84
"23050","zcta",2019,106.86,103.11,123.5,76.14,"safety_score",126.72
"23055","zcta",2019,101.62,103.15,92.08,82.43,"safety_score",107.41
"23056","zcta",2019,106.7,103.14,110.37,82.64,"safety_score",116.74
"23059","zcta",2019,106.64,103.08,98.55,112.26,"safety_score",90.89
"23060","zcta",2019,107.89,102.95,93.57,106.73,"safety_score",94.18
"23061","zcta",2019,107.02,103.24,114.28,89.97,"safety_score",113.52
"23062","zcta",2019,107.02,103.18,109.26,98.78,"safety_score",104.83
"23063","zcta",2019,104.19,103.22,117.57,79.11,"safety_score",121.6
"23064","zcta",2019,106.7,103.08,123.5,70.12,"safety_score",130.35
"23065","zcta",2019,99.3,103.18,117.91,87.7,"safety_score",116.77
"23066","zcta",2019,NA,NA,NA,NA,"safety_score",NA
"23068","zcta",2019,106.7,103.03,123.5,63.12,"safety_score",136.23
"23069","zcta",2019,103.6,103.12,117.84,84.03,"safety_score",118.48
"23070","zcta",2019,95.79,103.24,123.5,93.08,"safety_score",113.31
"23071","zcta",2019,95.79,103.24,117.62,81.71,"safety_score",119.44
"23072","zcta",2019,107.02,103.23,107.58,101.05,"safety_score",103.88
"23075","zcta",2019,107.89,102.08,96.39,119.91,"safety_score",85.6
"23076","zcta",2019,106.7,103.19,122.13,99.63,"safety_score",112.77
"23079","zcta",2019,95.79,103.24,106.05,84.32,"safety_score",113.46
"23083","zcta",2019,103.34,103.23,114.45,87.53,"safety_score",114.85
"23084","zcta",2019,100.07,103.2,104.76,96.52,"safety_score",101.61
"23085","zcta",2019,103.99,103.24,123.5,71.01,"safety_score",130.74
"23086","zcta",2019,104.02,103.24,110.32,79.64,"safety_score",119.55
"23089","zcta",2019,101.21,103.2,112.21,94.72,"safety_score",109.74
"23091","zcta",2019,103.99,103.24,123.5,79.05,"safety_score",123.85
"23092","zcta",2019,95.79,103.24,113.79,112.93,"safety_score",94.24
"23093","zcta",2019,100.07,103.24,103.81,99.46,"safety_score",102.08
"23102","zcta",2019,101.33,103.12,118.27,87.88,"safety_score",115.74
"23103","zcta",2019,104.19,103.22,108.18,93.31,"safety_score",108.83
"23106","zcta",2019,104.02,103.24,102.14,85.99,"safety_score",112.18
"23108","zcta",2019,NA,NA,NA,NA,"safety_score",NA
"23109","zcta",2019,106.7,103.22,104.19,86.66,"safety_score",108.5
