"geoid","geolevel","year","crime_score","infrastructure_score","social_cohesion_score","structural_composition_score","level","value"
"98001","zcta",2019,98.87,102.27,90.63,102.15,"safety_score",95.11
"98002","zcta",2019,98.87,102.27,62.69,133.82,"safety_score",61.96
"98003","zcta",2019,98.87,102.27,49.1,129.88,"safety_score",59.86
"98004","zcta",2019,98.87,102.27,71.38,148.42,"safety_score",54.34
"98005","zcta",2019,98.87,102.27,70.53,130.79,"safety_score",66.63
"98006","zcta",2019,98.87,102.27,88.08,106.18,"safety_score",91.43
"98007","zcta",2019,98.87,102.27,55.4,149.12,"safety_score",48.86
"98008","zcta",2019,98.87,102.27,86.44,107.14,"safety_score",89.84
"98010","zcta",2019,98.87,102.27,111.54,101.82,"safety_score",104.67
"98011","zcta",2019,98.87,102.27,83.82,117.61,"safety_score",80.7
"98012","zcta",2019,105.16,112.62,88.53,119.81,"safety_score",85.35
"98014","zcta",2019,98.87,102.27,113.01,85.14,"safety_score",113.88
"98019","zcta",2019,98.87,102.27,110.69,95.73,"safety_score",106.87
"98020","zcta",2019,105.16,112.62,86.98,112.38,"safety_score",87.19
"98021","zcta",2019,105.16,112.62,97.74,107.35,"safety_score",97.15
"98022","zcta",2019,94.44,105.46,95.02,102.95,"safety_score",96.05
"98023","zcta",2019,98.87,102.27,77.39,121.84,"safety_score",76.38
"98024","zcta",2019,98.87,102.27,104.02,100.45,"safety_score",101.57
"98026","zcta",2019,105.16,112.62,93.34,107.39,"safety_score",94.22
"98027","zcta",2019,98.87,102.27,86.48,113.8,"safety_score",84.32
"98028","zcta",2019,98.87,102.27,91.7,112.85,"safety_score",87.27
"98029","zcta",2019,98.87,102.27,84.03,127.58,"safety_score",74.58
"98030","zcta",2019,98.87,102.27,48.25,132.9,"safety_score",58.42
"98031","zcta",2019,98.87,102.27,65.3,114.01,"safety_score",77.8
"98032","zcta",2019,98.87,102.27,47.6,140.8,"safety_score",51.85
"98033","zcta",2019,98.87,102.27,87.73,123.88,"safety_score",78.14
"98034","zcta",2019,98.87,102.27,82.06,124.36,"safety_score",75.09
"98036","zcta",2019,105.16,112.62,78.97,112.15,"safety_score",85.92
"98037","zcta",2019,105.16,112.62,66.14,124.26,"safety_score",72.53
"98038","zcta",2019,98.87,102.27,108.57,104.66,"safety_score",100.61
"98039","zcta",2019,98.87,102.27,111.2,102.62,"safety_score",103.17
"98040","zcta",2019,98.87,102.27,94.33,116.46,"safety_score",85.73
"98042","zcta",2019,98.87,102.27,102.38,96.97,"safety_score",102.85
"98043","zcta",2019,105.16,112.62,73.63,126.91,"safety_score",73.78
"98045","zcta",2019,98.87,102.27,108.43,99.1,"safety_score",102.81
"98047","zcta",2019,94.44,105.46,69.14,131.48,"safety_score",67
"98050","zcta",2019,98.87,102.27,123.36,87.77,"safety_score",115.65
"98051","zcta",2019,98.87,102.27,119,105.33,"safety_score",103.93
"98052","zcta",2019,98.87,102.27,81.56,133.56,"safety_score",69.06
"98053","zcta",2019,98.87,102.27,110.61,103.57,"safety_score",101.32
"98055","zcta",2019,98.87,102.27,61.03,139.18,"safety_score",57.9
"98056","zcta",2019,98.87,102.27,68.21,128.52,"safety_score",68.31
"98057","zcta",2019,98.87,102.27,50.37,158.52,"safety_score",40.62
"98058","zcta",2019,98.87,102.27,81.95,109.94,"safety_score",85.6
"98059","zcta",2019,98.87,102.27,85.58,108.02,"safety_score",88.78
"98065","zcta",2019,98.87,102.27,111.15,110.77,"safety_score",97.45
"98068","zcta",2019,101.42,107.42,116.21,94.63,"safety_score",111.02
"98070","zcta",2019,98.87,102.27,109.56,92.85,"safety_score",108.08
"98072","zcta",2019,102.02,107.44,99.93,109.56,"safety_score",94.42
"98074","zcta",2019,98.87,102.27,105.03,94.51,"safety_score",105.59
"98075","zcta",2019,98.87,102.27,100.09,103.66,"safety_score",97.36
"98077","zcta",2019,102.02,107.44,117.09,92.19,"safety_score",112.99
"98087","zcta",2019,105.16,112.62,62.17,137,"safety_score",63.58
"98092","zcta",2019,94.44,105.46,85.49,118.13,"safety_score",82.57
"98101","zcta",2019,98.87,102.27,62.01,166.96,"safety_score",36.77
"98102","zcta",2019,98.87,102.27,74.44,154.59,"safety_score",49.86
"98103","zcta",2019,98.87,102.27,89.54,140.22,"safety_score",67.42
"98104","zcta",2019,98.87,102.27,52.99,163.08,"safety_score",35.58
"98105","zcta",2019,98.87,102.27,83.21,165.13,"safety_score",49.69
"98106","zcta",2019,98.87,102.27,71.38,125.87,"safety_score",70.56
"98107","zcta",2019,98.87,102.27,83.96,149.69,"safety_score",57.8
"98108","zcta",2019,98.87,102.27,55.86,117.44,"safety_score",71.49
"98109","zcta",2019,98.87,102.27,68.46,167.03,"safety_score",40.22
"98110","zcta",2019,100.93,103.2,105.98,105.55,"safety_score",99.24
"98112","zcta",2019,98.87,102.27,94.7,129.93,"safety_score",75.87
"98115","zcta",2019,98.87,102.27,97.34,126.28,"safety_score",80.31
"98116","zcta",2019,98.87,102.27,94.07,126.49,"safety_score",77.71
"98117","zcta",2019,98.87,102.27,102.72,114.91,"safety_score",90.29
"98118","zcta",2019,98.87,102.27,69.06,115.91,"safety_score",77.7
"98119","zcta",2019,98.87,102.27,78.57,147.88,"safety_score",57.01
"98121","zcta",2019,98.87,102.27,62.26,167.35,"safety_score",36.64
"98122","zcta",2019,98.87,102.27,77.71,154.61,"safety_score",52.37
"98125","zcta",2019,98.87,102.27,74.42,135.58,"safety_score",64.8
"98126","zcta",2019,98.87,102.27,85.29,120.68,"safety_score",78.82
"98133","zcta",2019,98.87,102.27,73.94,131.57,"safety_score",67.23
"98134","zcta",2019,NA,NA,NA,NA,"safety_score",NA
"98136","zcta",2019,98.87,102.27,94.72,111.6,"safety_score",88.48
