"geoid","geolevel","year","crime_score","infrastructure_score","social_cohesion_score","structural_composition_score","level","value"
"24701","zcta",2019,100.85,103.2,101.13,111.61,"safety_score",92.44
"24712","zcta",2019,100.85,102.9,97.04,110.82,"safety_score",92.68
"24714","zcta",2019,100.85,98.24,113.19,49,"safety_score",139.99
"24715","zcta",2019,100.85,101.4,115.04,74.77,"safety_score",123.46
"24716","zcta",2019,106.54,102.98,107.81,55.22,"safety_score",135.15
"24719","zcta",2019,NA,NA,NA,NA,"safety_score",NA
"24724","zcta",2019,100.85,95.91,123.5,70.06,"safety_score",129.34
"24726","zcta",2019,106.54,103.11,93.42,78.86,"safety_score",112.88
"24729","zcta",2019,100.85,99.93,123.5,106.04,"safety_score",105.23
"24731","zcta",2019,100.85,98.4,123.5,63.77,"safety_score",134.51
"24733","zcta",2019,100.85,101.9,98.54,86.7,"safety_score",107.51
"24736","zcta",2019,103.7,102.49,115.14,83.69,"safety_score",118.01
"24737","zcta",2019,100.85,98.86,123.5,108.27,"safety_score",102.74
"24738","zcta",2019,100.85,100.27,96.13,121.7,"safety_score",85.02
"24740","zcta",2019,100.85,103.22,100.01,112.25,"safety_score",91.35
"24747","zcta",2019,100.85,102.98,99.7,98.33,"safety_score",101.49
"24801","zcta",2019,105.11,103.22,98.68,86.76,"safety_score",109.13
"24808","zcta",2019,103.67,103.11,121.93,82.85,"safety_score",120.69
"24811","zcta",2019,103.67,103.14,112.87,56.51,"safety_score",135.86
"24813","zcta",2019,103.67,102.79,59.06,99.06,"safety_score",86.15
"24815","zcta",2019,103.67,103.15,114.96,65.58,"safety_score",129.01
"24816","zcta",2019,103.67,102.74,123.5,49,"safety_score",144.01
"24817","zcta",2019,103.67,103.16,108.64,69.9,"safety_score",124.81
"24818","zcta",2019,106.54,103.16,119.45,77.47,"safety_score",123.89
"24822","zcta",2019,106.54,103.12,112.59,103.95,"safety_score",103.28
"24823","zcta",2019,106.54,103.04,123.5,87.95,"safety_score",118.74
"24826","zcta",2019,NA,NA,NA,NA,"safety_score",NA
"24827","zcta",2019,106.54,103.17,118.2,69.78,"safety_score",128.01
"24828","zcta",2019,105.11,103.14,99.17,80.63,"safety_score",114.8
"24830","zcta",2019,103.67,102.61,102.7,115.65,"safety_score",92.59
"24831","zcta",2019,103.67,102.75,123.5,47.66,"safety_score",145.06
"24834","zcta",2019,106.54,103.03,123.5,75.4,"safety_score",126.81
"24836","zcta",2019,103.67,103.14,116.28,74.01,"safety_score",124.87
"24839","zcta",2019,106.54,103.18,119.09,75.58,"safety_score",124.62
"24843","zcta",2019,NA,NA,NA,NA,"safety_score",NA
"24844","zcta",2019,103.67,103.18,109.42,72.18,"safety_score",122.73
"24845","zcta",2019,106.54,103.03,78.19,68,"safety_score",115.7
"24846","zcta",2019,NA,NA,NA,NA,"safety_score",NA
"24847","zcta",2019,106.54,102.86,123.5,49,"safety_score",144.45
"24848","zcta",2019,103.67,102.78,123.5,74.28,"safety_score",127.48
"24849","zcta",2019,106.54,102.78,123.5,71.88,"safety_score",129.15
"24850","zcta",2019,103.67,103.1,116.39,56.6,"safety_score",136.17
"24851","zcta",2019,106.68,103.07,109.6,65.85,"safety_score",123.93
"24853","zcta",2019,103.67,103.08,110.77,90.29,"safety_score",111.04
"24854","zcta",2019,106.54,102.86,78.13,55,"safety_score",121.85
"24857","zcta",2019,106.54,103.07,123.5,75.98,"safety_score",125.98
"24860","zcta",2019,106.54,102.84,123.5,71.88,"safety_score",129.16
"24861","zcta",2019,103.67,102.63,112.04,121.32,"safety_score",89.12
"24862","zcta",2019,103.67,103.13,114.92,65.7,"safety_score",130.18
"24866","zcta",2019,103.67,103.05,107.56,77.17,"safety_score",119.48
"24867","zcta",2019,106.54,103.01,91.06,71.88,"safety_score",116.89
"24868","zcta",2019,103.67,103.18,95.41,88.52,"safety_score",107.03
"24869","zcta",2019,106.54,102.97,89.88,89.36,"safety_score",104.85
"24870","zcta",2019,106.54,103.21,115,92.47,"safety_score",111.56
"24871","zcta",2019,103.67,102.89,123.5,63.18,"safety_score",132.57
"24872","zcta",2019,103.67,103.12,123.5,70.12,"safety_score",129.89
"24873","zcta",2019,103.67,103.13,115.9,75.66,"safety_score",122.36
"24874","zcta",2019,106.54,103.21,106.12,75.48,"safety_score",119.15
"24878","zcta",2019,103.67,103.11,102.67,142.06,"safety_score",72
"24879","zcta",2019,103.67,103.13,105.17,64.84,"safety_score",127.02
"24880","zcta",2019,106.54,103.03,80.83,139.08,"safety_score",70.13
"24881","zcta",2019,103.67,103.05,123.5,75.24,"safety_score",125.72
"24882","zcta",2019,106.54,102.94,123.5,73.88,"safety_score",127.36
"24884","zcta",2019,103.67,103.02,79.52,83.24,"safety_score",105.77
"24887","zcta",2019,NA,NA,NA,NA,"safety_score",NA
"24888","zcta",2019,NA,NA,NA,NA,"safety_score",NA
"24892","zcta",2019,103.67,103.2,101.52,85.85,"safety_score",111.19
"24894","zcta",2019,103.67,102.7,123.5,70.12,"safety_score",129.88
"24898","zcta",2019,NA,NA,NA,NA,"safety_score",NA
"24901","zcta",2019,106.76,102.79,107.18,112.75,"safety_score",93.36
"24910","zcta",2019,107.07,102.97,102,97.15,"safety_score",103.56
"24915","zcta",2019,86.85,103.24,113.12,85.36,"safety_score",113.95
"24916","zcta",2019,106.76,96.21,104.24,78.03,"safety_score",118.49
"24918","zcta",2019,107.22,103.24,113.21,90.58,"safety_score",112.64
"24920","zcta",2019,86.85,103.24,123.5,41.83,"safety_score",147.48
"24924","zcta",2019,86.85,103.24,117.77,84.74,"safety_score",117.22
"24925","zcta",2019,105.66,98.97,91.16,112.85,"safety_score",88.19
"24927","zcta",2019,86.85,103.24,115.79,73.59,"safety_score",123.03
"24931","zcta",2019,106.76,100.14,100.58,98.84,"safety_score",104.52
"24934","zcta",2019,86.85,103.24,122.2,45.47,"safety_score",144.49
"24935","zcta",2019,109.89,103.24,117.86,61.58,"safety_score",135.71
"24938","zcta",2019,106.76,100.68,109.99,84.38,"safety_score",116.34
"24941","zcta",2019,104.55,103.24,123.24,93.74,"safety_score",114.3
"24944","zcta",2019,86.85,103.24,101.1,77.1,"safety_score",115.34
"24945","zcta",2019,104.55,103.24,123.5,45.05,"safety_score",147.14
"24946","zcta",2019,86.85,103.24,119.87,72.01,"safety_score",125.63
"24951","zcta",2019,104.55,103.24,106.87,85.28,"safety_score",114.57
"24954","zcta",2019,86.85,103.24,112.07,80.49,"safety_score",116.94
"24957","zcta",2019,106.76,74.27,123.5,78.92,"safety_score",124.93
"24962","zcta",2019,109.89,103.24,123.5,69.3,"safety_score",131.67
"24963","zcta",2019,107.22,103.24,115.64,100.61,"safety_score",107.71
"24966","zcta",2019,106.76,100.29,114.87,67.57,"safety_score",129.75
"24970","zcta",2019,105.66,102.76,108.55,97.3,"safety_score",106.03
"24974","zcta",2019,104.55,103.24,123.5,47.7,"safety_score",146.47
"24976","zcta",2019,105.66,101.22,92.88,96.39,"safety_score",103.28
"24977","zcta",2019,106.76,93.52,123.5,97.07,"safety_score",110.61
"24981","zcta",2019,107.22,103.24,115.67,65.72,"safety_score",131.79
"24983","zcta",2019,104.55,103.24,114.07,78.38,"safety_score",120.54
"24984","zcta",2019,104.55,103.24,123.5,52.71,"safety_score",142.58
"24986","zcta",2019,96.8,102.85,96.29,104.24,"safety_score",95.18
"24991","zcta",2019,106.76,97.58,123.5,59.92,"safety_score",137.74
"25002","zcta",2019,NA,NA,NA,NA,"safety_score",NA
"25003","zcta",2019,99.29,102.8,108.46,92.31,"safety_score",108.9
"25005","zcta",2019,103.34,103.24,123.5,77.16,"safety_score",125.1
"25007","zcta",2019,91.51,94.56,107.68,79.02,"safety_score",116.5
"25008","zcta",2019,91.51,76.64,92.38,88.39,"safety_score",105.68
"25009","zcta",2019,109.16,103.19,112.43,83.56,"safety_score",116.59
"25011","zcta",2019,105.66,102.52,98.85,94.55,"safety_score",101.25
"25015","zcta",2019,98.16,102.62,116.48,98.02,"safety_score",107.72
"25019","zcta",2019,106.66,103.24,101.36,111.76,"safety_score",95.65
"25021","zcta",2019,109.16,103.05,71.46,136.32,"safety_score",67.23
"25022","zcta",2019,102.36,102.35,123.5,116.21,"safety_score",95.58
"25024","zcta",2019,109.16,103.14,97.73,139.3,"safety_score",73.21
"25025","zcta",2019,98.16,80.68,123.5,73.14,"safety_score",126.72
"25028","zcta",2019,109.16,103.05,123.5,72.14,"safety_score",129.81
"25030","zcta",2019,106.66,103.24,123.5,73.37,"safety_score",128.8
"25031","zcta",2019,98.79,102.87,102.7,102.15,"safety_score",97.69
"25033","zcta",2019,105.66,103.03,112.23,87.72,"safety_score",114.18
"25035","zcta",2019,98.16,101.1,91.95,132.43,"safety_score",75.44
"25036","zcta",2019,98.47,95.11,123.5,52.52,"safety_score",140.87
"25039","zcta",2019,98.16,100.32,98.67,77.52,"safety_score",115.1
"25040","zcta",2019,98.79,102.77,95.77,73.48,"safety_score",116.28
"25043","zcta",2019,104.73,103.19,102.15,99.46,"safety_score",103.26
"25044","zcta",2019,91.51,79.74,116.76,114.6,"safety_score",96.06
"25045","zcta",2019,102.72,103.09,108.29,87.92,"safety_score",111.99
"25047","zcta",2019,105.76,102.14,99.52,64.31,"safety_score",126.28
"25048","zcta",2019,NA,NA,NA,NA,"safety_score",NA
"25049","zcta",2019,109.16,103.07,117.46,94.14,"safety_score",111.66
"25051","zcta",2019,109.16,103.05,90.94,83.68,"safety_score",110.4
"25053","zcta",2019,109.16,103.23,109.18,103.26,"safety_score",102.69
"25054","zcta",2019,98.16,98.49,79.77,57.8,"safety_score",122.14
"25057","zcta",2019,98.79,102.57,78.89,85.96,"safety_score",103.13
"25059","zcta",2019,100.79,102.76,108.42,85.76,"safety_score",113.52
"25060","zcta",2019,91.51,87.01,99.49,69.16,"safety_score",119.36
"25061","zcta",2019,98.16,100.43,105.24,79.52,"safety_score",116
"25062","zcta",2019,91.51,60.3,115.52,61.32,"safety_score",130.36
"25063","zcta",2019,105.5,103.22,111.36,69.46,"safety_score",127.12
"25064","zcta",2019,98.16,102.98,97.93,116.3,"safety_score",85.73
"25067","zcta",2019,98.16,101.35,104.26,87.62,"safety_score",109.87
