"geoid","geolevel","year","crime_score","infrastructure_score","social_cohesion_score","structural_composition_score","level","value"
"02013","county",2023,NA,NA,NA,NA,"safety_score",NA
"02016","county",2023,101.82,83.51,60.48,166.51,"safety_score",31.06
"02020","county",2023,99.36,101.83,83.05,132.35,"safety_score",60.55
"02050","county",2023,101.04,98.82,67.48,109.79,"safety_score",89.4
"02060","county",2023,103.5,-20.68,112.67,131.98,"safety_score",95
"02063","county",2023,101.82,88.96,99.92,121.05,"safety_score",82.05
"02066","county",2023,103.5,62.83,110.22,115.53,"safety_score",96.85
"02068","county",2023,NA,NA,NA,NA,"safety_score",NA
"02070","county",2023,103.5,81.74,41.8,98.87,"safety_score",92.99
"02090","county",2023,99.36,103.63,99.94,135.19,"safety_score",69.08
"02100","county",2023,101.82,51.75,125.01,91.18,"safety_score",117.21
"02105","county",2023,103.5,57.16,111.59,87.03,"safety_score",119.79
"02110","county",2023,99.36,101.34,97.03,117.84,"safety_score",81.69
"02122","county",2023,99.36,102.94,108.37,102.8,"safety_score",100.74
"02130","county",2023,103.5,96.84,84.44,106.03,"safety_score",83.72
"02150","county",2023,101.82,96.23,75.74,126,"safety_score",74.78
"02158","county",2023,103.5,91.47,26.2,82.8,"safety_score",107.69
"02164","county",2023,103.5,-4.61,64.06,107.94,"safety_score",108.38
"02170","county",2023,99.36,101.17,99.85,104.67,"safety_score",97.86
"02180","county",2023,103.5,93.68,51.48,101.6,"safety_score",93.27
"02185","county",2023,103.5,94.67,42.68,125.16,"safety_score",71.78
"02188","county",2023,103.5,90.31,47.44,109.1,"safety_score",85.69
"02195","county",2023,103.5,72.33,106.85,90.79,"safety_score",114.02
"02198","county",2023,103.5,85.56,94.32,98.97,"safety_score",104.35
"02220","county",2023,101.82,91.66,89.68,136.08,"safety_score",65.46
"02230","county",2023,103.5,20.56,103.71,109.7,"safety_score",101.01
"02240","county",2023,103.5,88.9,113.88,117.64,"safety_score",97.7
"02275","county",2023,103.5,52.48,97.29,120,"safety_score",87.69
"02282","county",2023,103.5,-112.92,84.01,106.2,"safety_score",117.01
"02290","county",2023,103.5,83.88,75.7,103.88,"safety_score",103.03
"02013","county",2023,NA,NA,NA,NA,"safety_rnk",NA
"02016","county",2023,101.82,83.51,60.48,166.51,"safety_rnk",0.5293
"02020","county",2023,99.36,101.83,83.05,132.35,"safety_rnk",3.8605
"02050","county",2023,101.04,98.82,67.48,109.79,"safety_rnk",25.0311
"02060","county",2023,103.5,-20.68,112.67,131.98,"safety_rnk",34.0909
"02063","county",2023,101.82,88.96,99.92,121.05,"safety_rnk",16.4072
"02066","county",2023,103.5,62.83,110.22,115.53,"safety_rnk",37.2976
"02068","county",2023,NA,NA,NA,NA,"safety_rnk",NA
"02070","county",2023,103.5,81.74,41.8,98.87,"safety_rnk",30.5729
"02090","county",2023,99.36,103.63,99.94,135.19,"safety_rnk",7.1606
