"geoid","geolevel","year","crime_score","infrastructure_score","social_cohesion_score","structural_composition_score","level","value"
"05001","county",2023,97.36,103.35,109.16,115.27,"safety_score",92.27
"05003","county",2023,102.17,104.78,115.08,94.51,"safety_score",108.29
"05005","county",2023,102.05,101.56,114.33,111.57,"safety_score",96.7
"05007","county",2023,95.34,101.46,97,126.17,"safety_score",77.61
"05009","county",2023,98.08,102.18,118.21,109.55,"safety_score",95.42
"05011","county",2023,102.1,103.5,96.13,95.04,"safety_score",105.85
"05013","county",2023,48.91,104.78,122.33,50.38,"safety_score",133.88
"05015","county",2023,101.89,103.94,109.26,85.16,"safety_score",115.28
"05017","county",2023,98.8,104.78,96.89,82.31,"safety_score",116.32
"05019","county",2023,105.82,103.41,100.5,131.18,"safety_score",75.52
"05021","county",2023,99.82,104.23,96.62,113.68,"safety_score",88.45
"05023","county",2023,102.64,102.44,115.05,104.42,"safety_score",105.28
"05025","county",2023,106.56,104.78,112.05,53.95,"safety_score",142.84
"05027","county",2023,97.44,103.48,93.02,107.85,"safety_score",89.49
"05029","county",2023,101.82,104.14,98.47,101.06,"safety_score",101.92
"05031","county",2023,97.93,97.68,84.52,138.81,"safety_score",62.74
"05033","county",2023,100.72,103.86,93.8,106.29,"safety_score",92.13
"05035","county",2023,77.04,103.94,72.04,128.82,"safety_score",65.46
"05037","county",2023,97.71,104.3,85.41,118.74,"safety_score",86.65
"05039","county",2023,102.99,103.52,98.49,79.18,"safety_score",115.64
"05041","county",2023,99.08,104.78,73.36,110.84,"safety_score",88.26
"05043","county",2023,89.62,83.55,95.28,111.66,"safety_score",90.44
"05045","county",2023,101.54,103.13,98.88,124.38,"safety_score",77.05
"05047","county",2023,101.23,104.16,114.1,108.22,"safety_score",101.55
"05049","county",2023,84.31,104.13,119.18,82.76,"safety_score",114.33
"05051","county",2023,95.86,96.9,91.59,114.07,"safety_score",87.14
"05053","county",2023,100.06,104.05,112.97,99.09,"safety_score",100.33
"05055","county",2023,96.52,103.69,95.62,128.45,"safety_score",74.88
