"geoid","geolevel","year","crime_score","infrastructure_score","social_cohesion_score","structural_composition_score","level","value"
"04001","county",2023,108.39,97.56,79.19,62.42,"safety_score",128.64
"04003","county",2023,101.28,95.78,101.85,116.36,"safety_score",89.36
"04005","county",2023,104.6,97.17,90.49,133.79,"safety_score",72.63
"04007","county",2023,104.43,92.28,109.09,111.44,"safety_score",100.62
"04009","county",2023,99.36,101.95,86.49,115.76,"safety_score",83.59
"04011","county",2023,106.21,104.78,104.63,144.78,"safety_score",77.15
"04012","county",2023,93.55,76.2,98.86,112.03,"safety_score",100.87
"04013","county",2023,104.04,101.3,86.19,130.19,"safety_score",71.3
"04015","county",2023,99.75,96.9,108.02,115.37,"safety_score",93.42
"04017","county",2023,103.43,91.88,85.97,100.44,"safety_score",104.21
"04019","county",2023,105.7,101.69,90.22,131.34,"safety_score",73.02
"04021","county",2023,98,102.09,103.14,115.04,"safety_score",94.18
"04023","county",2023,97.88,104.17,59.06,111.22,"safety_score",85.07
"04025","county",2023,103.57,98.23,109.77,118.21,"safety_score",91.35
"04027","county",2023,100.17,99.11,72,118.33,"safety_score",87.41
"04001","county",2023,108.39,97.56,79.19,62.42,"safety_rnk",95.9527
"04003","county",2023,101.28,95.78,101.85,116.36,"safety_rnk",24.9689
"04005","county",2023,104.6,97.17,90.49,133.79,"safety_rnk",9.4956
"04007","county",2023,104.43,92.28,109.09,111.44,"safety_rnk",45.6102
"04009","county",2023,99.36,101.95,86.49,115.76,"safety_rnk",17.9016
"04011","county",2023,106.21,104.78,104.63,144.78,"safety_rnk",12.2042
"04012","county",2023,93.55,76.2,98.86,112.03,"safety_rnk",46.3885
"04013","county",2023,104.04,101.3,86.19,130.19,"safety_rnk",8.406
"04015","county",2023,99.75,96.9,108.02,115.37,"safety_rnk",31.4446
"04017","county",2023,103.43,91.88,85.97,100.44,"safety_rnk",54.0473
"04019","county",2023,105.7,101.69,90.22,131.34,"safety_rnk",9.7758
"04021","county",2023,98,102.09,103.14,115.04,"safety_rnk",32.6276
"04023","county",2023,97.88,104.17,59.06,111.22,"safety_rnk",19.7696
"04025","county",2023,103.57,98.23,109.77,118.21,"safety_rnk",27.4907
"04027","county",2023,100.17,99.11,72,118.33,"safety_rnk",22.2914
"04001","county",2023,108.39,97.56,79.19,62.42,"safety_state_rnk",100
"04003","county",2023,101.28,95.78,101.85,116.36,"safety_state_rnk",50
"04005","county",2023,104.6,97.17,90.49,133.79,"safety_state_rnk",7.1429
"04007","county",2023,104.43,92.28,109.09,111.44,"safety_state_rnk",78.5714
"04009","county",2023,99.36,101.95,86.49,115.76,"safety_state_rnk",28.5714
"04011","county",2023,106.21,104.78,104.63,144.78,"safety_state_rnk",21.4286
"04012","county",2023,93.55,76.2,98.86,112.03,"safety_state_rnk",85.7143
"04013","county",2023,104.04,101.3,86.19,130.19,"safety_state_rnk",0
"04015","county",2023,99.75,96.9,108.02,115.37,"safety_state_rnk",64.2857
"04017","county",2023,103.43,91.88,85.97,100.44,"safety_state_rnk",92.8571
"04019","county",2023,105.7,101.69,90.22,131.34,"safety_state_rnk",14.2857
"04021","county",2023,98,102.09,103.14,115.04,"safety_state_rnk",71.4286
"04023","county",2023,97.88,104.17,59.06,111.22,"safety_state_rnk",35.7143
"04025","county",2023,103.57,98.23,109.77,118.21,"safety_state_rnk",57.1429
"04027","county",2023,100.17,99.11,72,118.33,"safety_state_rnk",42.8571
