"geoid","geolevel","year","crime_score","infrastructure_score","social_cohesion_score","structural_composition_score","level","value"
"06001","county",2023,107.26,102.41,78.79,127.65,"safety_score",66.07
"06003","county",2023,103.5,39.79,109.49,90.8,"safety_score",122.12
"06005","county",2023,104.21,102.96,113.34,101.88,"safety_score",104.51
"06007","county",2023,102.73,103.22,90.36,145.04,"safety_score",59.29
"06009","county",2023,108.24,103.91,119.17,85.22,"safety_score",120.73
"06011","county",2023,103.38,104.05,79.55,105.02,"safety_score",84.87
"06013","county",2023,104.8,102.26,86.27,110.81,"safety_score",81.31
"06015","county",2023,106.63,103.61,97.39,104.25,"safety_score",93.85
"06017","county",2023,98.37,103.66,109.9,101.4,"safety_score",102.54
"06019","county",2023,101.06,101.91,62.27,121.15,"safety_score",72.29
"06021","county",2023,106.47,104.22,88.53,108.6,"safety_score",94.79
"06023","county",2023,103.07,100.29,97.85,132.16,"safety_score",75.98
"06025","county",2023,104.76,99.74,47.47,113.06,"safety_score",80.76
"06027","county",2023,108.02,84.72,109.43,108.18,"safety_score",101.91
"06029","county",2023,101.9,100.6,65.38,115.17,"safety_score",81.86
"06031","county",2023,101.57,103.61,64.37,123.94,"safety_score",70.08
"06033","county",2023,94,104.08,96.6,109.97,"safety_score",92.87
"06035","county",2023,91.03,104.35,101.55,109.8,"safety_score",91.73
"06037","county",2023,107.75,101.47,60.25,126.9,"safety_score",63.13
"06039","county",2023,99.28,101.89,65.67,109.16,"safety_score",87.35
"06041","county",2023,106.45,102.16,90.28,111.74,"safety_score",84.09
"06043","county",2023,90.72,103.38,111.79,101.27,"safety_score",105.12
"06045","county",2023,106.8,99.89,90.33,105.84,"safety_score",96.93
"06047","county",2023,104.16,102.03,56.47,126.32,"safety_score",72.92
"06049","county",2023,104.42,104.78,113.04,103.47,"safety_score",104.47
"06051","county",2023,107.35,101.34,93.52,102.52,"safety_score",93.66
"06053","county",2023,101.08,101.66,58.04,124.3,"safety_score",71.54
"06055","county",2023,107.98,99.71,90.02,110.94,"safety_score",90.44
"06057","county",2023,103.37,103.17,111.99,91.6,"safety_score",110.29
"06059","county",2023,106.31,100.64,76.2,124.99,"safety_score",67.89
"06061","county",2023,105.78,101.34,106.42,106.84,"safety_score",97.91
"06063","county",2023,103.5,99.16,110.01,103.46,"safety_score",104.9
"06065","county",2023,107.64,102.1,82.87,107.31,"safety_score",92.62
"06067","county",2023,107.84,102.36,79.39,126.79,"safety_score",71.5
"06069","county",2023,99.57,103.77,78.75,107.02,"safety_score",91.79
"06071","county",2023,107.36,101.92,70.87,110.08,"safety_score",86.06
"06073","county",2023,104.62,101.17,80.35,130.88,"safety_score",65.37
"06075","county",2023,108.35,102.26,69,147.4,"safety_score",40.58
"06077","county",2023,100.34,102.27,71.83,120.2,"safety_score",77.25
"06079","county",2023,107.9,97.7,101.66,131.33,"safety_score",75.39
"06081","county",2023,105.85,102.73,83.06,121.96,"safety_score",72.93
"06083","county",2023,104.02,101.65,70.17,134,"safety_score",63.75
"06085","county",2023,107.38,102.3,79.06,132.13,"safety_score",65.46
"06087","county",2023,105.99,101.31,90.13,118.42,"safety_score",83.57
"06089","county",2023,107.18,98.39,99.41,122,"safety_score",82.32
"06091","county",2023,103.5,64.45,119.52,97.53,"safety_score",112.98
"06093","county",2023,106.67,92.98,99.56,108.78,"safety_score",96.14
"06095","county",2023,101.32,103.94,82.36,118.06,"safety_score",78.03
"06097","county",2023,105.42,101.1,87.63,115.48,"safety_score",85.02
"06099","county",2023,107.23,100.58,76.76,115.61,"safety_score",81.53
"06101","county",2023,100.77,102.9,73.5,126.68,"safety_score",69.18
"06103","county",2023,103.57,104.25,89.61,101.54,"safety_score",95.55
"06105","county",2023,104.93,104.28,125.52,104.72,"safety_score",108.82
"06107","county",2023,104.47,102.19,56.3,112.72,"safety_score",85.29
"06109","county",2023,107.01,102.11,108.19,95.9,"safety_score",108.33
"06111","county",2023,105.4,100.7,84.17,107.21,"safety_score",89.08
"06113","county",2023,106.25,101.78,81.82,145.11,"safety_score",59.98
"06115","county",2023,106.49,104.36,81.11,120.91,"safety_score",81.19
"06001","county",2023,107.26,102.41,78.79,127.65,"safety_rnk",6.071
"06003","county",2023,103.5,39.79,109.49,90.8,"safety_rnk",90.0996
"06005","county",2023,104.21,102.96,113.34,101.88,"safety_rnk",54.8879
"06007","county",2023,102.73,103.22,90.36,145.04,"safety_rnk",3.5492
"06009","county",2023,108.24,103.91,119.17,85.22,"safety_rnk",88.2628
"06011","county",2023,103.38,104.05,79.55,105.02,"safety_rnk",19.6451
"06013","county",2023,104.8,102.26,86.27,110.81,"safety_rnk",15.6912
"06015","county",2023,106.63,103.61,97.39,104.25,"safety_rnk",32.0984
"06017","county",2023,98.37,103.66,109.9,101.4,"safety_rnk",49.9377
"06019","county",2023,101.06,101.91,62.27,121.15,"safety_rnk",9.1532
"06021","county",2023,106.47,104.22,88.53,108.6,"safety_rnk",33.7796
"06023","county",2023,103.07,100.29,97.85,132.16,"safety_rnk",11.3948
"06025","county",2023,104.76,99.74,47.47,113.06,"safety_rnk",15.2553
"06027","county",2023,108.02,84.72,109.43,108.18,"safety_rnk",48.6301
"06029","county",2023,101.9,100.6,65.38,115.17,"safety_rnk",16.345
"06031","county",2023,101.57,103.61,64.37,123.94,"safety_rnk",7.721
"06033","county",2023,94,104.08,96.6,109.97,"safety_rnk",30.3861
"06035","county",2023,91.03,104.35,101.55,109.8,"safety_rnk",28.2379
"06037","county",2023,107.75,101.47,60.25,126.9,"safety_rnk",4.67
"06039","county",2023,99.28,101.89,65.67,109.16,"safety_rnk",22.2291
"06041","county",2023,106.45,102.16,90.28,111.74,"safety_rnk",18.6488
"06043","county",2023,90.72,103.38,111.79,101.27,"safety_rnk",56.1021
"06045","county",2023,106.8,99.89,90.33,105.84,"safety_rnk",37.391
"06047","county",2023,104.16,102.03,56.47,126.32,"safety_rnk",9.6824
"06049","county",2023,104.42,104.78,113.04,103.47,"safety_rnk",54.7945
"06051","county",2023,107.35,101.34,93.52,102.52,"safety_rnk",31.6314
"06053","county",2023,101.08,101.66,58.04,124.3,"safety_rnk",8.5616
"06055","county",2023,107.98,99.71,90.02,110.94,"safety_rnk",26.1519
"06057","county",2023,103.37,103.17,111.99,91.6,"safety_rnk",69.3026
"06059","county",2023,106.31,100.64,76.2,124.99,"safety_rnk",6.6625
"06061","county",2023,105.78,101.34,106.42,106.84,"safety_rnk",39.259
"06063","county",2023,103.5,99.16,110.01,103.46,"safety_rnk",55.604
"06065","county",2023,107.64,102.1,82.87,107.31,"safety_rnk",29.8257
"06067","county",2023,107.84,102.36,79.39,126.79,"safety_rnk",8.5305
"06069","county",2023,99.57,103.77,78.75,107.02,"safety_rnk",28.4558
"06071","county",2023,107.36,101.92,70.87,110.08,"safety_rnk",20.7659
"06073","county",2023,104.62,101.17,80.35,130.88,"safety_rnk",5.4795
"06075","county",2023,108.35,102.26,69,147.4,"safety_rnk",1.0274
"06077","county",2023,100.34,102.27,71.83,120.2,"safety_rnk",12.3599
"06079","county",2023,107.9,97.7,101.66,131.33,"safety_rnk",11.0212
"06081","county",2023,105.85,102.73,83.06,121.96,"safety_rnk",9.7136
"06083","county",2023,104.02,101.65,70.17,134,"safety_rnk",4.8257
"06085","county",2023,107.38,102.3,79.06,132.13,"safety_rnk",5.5729
"06087","county",2023,105.99,101.31,90.13,118.42,"safety_rnk",17.8394
"06089","county",2023,107.18,98.39,99.41,122,"safety_rnk",16.7808
"06091","county",2023,103.5,64.45,119.52,97.53,"safety_rnk",75
"06093","county",2023,106.67,92.98,99.56,108.78,"safety_rnk",36.0212
"06095","county",2023,101.32,103.94,82.36,118.06,"safety_rnk",12.9203
"06097","county",2023,105.42,101.1,87.63,115.48,"safety_rnk",19.7385
"06099","county",2023,107.23,100.58,76.76,115.61,"safety_rnk",15.9402
"06101","county",2023,100.77,102.9,73.5,126.68,"safety_rnk",7.254
"06103","county",2023,103.57,104.25,89.61,101.54,"safety_rnk",35.1494
"06105","county",2023,104.93,104.28,125.52,104.72,"safety_rnk",65.1619
"06107","county",2023,104.47,102.19,56.3,112.72,"safety_rnk",20.0187
"06109","county",2023,107.01,102.11,108.19,95.9,"safety_rnk",63.7609
"06111","county",2023,105.4,100.7,84.17,107.21,"safety_rnk",24.5019
"06113","county",2023,106.25,101.78,81.82,145.11,"safety_rnk",3.6737
"06115","county",2023,106.49,104.36,81.11,120.91,"safety_rnk",15.6289
"06001","county",2023,107.26,102.41,78.79,127.65,"safety_state_rnk",12.2807
"06003","county",2023,103.5,39.79,109.49,90.8,"safety_state_rnk",100
"06005","county",2023,104.21,102.96,113.34,101.88,"safety_state_rnk",85.9649
"06007","county",2023,102.73,103.22,90.36,145.04,"safety_state_rnk",1.7544
"06009","county",2023,108.24,103.91,119.17,85.22,"safety_state_rnk",98.2456
"06011","county",2023,103.38,104.05,79.55,105.02,"safety_state_rnk",49.1228
"06013","county",2023,104.8,102.26,86.27,110.81,"safety_state_rnk",38.5965
"06015","county",2023,106.63,103.61,97.39,104.25,"safety_state_rnk",70.1754
"06017","county",2023,98.37,103.66,109.9,101.4,"safety_state_rnk",82.4561
"06019","county",2023,101.06,101.91,62.27,121.15,"safety_state_rnk",22.807
"06021","county",2023,106.47,104.22,88.53,108.6,"safety_state_rnk",71.9298
"06023","county",2023,103.07,100.29,97.85,132.16,"safety_state_rnk",29.8246
"06025","county",2023,104.76,99.74,47.47,113.06,"safety_state_rnk",35.0877
"06027","county",2023,108.02,84.72,109.43,108.18,"safety_state_rnk",80.7018
"06029","county",2023,101.9,100.6,65.38,115.17,"safety_state_rnk",42.1053
"06031","county",2023,101.57,103.61,64.37,123.94,"safety_state_rnk",17.5439
"06033","county",2023,94,104.08,96.6,109.97,"safety_state_rnk",66.6667
"06035","county",2023,91.03,104.35,101.55,109.8,"safety_state_rnk",61.4035
"06037","county",2023,107.75,101.47,60.25,126.9,"safety_state_rnk",5.2632
"06039","county",2023,99.28,101.89,65.67,109.16,"safety_state_rnk",56.1404
"06041","county",2023,106.45,102.16,90.28,111.74,"safety_state_rnk",47.3684
"06043","county",2023,90.72,103.38,111.79,101.27,"safety_state_rnk",89.4737
"06045","county",2023,106.8,99.89,90.33,105.84,"safety_state_rnk",77.193
"06047","county",2023,104.16,102.03,56.47,126.32,"safety_state_rnk",24.5614
"06049","county",2023,104.42,104.78,113.04,103.47,"safety_state_rnk",84.2105
"06051","county",2023,107.35,101.34,93.52,102.52,"safety_state_rnk",68.4211
"06053","county",2023,101.08,101.66,58.04,124.3,"safety_state_rnk",21.0526
"06055","county",2023,107.98,99.71,90.02,110.94,"safety_state_rnk",59.6491
"06057","county",2023,103.37,103.17,111.99,91.6,"safety_state_rnk",94.7368
"06059","county",2023,106.31,100.64,76.2,124.99,"safety_state_rnk",14.0351
"06061","county",2023,105.78,101.34,106.42,106.84,"safety_state_rnk",78.9474
"06063","county",2023,103.5,99.16,110.01,103.46,"safety_state_rnk",87.7193
"06065","county",2023,107.64,102.1,82.87,107.31,"safety_state_rnk",64.9123
"06067","county",2023,107.84,102.36,79.39,126.79,"safety_state_rnk",19.2982
"06069","county",2023,99.57,103.77,78.75,107.02,"safety_state_rnk",63.1579
"06071","county",2023,107.36,101.92,70.87,110.08,"safety_state_rnk",54.386
"06073","county",2023,104.62,101.17,80.35,130.88,"safety_state_rnk",8.7719
"06075","county",2023,108.35,102.26,69,147.4,"safety_state_rnk",0
"06077","county",2023,100.34,102.27,71.83,120.2,"safety_state_rnk",31.5789
"06079","county",2023,107.9,97.7,101.66,131.33,"safety_state_rnk",28.0702
"06081","county",2023,105.85,102.73,83.06,121.96,"safety_state_rnk",26.3158
"06083","county",2023,104.02,101.65,70.17,134,"safety_state_rnk",7.0175
"06085","county",2023,107.38,102.3,79.06,132.13,"safety_state_rnk",10.5263
"06087","county",2023,105.99,101.31,90.13,118.42,"safety_state_rnk",45.614
"06089","county",2023,107.18,98.39,99.41,122,"safety_state_rnk",43.8596
"06091","county",2023,103.5,64.45,119.52,97.53,"safety_state_rnk",96.4912
"06093","county",2023,106.67,92.98,99.56,108.78,"safety_state_rnk",75.4386
"06095","county",2023,101.32,103.94,82.36,118.06,"safety_state_rnk",33.3333
"06097","county",2023,105.42,101.1,87.63,115.48,"safety_state_rnk",50.8772
"06099","county",2023,107.23,100.58,76.76,115.61,"safety_state_rnk",40.3509
"06101","county",2023,100.77,102.9,73.5,126.68,"safety_state_rnk",15.7895
"06103","county",2023,103.57,104.25,89.61,101.54,"safety_state_rnk",73.6842
"06105","county",2023,104.93,104.28,125.52,104.72,"safety_state_rnk",92.9825
"06107","county",2023,104.47,102.19,56.3,112.72,"safety_state_rnk",52.6316
"06109","county",2023,107.01,102.11,108.19,95.9,"safety_state_rnk",91.2281
"06111","county",2023,105.4,100.7,84.17,107.21,"safety_state_rnk",57.8947
"06113","county",2023,106.25,101.78,81.82,145.11,"safety_state_rnk",3.5088
"06115","county",2023,106.49,104.36,81.11,120.91,"safety_state_rnk",36.8421
