"geoid","geolevel","year","crime_score","infrastructure_score","social_cohesion_score","structural_composition_score","level","value"
"46003","county",2023,105.72,104.78,116.62,80.74,"safety_score",121.78
"46005","county",2023,104.47,104.37,88.07,112.02,"safety_score",89.97
"46007","county",2023,88.97,104.78,72.29,85.96,"safety_score",106.52
"46009","county",2023,107.41,104.78,118.49,98.26,"safety_score",107.93
"46011","county",2023,103.88,104.32,108.48,151.7,"safety_score",64.6
"46013","county",2023,95.69,103.31,100.54,110.38,"safety_score",84.53
"46015","county",2023,105.35,104.78,114.19,90.8,"safety_score",107.87
"46017","county",2023,103.5,42.09,50.14,92.06,"safety_score",109.07
"46019","county",2023,104.32,104.78,113.6,84.14,"safety_score",116.71
"46021","county",2023,108.39,104.78,134.04,68.79,"safety_score",135.22
"46023","county",2023,92.9,104.78,101.51,91.26,"safety_score",108.44
"46025","county",2023,108.39,104.78,113.81,69.74,"safety_score",127.43
"46027","county",2023,99.79,104.78,97.18,165.53,"safety_score",38.88
"46029","county",2023,103.34,103.76,104.95,110.09,"safety_score",92.25
"46031","county",2023,104.83,104.78,67.33,72.99,"safety_score",117.33
"46033","county",2023,93.4,103.86,123.86,85,"safety_score",114.92
"46035","county",2023,89.47,102.64,106.26,111.59,"safety_score",81.37
"46037","county",2023,105.87,104.78,109.62,90.25,"safety_score",114.69
"46039","county",2023,97.27,104.78,114.32,77.36,"safety_score",117.21
"46041","county",2023,108.39,103.25,67.47,88.49,"safety_score",107.3
"46043","county",2023,103.53,104.78,121.75,88.83,"safety_score",114.63
"46045","county",2023,108.39,104.78,124.67,101.06,"safety_score",107.88
"46047","county",2023,101.7,104.78,110.79,108.28,"safety_score",89.99
"46049","county",2023,108.39,104.78,129.8,62.01,"safety_score",136.63
"46051","county",2023,99.32,104.78,115.9,89.27,"safety_score",111.42
"46053","county",2023,106.67,104.78,124.79,85.09,"safety_score",116.35
"46055","county",2023,108.39,104.78,127.75,51.25,"safety_score",141.2
