"geoid","geolevel","year","crime_score","infrastructure_score","social_cohesion_score","structural_composition_score","level","value"
"19001960100","tract",2023,107.22,109.54,112.62,91.24,"safety_score",112.52
"19001960200","tract",2023,103.01,109.54,119.14,73.77,"safety_score",125.7
"19001960300","tract",2023,110.96,109.54,116.79,90.61,"safety_score",113.74
"19003950100","tract",2023,108.16,109.54,120.43,84.47,"safety_score",120.04
"19003950200","tract",2023,108.43,109.54,113.6,87.86,"safety_score",116.93
"19005960100","tract",2023,106.11,109.51,114.76,73.83,"safety_score",125.28
"19005960200","tract",2023,106.11,109.51,126.66,63.52,"safety_score",135.49
"19005960300","tract",2023,106.11,109.52,115.99,96.76,"safety_score",110.86
"19005960400","tract",2023,105.79,109.51,127.15,75.31,"safety_score",129.1
"19005960500","tract",2023,105.79,109.52,83,95.89,"safety_score",100.39
"19007950100","tract",2023,107.65,109.52,121.08,88.9,"safety_score",117.1
"19007950200","tract",2023,106.27,109.5,118.05,77.04,"safety_score",124.3
"19007950300","tract",2023,107.78,109.52,109.55,101.45,"safety_score",104.78
"19007950400","tract",2023,107.78,109.52,110.87,97.61,"safety_score",108.84
"19007950500","tract",2023,107.78,109.51,110.4,89.71,"safety_score",113.27
"19009070100","tract",2023,107.5,106.56,118.3,86.73,"safety_score",116.99
"19009070200","tract",2023,107.5,107.14,112.08,98.94,"safety_score",109.41
"19009070300","tract",2023,107.5,106.25,120.5,77.38,"safety_score",123.29
"19011960100","tract",2023,106.06,109.49,120.03,79.97,"safety_score",125.02
"19011960200","tract",2023,107.06,109.49,112.41,86.16,"safety_score",117.18
"19011960300","tract",2023,107.18,109.51,108.87,87.95,"safety_score",114.31
"19011960400","tract",2023,105.78,109.49,124.63,83.42,"safety_score",122.56
"19011960500","tract",2023,106.12,109.51,120.15,79.99,"safety_score",123.07
"19011960600","tract",2023,106.82,109.49,114.71,81.94,"safety_score",119.82
"19011960700","tract",2023,104.29,109.49,114.85,92.67,"safety_score",112.58
