"geoid","geolevel","year","crime_score","infrastructure_score","social_cohesion_score","structural_composition_score","level","value"
"45001950100","tract",2023,97.41,109.51,118.35,86.7,"safety_score",116.92
"45001950200","tract",2023,99.71,109.52,116.92,86.51,"safety_score",117.53
"45001950300","tract",2023,101.89,109.51,113.74,73.79,"safety_score",125.89
"45001950401","tract",2023,100.11,109.51,111.71,87.92,"safety_score",113.01
"45001950402","tract",2023,98.12,109.5,125.09,74.12,"safety_score",126.77
"45001950500","tract",2023,98.62,109.52,104.66,84.9,"safety_score",112.51
"45001950600","tract",2023,100.26,109.5,108.34,76.7,"safety_score",119.91
"45003020100","tract",2023,95.69,109.34,116.54,72.58,"safety_score",125.97
"45003020200","tract",2023,100.38,109.39,118.89,82.59,"safety_score",120.44
"45003020301","tract",2023,100.99,109.09,110.86,89.24,"safety_score",114.42
"45003020303","tract",2023,101.42,109.14,98.5,85.41,"safety_score",111.6
"45003020304","tract",2023,101.42,109.34,108.72,113.99,"safety_score",98.53
"45003020401","tract",2023,101.42,109.4,110.09,96.3,"safety_score",110.04
"45003020402","tract",2023,101.42,109.04,83.35,81.72,"safety_score",107.13
"45003020500","tract",2023,100.99,109.42,123.23,92.75,"safety_score",115.87
"45003020601","tract",2023,101.42,109.28,118.39,78.17,"safety_score",123.28
"45003020603","tract",2023,101.42,109.23,99.62,89.7,"safety_score",110.84
"45003020604","tract",2023,101.42,109.12,87.79,88.8,"safety_score",107.43
"45003020701","tract",2023,101.42,109.36,117.51,82.56,"safety_score",120.51
"45003020702","tract",2023,101.42,109.32,87.1,127.35,"safety_score",82.63
"45003020801","tract",2023,101.42,109.28,125.59,80.98,"safety_score",124.5
"45003020802","tract",2023,101.42,109.37,114.45,114.87,"safety_score",96.49
"45003020901","tract",2023,101.42,109.1,106.45,87.12,"safety_score",114.36
"45003020903","tract",2023,101.42,109.25,101.68,74.59,"safety_score",120.99
"45003020904","tract",2023,101.42,109.25,114.32,80.61,"safety_score",120.72
"45003021001","tract",2023,101.42,109.31,117.68,88.77,"safety_score",115.9
"45003021003","tract",2023,101.42,109.18,103.16,97.06,"safety_score",105.38
"45003021004","tract",2023,101.42,108.99,77.08,107.64,"safety_score",91.31
"45003021101","tract",2023,101.42,109.17,111.81,83.94,"safety_score",116.8
"45003021102","tract",2023,101.42,109.27,110.06,90.2,"safety_score",113.34
"45003021201","tract",2023,101.42,109.38,110.44,94.13,"safety_score",110.22
"45003021202","tract",2023,101.42,109.28,114.12,122.79,"safety_score",92.7
"45003021204","tract",2023,101.42,109.12,100.89,108.63,"safety_score",96.5
"45003021205","tract",2023,101.42,109.4,123.32,89.63,"safety_score",118.72
"45003021300","tract",2023,101.42,109.35,110.44,88.83,"safety_score",112.93
"45003021401","tract",2023,101.42,109.14,107.27,108.58,"safety_score",99
"45003021402","tract",2023,101.42,109.25,87.74,93.14,"safety_score",102.14
"45003021500","tract",2023,101.42,109.34,112.42,88.88,"safety_score",114.3
"45003021601","tract",2023,101.42,109.37,102.99,120.65,"safety_score",94.37
"45003021603","tract",2023,101.42,109.22,108.06,94.99,"safety_score",109.17
"45003021604","tract",2023,101.42,109.36,114.22,99.49,"safety_score",108.88
"45003021700","tract",2023,100.35,109.34,111.59,81.31,"safety_score",119.04
"45003021800","tract",2023,99.28,109.1,99.48,82.96,"safety_score",114.14
"45003021901","tract",2023,100.37,109.18,108.54,80.91,"safety_score",122.22
"45003021902","tract",2023,100.73,109.2,119.36,70.44,"safety_score",128.37
"45003022001","tract",2023,101.42,109.34,105.43,89.3,"safety_score",112.93
"45003022003","tract",2023,101.42,109.33,120.32,85.72,"safety_score",119.75
"45003022004","tract",2023,101.42,109.09,114.36,80.84,"safety_score",119.94
"45003022100","tract",2023,101.42,109.25,111.69,94.88,"safety_score",110.83
"45003980100","tract",2023,NA,NA,NA,NA,"safety_score",NA
"45005970201","tract",2023,79.89,109.54,112.15,95.58,"safety_score",108.56
"45005970202","tract",2023,79.88,109.54,106.18,87.5,"safety_score",113.26
"45005970500","tract",2023,79.57,109.54,112.49,73.44,"safety_score",122.34
"45007000200","tract",2023,100.56,107.01,114.55,96.48,"safety_score",108.22
"45007000300","tract",2023,100.56,107.26,98.44,123.41,"safety_score",85.92
"45007000500","tract",2023,100.56,104.46,94.09,79.11,"safety_score",110.47
"45007000600","tract",2023,100.56,105.93,87.59,129.06,"safety_score",78.7
"45007000701","tract",2023,100.56,104.76,86.83,134.62,"safety_score",76.85
"45007000702","tract",2023,100.56,104.1,104.54,100.95,"safety_score",101.6
"45007000800","tract",2023,100.56,105.21,95.47,103.24,"safety_score",97.44
"45007000900","tract",2023,100.56,105.56,99.38,118.08,"safety_score",90.49
"45007001000","tract",2023,100.56,104.69,94.61,141.25,"safety_score",73.13
