"geoid","geolevel","year","crime_score","infrastructure_score","social_cohesion_score","structural_composition_score","level","value"
"99501","zcta",2023,102.47,103.04,66.36,138.04,"safety_score",55.56
"99502","zcta",2023,102.47,103.28,89.61,112.76,"safety_score",86.32
"99503","zcta",2023,102.47,103.28,62.75,151.67,"safety_score",46.74
"99504","zcta",2023,102.47,103.43,83.25,117.38,"safety_score",79.63
"99505","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"99506","zcta",2023,102.47,102.17,100.14,163.07,"safety_score",54.72
"99507","zcta",2023,102.47,103.39,85.67,109.11,"safety_score",88.03
"99508","zcta",2023,102.47,103.4,61.25,136.57,"safety_score",56.62
"99513","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"99515","zcta",2023,102.47,103.2,90.44,109.98,"safety_score",88.82
"99516","zcta",2023,102.47,103.18,111.37,89.81,"safety_score",112.15
"99517","zcta",2023,102.47,103.04,80.24,123.87,"safety_score",73.63
"99518","zcta",2023,102.47,102.6,69.11,136.56,"safety_score",59.11
"99519","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"99540","zcta",2023,102.47,73.55,122.55,89.87,"safety_score",117
"99546","zcta",2023,105.03,103.69,43.23,167.66,"safety_score",26.31
"99547","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"99548","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"99549","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"99550","zcta",2023,105.03,103.34,122.55,61.44,"safety_score",135.52
"99551","zcta",2023,105.03,103.69,86.47,103.13,"safety_score",94.39
"99552","zcta",2023,105.03,103.69,92.45,84.07,"safety_score",109.57
"99553","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"99554","zcta",2023,105.03,103.69,67.8,84.52,"safety_score",99.78
"99555","zcta",2023,105.03,103.69,97.29,64.4,"safety_score",124.5
"99556","zcta",2023,102.47,101.3,115.2,91.7,"safety_score",113.24
"99557","zcta",2023,105.03,103.69,80.48,108.29,"safety_score",88.98
"99558","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"99559","zcta",2023,105.03,103.69,86.12,129.72,"safety_score",74.7
"99561","zcta",2023,105.03,103.69,95.97,83.37,"safety_score",111.35
"99563","zcta",2023,105.03,103.69,99.5,106.72,"safety_score",96.14
"99564","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"99565","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"99566","zcta",2023,105.03,103.69,87.45,135.3,"safety_score",73.88
"99567","zcta",2023,102.47,102.1,111.33,91.69,"safety_score",109.55
"99568","zcta",2023,102.47,89.98,122.55,67.74,"safety_score",132.73
"99569","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"99571","zcta",2023,105.03,103.69,114.13,114.9,"safety_score",94.78
"99572","zcta",2023,102.47,75.72,122.55,109.87,"safety_score",104.64
"99573","zcta",2023,105.03,103.69,109.39,79.5,"safety_score",117.45
"99574","zcta",2023,105.03,103.67,103.15,97.35,"safety_score",103.87
"99575","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"99576","zcta",2023,105.03,103.69,78.6,113.51,"safety_score",82.7
"99577","zcta",2023,102.47,103.31,109.91,115.91,"safety_score",92.34
"99578","zcta",2023,105.03,103.69,119.02,76.74,"safety_score",123.73
"99579","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"99580","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"99581","zcta",2023,105.03,103.69,62.42,82.58,"safety_score",101.36
"99583","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"99585","zcta",2023,105.03,103.69,94.41,83.47,"safety_score",111.8
"99586","zcta",2023,105.03,103.69,110.84,87.82,"safety_score",112.93
"99587","zcta",2023,102.47,97.94,105.44,89.75,"safety_score",109.82
"99588","zcta",2023,102.47,103.22,106.4,134.19,"safety_score",80.51
"99589","zcta",2023,105.03,103.69,59.27,76.23,"safety_score",103.24
"99590","zcta",2023,105.03,89.85,98.21,88.16,"safety_score",108.08
"99591","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"99602","zcta",2023,105.03,93.36,109.78,81.17,"safety_score",118.82
"99603","zcta",2023,102.47,103.1,100.16,102.97,"safety_score",98.34
