"geoid","geolevel","year","crime_score","infrastructure_score","social_cohesion_score","structural_composition_score","level","value"
"71601","zcta",2023,85.64,103,93.65,119.06,"safety_score",82.56
"71602","zcta",2023,88.9,101.96,97.41,112.66,"safety_score",88.78
"71603","zcta",2023,94.74,111.68,100.41,108.28,"safety_score",94.28
"71630","zcta",2023,99.55,126.8,113.27,96.94,"safety_score",111.78
"71631","zcta",2023,102.63,104.31,106.58,59.74,"safety_score",128.39
"71635","zcta",2023,102.68,115.55,104.78,103.52,"safety_score",100.83
"71638","zcta",2023,96.28,94.22,104.06,96.48,"safety_score",106.6
"71639","zcta",2023,96.72,121.41,94.7,106.05,"safety_score",96.31
"71640","zcta",2023,99.3,126.8,108.46,78.83,"safety_score",120.35
"71642","zcta",2023,96.36,77.94,100.87,75.2,"safety_score",120.84
"71643","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"71644","zcta",2023,85.64,103,115.37,73.81,"safety_score",117.44
"71646","zcta",2023,96.36,77.94,104.83,96.7,"safety_score",106.49
"71647","zcta",2023,102.63,104.31,102.35,88.68,"safety_score",106.63
"71651","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"71652","zcta",2023,107.25,126.8,114.43,81.03,"safety_score",122.99
"71653","zcta",2023,99.3,126.8,97.13,91.76,"safety_score",109.29
"71654","zcta",2023,99.55,126.8,79.02,118.36,"safety_score",86.08
"71655","zcta",2023,91.94,72.55,96.83,112.62,"safety_score",91.53
"71658","zcta",2023,96.36,77.94,120.08,78.35,"safety_score",123.22
"71659","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"71660","zcta",2023,104.94,115.55,111.17,59.99,"safety_score",131.56
"71661","zcta",2023,101.01,126.8,91.17,65.1,"safety_score",125.14
"71662","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"71663","zcta",2023,101.01,126.8,113.77,86.4,"safety_score",118.62
"71665","zcta",2023,92.32,108.39,108.84,78.76,"safety_score",116.26
"71666","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"71667","zcta",2023,100.57,121.41,107.02,95.75,"safety_score",109.55
"71670","zcta",2023,94.77,77.94,117.35,75.27,"safety_score",122.85
"71671","zcta",2023,99.95,86.73,101.43,102.53,"safety_score",101.05
"71674","zcta",2023,99.55,126.8,118,62.59,"safety_score",134.38
"71675","zcta",2023,95.5,83.13,105.03,97.84,"safety_score",104.86
"71676","zcta",2023,101.01,126.8,117.9,87.9,"safety_score",119.7
"71677","zcta",2023,89.98,29.08,122.3,82.05,"safety_score",118.48
"71701","zcta",2023,76.53,118.45,99.1,94.55,"safety_score",103.01
"71720","zcta",2023,85.46,113.9,103.74,91.77,"safety_score",106.34
"71722","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"71724","zcta",2023,89.9,87.95,107.55,92.77,"safety_score",102.17
"71725","zcta",2023,105.28,115.8,106.25,82.51,"safety_score",115.14
"71726","zcta",2023,104.92,109.96,114.98,79.09,"safety_score",120.64
"71730","zcta",2023,89.9,87.95,104.02,104.89,"safety_score",93
"71740","zcta",2023,97.73,104.05,107.72,101.21,"safety_score",103.05
"71742","zcta",2023,76.06,115.8,99.4,94.55,"safety_score",101.48
"71743","zcta",2023,106.43,102.83,101.12,112.54,"safety_score",93.92
"71744","zcta",2023,48.81,126.8,117.07,76.39,"safety_score",119.33
"71745","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"71747","zcta",2023,89.9,87.95,109.61,67.61,"safety_score",118.89
"71749","zcta",2023,100.98,111.62,114.61,88.65,"safety_score",114.78
"71751","zcta",2023,104.25,110.1,115.63,89.87,"safety_score",113.5
"71752","zcta",2023,101.66,106.93,97.8,118.66,"safety_score",89.24
"71753","zcta",2023,93.81,96,92.01,110.11,"safety_score",86.39
"71758","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"71759","zcta",2023,89.9,87.95,122.3,65.57,"safety_score",123.6
"71762","zcta",2023,97.08,99.03,113.05,95.02,"safety_score",105.59
"71763","zcta",2023,104.67,105.91,114.28,74.04,"safety_score",121.94
"71764","zcta",2023,99.37,102.98,109.75,70.28,"safety_score",121.11
"71765","zcta",2023,89.9,87.95,107.82,76.94,"safety_score",112.21
