"geoid","geolevel","year","crime_score","infrastructure_score","social_cohesion_score","structural_composition_score","level","value"
"06001","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"06002","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"06010","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"06013","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"06016","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"06018","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"06019","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"06020","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"06021","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"06022","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"06023","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"06024","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"06026","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"06027","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"06029","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"06031","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"06032","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"06033","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"06035","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"06037","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"06039","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"06040","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"06042","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"06043","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"06051","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"06052","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"06053","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"06057","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"06058","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"06059","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"06060","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"06061","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"06062","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"06063","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"06065","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"06066","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"06067","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"06068","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"06069","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"06070","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"06071","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"06073","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"06074","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"06076","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"06078","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"06081","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"06082","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"06084","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"06085","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"06088","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"06089","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"06090","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"06091","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"06092","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"06093","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"06095","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"06096","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"06098","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"06103","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"06105","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"06106","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"06107","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"06108","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"06109","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"06110","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"06111","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"06112","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"06114","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"06117","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"06118","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"06119","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"06120","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"06226","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"06231","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"06232","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"06234","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"06235","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"06237","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"06238","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"06239","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"06241","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"06242","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"06243","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"06247","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"06248","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"06249","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"06250","zcta",2023,NA,NA,NA,NA,"safety_score",NA
