"geoid","geolevel","year","crime_score","infrastructure_score","social_cohesion_score","structural_composition_score","level","value"
"96701","zcta",2023,105.34,103.28,80.59,103.74,"safety_score",86.79
"96703","zcta",2023,99.5,101.77,98.62,68.79,"safety_score",122.04
"96704","zcta",2023,102.47,101.78,88.69,104.97,"safety_score",93.99
"96705","zcta",2023,99.5,100.9,99.84,98.33,"safety_score",101.4
"96706","zcta",2023,105.34,103.49,80.41,112.33,"safety_score",84.07
"96707","zcta",2023,105.34,103.35,87.6,107.71,"safety_score",88.98
"96708","zcta",2023,104.43,102.37,94.8,114.2,"safety_score",89.94
"96710","zcta",2023,102.47,31,93.05,64.43,"safety_score",124.84
"96712","zcta",2023,105.34,101.64,105.66,116.06,"safety_score",93.27
"96713","zcta",2023,104.43,89.33,117.86,101.14,"safety_score",106.32
"96714","zcta",2023,99.5,99.08,101.37,104.3,"safety_score",98.27
"96716","zcta",2023,99.5,100.84,101.83,98.26,"safety_score",103.67
"96717","zcta",2023,105.34,99.91,101.98,124.24,"safety_score",86.11
"96719","zcta",2023,102.47,93.8,99.3,87.94,"safety_score",107.26
"96720","zcta",2023,102.47,103.39,92.58,101.99,"safety_score",95.85
"96722","zcta",2023,99.5,100.47,96.26,96.89,"safety_score",98.88
"96725","zcta",2023,102.47,100.44,91.62,105.85,"safety_score",93.95
"96726","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"96727","zcta",2023,102.47,100.5,90.81,79.73,"safety_score",110.64
"96728","zcta",2023,102.47,62.63,106.42,107.95,"safety_score",101.58
"96729","zcta",2023,104.43,94.09,103.68,74.55,"safety_score",120.91
"96730","zcta",2023,105.34,92.04,104.91,117.46,"safety_score",92
"96731","zcta",2023,105.34,97.81,88.94,97.54,"safety_score",99.08
"96732","zcta",2023,104.43,103.1,75.78,100.92,"safety_score",92.83
"96734","zcta",2023,105.34,103.36,105.09,116.23,"safety_score",91.93
"96737","zcta",2023,102.47,99.67,95.61,111.15,"safety_score",92.8
"96738","zcta",2023,102.47,101.64,75.96,105.31,"safety_score",87.96
"96740","zcta",2023,102.47,103.32,78.3,114.06,"safety_score",80.86
"96741","zcta",2023,99.5,102.63,106.24,99.28,"safety_score",102
"96742","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"96743","zcta",2023,102.47,102.55,93.8,100.66,"safety_score",98.81
"96744","zcta",2023,105.34,103.39,94.1,88.84,"safety_score",103.67
"96746","zcta",2023,99.5,103.37,96.83,106.87,"safety_score",94.84
"96747","zcta",2023,99.5,98.82,41.56,135.32,"safety_score",57.11
"96748","zcta",2023,104.43,100.76,109.39,91.92,"safety_score",109.65
"96749","zcta",2023,102.47,102.91,93.07,99.51,"safety_score",98.12
"96750","zcta",2023,102.47,98.84,96.23,102.85,"safety_score",96.73
"96751","zcta",2023,99.5,39.94,122.55,115.38,"safety_score",99.96
"96752","zcta",2023,99.5,101.82,78.36,91.98,"safety_score",98.05
"96753","zcta",2023,104.43,103.17,78.55,119.93,"safety_score",76.74
"96754","zcta",2023,99.5,102.1,104.93,95.91,"safety_score",104.99
"96755","zcta",2023,102.47,99.41,89.26,73.83,"safety_score",115.54
"96756","zcta",2023,99.5,102.6,79.69,104.28,"safety_score",88.71
"96757","zcta",2023,104.43,84.79,99.6,76.18,"safety_score",118.59
"96759","zcta",2023,105.34,21.41,71.46,241.39,"safety_score",-6.5
"96760","zcta",2023,102.47,100.02,94.59,103.76,"safety_score",99.28
"96761","zcta",2023,104.43,102.99,70.44,112.69,"safety_score",79
"96762","zcta",2023,105.34,100.77,91.95,125.8,"safety_score",80.32
"96763","zcta",2023,104.43,99.15,60.87,113.44,"safety_score",75.66
"96764","zcta",2023,102.47,77.03,111.02,122.16,"safety_score",94.62
"96765","zcta",2023,99.5,90.84,110.75,107.16,"safety_score",101.52
"96766","zcta",2023,99.5,103.3,72.47,108.24,"safety_score",83.36
"96768","zcta",2023,104.43,102.88,100.63,105.83,"safety_score",96.55
"96769","zcta",2023,99.5,81.21,101.4,110.12,"safety_score",92.83
"96770","zcta",2023,104.43,76.09,98.65,113.18,"safety_score",90.09
"96771","zcta",2023,102.47,101.72,102.3,111.1,"safety_score",94.94
"96772","zcta",2023,102.47,97.74,93.32,99.26,"safety_score",101.7
"96773","zcta",2023,102.47,21.57,122.55,96.84,"safety_score",115.12
"96774","zcta",2023,102.47,72.68,93.03,77.07,"safety_score",117.51
"96776","zcta",2023,102.47,94.36,90.13,105.72,"safety_score",93.91
"96777","zcta",2023,102.47,95.42,82.83,77.18,"safety_score",110.97
"96778","zcta",2023,102.47,102.62,94.42,93.01,"safety_score",104.41
"96779","zcta",2023,104.43,98.48,101.2,113.01,"safety_score",93.7
"96780","zcta",2023,102.47,67.94,73.48,95.05,"safety_score",94.92
"96781","zcta",2023,102.47,96.06,97.55,90.42,"safety_score",108.15
"96782","zcta",2023,105.34,103.25,85.36,100.02,"safety_score",93
"96783","zcta",2023,102.47,94.76,72.77,109.16,"safety_score",81.65
"96785","zcta",2023,102.47,100.09,116.67,104.27,"safety_score",106.04
"96786","zcta",2023,105.34,103.29,90.63,147.1,"safety_score",64.44
"96789","zcta",2023,105.34,103.38,86.29,90.94,"safety_score",98.47
"96790","zcta",2023,104.43,102.09,103.47,103.59,"safety_score",101.09
"96791","zcta",2023,105.34,101.1,98.04,103.31,"safety_score",97.45
"96792","zcta",2023,105.34,103.35,81.77,108,"safety_score",87.23
"96793","zcta",2023,104.43,103.22,87.99,95.64,"safety_score",97.76
"96795","zcta",2023,105.34,102.08,92.79,78.98,"safety_score",111.97
"96796","zcta",2023,99.5,100.48,90.99,115.05,"safety_score",84.14
"96797","zcta",2023,105.34,103.46,62.68,100.49,"safety_score",83.48
"96813","zcta",2023,105.34,103.05,53.11,120.81,"safety_score",61.84
"96814","zcta",2023,105.34,102.99,31.5,125.11,"safety_score",48.56
"96815","zcta",2023,105.34,103.08,49.36,133.8,"safety_score",51.28
"96816","zcta",2023,105.34,103.36,87.56,104.63,"safety_score",90.7
"96817","zcta",2023,105.34,103.39,46.43,118.55,"safety_score",63.55
"96818","zcta",2023,105.34,103.39,79.09,149.44,"safety_score",57.89
"96819","zcta",2023,105.34,103.37,50.04,108.96,"safety_score",74.97
"96821","zcta",2023,105.34,102.85,104.66,78.83,"safety_score",116.46
"96822","zcta",2023,105.34,103.31,64.14,120.98,"safety_score",66.91
"96825","zcta",2023,105.34,103.15,92.79,93.11,"safety_score",100.31
"96826","zcta",2023,105.34,103.13,41.18,135.6,"safety_score",46.13
"96850","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"96853","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"96857","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"96859","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"96860","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"96863","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"96701","zcta",2023,105.34,103.28,80.59,103.74,"safety_rnk",20.8297
"96703","zcta",2023,99.5,101.77,98.62,68.79,"safety_rnk",90.8202
"96704","zcta",2023,102.47,101.78,88.69,104.97,"safety_rnk",30.5797
"96705","zcta",2023,99.5,100.9,99.84,98.33,"safety_rnk",45.472
"96706","zcta",2023,105.34,103.49,80.41,112.33,"safety_rnk",18.1445
"96707","zcta",2023,105.34,103.35,87.6,107.71,"safety_rnk",23.4138
"96708","zcta",2023,104.43,102.37,94.8,114.2,"safety_rnk",24.6293
"96710","zcta",2023,102.47,31,93.05,64.43,"safety_rnk",93.6032
"96712","zcta",2023,105.34,101.64,105.66,116.06,"safety_rnk",29.4229
"96713","zcta",2023,104.43,89.33,117.86,101.14,"safety_rnk",57.2588
"96714","zcta",2023,99.5,99.08,101.37,104.3,"safety_rnk",38.7656
"96716","zcta",2023,99.5,100.84,101.83,98.26,"safety_rnk",50.5263
"96717","zcta",2023,105.34,99.91,101.98,124.24,"safety_rnk",20.1453
"96719","zcta",2023,102.47,93.8,99.3,87.94,"safety_rnk",59.8071
"96720","zcta",2023,102.47,103.39,92.58,101.99,"safety_rnk",33.9786
"96722","zcta",2023,99.5,100.47,96.26,96.89,"safety_rnk",40.0886
"96725","zcta",2023,102.47,100.44,91.62,105.85,"safety_rnk",30.5308
"96726","zcta",2023,NA,NA,NA,NA,"safety_rnk",NA
"96727","zcta",2023,102.47,100.5,90.81,79.73,"safety_rnk",68.4329
"96728","zcta",2023,102.47,62.63,106.42,107.95,"safety_rnk",45.8696
"96729","zcta",2023,104.43,94.09,103.68,74.55,"safety_rnk",89.4125
"96730","zcta",2023,105.34,92.04,104.91,117.46,"safety_rnk",27.4579
"96731","zcta",2023,105.34,97.81,88.94,97.54,"safety_rnk",40.5481
"96732","zcta",2023,104.43,103.1,75.78,100.92,"safety_rnk",28.7581
"96734","zcta",2023,105.34,103.36,105.09,116.23,"safety_rnk",27.3536
"96737","zcta",2023,102.47,99.67,95.61,111.15,"safety_rnk",28.7223
"96738","zcta",2023,102.47,101.64,75.96,105.31,"safety_rnk",22.1918
"96740","zcta",2023,102.47,103.32,78.3,114.06,"safety_rnk",15.2866
"96741","zcta",2023,99.5,102.63,106.24,99.28,"safety_rnk",46.8179
"96742","zcta",2023,NA,NA,NA,NA,"safety_rnk",NA
"96743","zcta",2023,102.47,102.55,93.8,100.66,"safety_rnk",39.8899
"96744","zcta",2023,105.34,103.39,94.1,88.84,"safety_rnk",50.5263
"96746","zcta",2023,99.5,103.37,96.83,106.87,"safety_rnk",32.0559
"96747","zcta",2023,99.5,98.82,41.56,135.32,"safety_rnk",3.9821
"96748","zcta",2023,104.43,100.76,109.39,91.92,"safety_rnk",65.8911
"96749","zcta",2023,102.47,102.91,93.07,99.51,"safety_rnk",38.4332
"96750","zcta",2023,102.47,98.84,96.23,102.85,"safety_rnk",35.6698
"96751","zcta",2023,99.5,39.94,122.55,115.38,"safety_rnk",42.3469
"96752","zcta",2023,99.5,101.82,78.36,91.98,"safety_rnk",38.2638
"96753","zcta",2023,104.43,103.17,78.55,119.93,"safety_rnk",12.1354
"96754","zcta",2023,99.5,102.1,104.93,95.91,"safety_rnk",53.8632
"96755","zcta",2023,102.47,99.41,89.26,73.83,"safety_rnk",79.9524
"96756","zcta",2023,99.5,102.6,79.69,104.28,"safety_rnk",23.0586
"96757","zcta",2023,104.43,84.79,99.6,76.18,"safety_rnk",85.8018
"96759","zcta",2023,105.34,21.41,71.46,241.39,"safety_rnk",0.0065
"96760","zcta",2023,102.47,100.02,94.59,103.76,"safety_rnk",40.9196
"96761","zcta",2023,104.43,102.99,70.44,112.69,"safety_rnk",13.9342
"96762","zcta",2023,105.34,100.77,91.95,125.8,"safety_rnk",14.8923
"96763","zcta",2023,104.43,99.15,60.87,113.44,"safety_rnk",11.4511
"96764","zcta",2023,102.47,77.03,111.02,122.16,"safety_rnk",31.6388
"96765","zcta",2023,99.5,90.84,110.75,107.16,"safety_rnk",45.7262
"96766","zcta",2023,99.5,103.3,72.47,108.24,"safety_rnk",17.4699
"96768","zcta",2023,104.43,102.88,100.63,105.83,"safety_rnk",35.269
"96769","zcta",2023,99.5,81.21,101.4,110.12,"safety_rnk",28.7581
"96770","zcta",2023,104.43,76.09,98.65,113.18,"safety_rnk",24.7857
"96771","zcta",2023,102.47,101.72,102.3,111.1,"safety_rnk",32.2645
"96772","zcta",2023,102.47,97.74,93.32,99.26,"safety_rnk",46.1824
"96773","zcta",2023,102.47,21.57,122.55,96.84,"safety_rnk",79.0921
"96774","zcta",2023,102.47,72.68,93.03,77.07,"safety_rnk",83.8401
"96776","zcta",2023,102.47,94.36,90.13,105.72,"safety_rnk",30.4754
"96777","zcta",2023,102.47,95.42,82.83,77.18,"safety_rnk",69.2802
"96778","zcta",2023,102.47,102.62,94.42,93.01,"safety_rnk",52.4
"96779","zcta",2023,104.43,98.48,101.2,113.01,"safety_rnk",30.1268
"96780","zcta",2023,102.47,67.94,73.48,95.05,"safety_rnk",32.2123
"96781","zcta",2023,102.47,96.06,97.55,90.42,"safety_rnk",62.0067
"96782","zcta",2023,105.34,103.25,85.36,100.02,"safety_rnk",29.0221
"96783","zcta",2023,102.47,94.76,72.77,109.16,"safety_rnk",15.9481
"96785","zcta",2023,102.47,100.09,116.67,104.27,"safety_rnk",56.5679
"96786","zcta",2023,105.34,103.29,90.63,147.1,"safety_rnk",6.0612
"96789","zcta",2023,105.34,103.38,86.29,90.94,"safety_rnk",39.1436
"96790","zcta",2023,104.43,102.09,103.47,103.59,"safety_rnk",44.8138
"96791","zcta",2023,105.34,101.1,98.04,103.31,"safety_rnk",37.0841
"96792","zcta",2023,105.34,103.35,81.77,108,"safety_rnk",21.3152
"96793","zcta",2023,104.43,103.22,87.99,95.64,"safety_rnk",37.6935
"96795","zcta",2023,105.34,102.08,92.79,78.98,"safety_rnk",71.6818
"96796","zcta",2023,99.5,100.48,90.99,115.05,"safety_rnk",18.2129
"96797","zcta",2023,105.34,103.46,62.68,100.49,"safety_rnk",17.5905
"96813","zcta",2023,105.34,103.05,53.11,120.81,"safety_rnk",5.2758
"96814","zcta",2023,105.34,102.99,31.5,125.11,"safety_rnk",2.3528
"96815","zcta",2023,105.34,103.08,49.36,133.8,"safety_rnk",2.8025
"96816","zcta",2023,105.34,103.36,87.56,104.63,"safety_rnk",25.6069
"96817","zcta",2023,105.34,103.39,46.43,118.55,"safety_rnk",5.7744
"96818","zcta",2023,105.34,103.39,79.09,149.44,"safety_rnk",4.1483
"96819","zcta",2023,105.34,103.37,50.04,108.96,"safety_rnk",11.0242
"96821","zcta",2023,105.34,102.85,104.66,78.83,"safety_rnk",81.8523
"96822","zcta",2023,105.34,103.31,64.14,120.98,"safety_rnk",7.0258
"96825","zcta",2023,105.34,103.15,92.79,93.11,"safety_rnk",43.1225
"96826","zcta",2023,105.34,103.13,41.18,135.6,"safety_rnk",1.9976
"96850","zcta",2023,NA,NA,NA,NA,"safety_rnk",NA
"96853","zcta",2023,NA,NA,NA,NA,"safety_rnk",NA
"96857","zcta",2023,NA,NA,NA,NA,"safety_rnk",NA
"96859","zcta",2023,NA,NA,NA,NA,"safety_rnk",NA
"96860","zcta",2023,NA,NA,NA,NA,"safety_rnk",NA
"96863","zcta",2023,NA,NA,NA,NA,"safety_rnk",NA
"96701","zcta",2023,105.34,103.28,80.59,103.74,"safety_state_rnk",25.8824
"96703","zcta",2023,99.5,101.77,98.62,68.79,"safety_state_rnk",98.8235
"96704","zcta",2023,102.47,101.78,88.69,104.97,"safety_state_rnk",47.0588
"96705","zcta",2023,99.5,100.9,99.84,98.33,"safety_state_rnk",71.7647
"96706","zcta",2023,105.34,103.49,80.41,112.33,"safety_state_rnk",22.3529
"96707","zcta",2023,105.34,103.35,87.6,107.71,"safety_state_rnk",30.5882
"96708","zcta",2023,104.43,102.37,94.8,114.2,"safety_state_rnk",31.7647
"96710","zcta",2023,102.47,31,93.05,64.43,"safety_state_rnk",100
"96712","zcta",2023,105.34,101.64,105.66,116.06,"safety_state_rnk",42.3529
"96713","zcta",2023,104.43,89.33,117.86,101.14,"safety_state_rnk",83.5294
"96714","zcta",2023,99.5,99.08,101.37,104.3,"safety_state_rnk",61.1765
"96716","zcta",2023,99.5,100.84,101.83,98.26,"safety_state_rnk",78.2353
"96717","zcta",2023,105.34,99.91,101.98,124.24,"safety_state_rnk",24.7059
"96719","zcta",2023,102.47,93.8,99.3,87.94,"safety_state_rnk",84.7059
"96720","zcta",2023,102.47,103.39,92.58,101.99,"safety_state_rnk",52.9412
"96722","zcta",2023,99.5,100.47,96.26,96.89,"safety_state_rnk",64.7059
"96725","zcta",2023,102.47,100.44,91.62,105.85,"safety_state_rnk",45.8824
"96726","zcta",2023,NA,NA,NA,NA,"safety_state_rnk",NA
"96727","zcta",2023,102.47,100.5,90.81,79.73,"safety_state_rnk",88.2353
"96728","zcta",2023,102.47,62.63,106.42,107.95,"safety_state_rnk",74.1176
"96729","zcta",2023,104.43,94.09,103.68,74.55,"safety_state_rnk",97.6471
"96730","zcta",2023,105.34,92.04,104.91,117.46,"safety_state_rnk",36.4706
"96731","zcta",2023,105.34,97.81,88.94,97.54,"safety_state_rnk",65.8824
"96732","zcta",2023,104.43,103.1,75.78,100.92,"safety_state_rnk",39.4118
"96734","zcta",2023,105.34,103.36,105.09,116.23,"safety_state_rnk",35.2941
"96737","zcta",2023,102.47,99.67,95.61,111.15,"safety_state_rnk",37.6471
"96738","zcta",2023,102.47,101.64,75.96,105.31,"safety_state_rnk",28.2353
