"geoid","geolevel","year","crime_score","infrastructure_score","social_cohesion_score","structural_composition_score","level","value"
"50001","zcta",2023,-78.86,121.57,118.35,76.86,"safety_score",107.95
"50002","zcta",2023,107.68,52.32,114.7,99.89,"safety_score",113.85
"50003","zcta",2023,93.11,105.78,112.98,110.18,"safety_score",97.95
"50005","zcta",2023,101.83,106.99,56.84,81.41,"safety_score",98.7
"50006","zcta",2023,99.8,124.01,103.02,102.2,"safety_score",102.66
"50007","zcta",2023,86.38,101.52,119.79,74.13,"safety_score",122.28
"50008","zcta",2023,105.78,126.8,107.9,95.33,"safety_score",111.67
"50009","zcta",2023,86.38,101.52,94.81,110.68,"safety_score",88.94
"50010","zcta",2023,103.05,111.21,89.64,141.29,"safety_score",70.06
"50012","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"50014","zcta",2023,105.73,119,84.04,159.02,"safety_score",58.19
"50020","zcta",2023,107.07,70.94,113.61,82.47,"safety_score",123.85
"50021","zcta",2023,86.38,101.52,91.72,116.93,"safety_score",84.99
"50022","zcta",2023,106.57,52.32,101.64,111.37,"safety_score",101.16
"50023","zcta",2023,86.38,101.52,100.55,121.24,"safety_score",85.35
"50025","zcta",2023,106.89,15.09,107.1,107.23,"safety_score",108.91
"50026","zcta",2023,108.91,126.8,110.48,87.33,"safety_score",116.57
"50027","zcta",2023,99.86,106.08,94.53,104.2,"safety_score",95.34
"50028","zcta",2023,101.53,115.05,98.46,94.66,"safety_score",104.78
"50029","zcta",2023,108.91,126.8,111.08,97.76,"safety_score",110.51
"50032","zcta",2023,86.38,101.52,65.04,99.06,"safety_score",88.02
"50033","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"50034","zcta",2023,102.92,121.35,119.01,56.25,"safety_score",137.25
"50035","zcta",2023,86.38,101.52,102.49,100.7,"safety_score",100.94
"50036","zcta",2023,103.97,126.8,106.58,103.8,"safety_score",104.24
"50038","zcta",2023,93.11,105.78,122.3,80.13,"safety_score",120.1
"50039","zcta",2023,100.76,116.29,117.54,106.46,"safety_score",104.05
"50041","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"50042","zcta",2023,105.23,15.09,112.57,94.16,"safety_score",119.25
"50044","zcta",2023,99.73,120.06,114.41,87.75,"safety_score",116.15
"50046","zcta",2023,94.71,106.37,107.34,90.94,"safety_score",108.15
"50047","zcta",2023,3.76,111.55,102.06,101.88,"safety_score",93.07
"50048","zcta",2023,108.91,126.8,107.13,87.92,"safety_score",115.71
"50049","zcta",2023,100.88,122.17,99.02,103.94,"safety_score",101.47
"50050","zcta",2023,108.66,119.29,106.79,96.69,"safety_score",109.97
"50051","zcta",2023,101.83,106.99,119.13,46.91,"safety_score",139.23
"50052","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"50054","zcta",2023,101.24,123.11,102.44,101.62,"safety_score",104.03
"50055","zcta",2023,102.04,113.77,108.3,82.31,"safety_score",115.64
"50056","zcta",2023,103.05,111.21,119.08,104.28,"safety_score",107.1
"50057","zcta",2023,98.21,112.92,118.96,75.27,"safety_score",123.64
"50058","zcta",2023,107.62,65.31,109.13,106.23,"safety_score",106.52
"50060","zcta",2023,105.78,126.8,107.91,102,"safety_score",106.61
"50061","zcta",2023,45.91,113.92,114.84,77.3,"safety_score",117.25
"50062","zcta",2023,98.21,112.92,102.17,94.2,"safety_score",107.54
"50063","zcta",2023,93.11,105.78,109.57,103.4,"safety_score",100.89
"50064","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"50065","zcta",2023,108.77,126.8,111.3,103.95,"safety_score",108.35
"50066","zcta",2023,93.11,105.78,120.17,132.99,"safety_score",88.27
"50067","zcta",2023,108.77,126.8,109.29,97.58,"safety_score",112.23
"50068","zcta",2023,102.22,126.8,120.68,39.5,"safety_score",149.66
"50069","zcta",2023,93.11,105.78,111.41,93.46,"safety_score",108.23
"50070","zcta",2023,98.49,121.54,110.83,95.88,"safety_score",110.04
"50071","zcta",2023,103.93,121.35,111.55,86.36,"safety_score",116.14
"50072","zcta",2023,88.06,116.29,110.68,89.11,"safety_score",112.17
"50073","zcta",2023,86.38,101.52,112.63,86.85,"safety_score",111.96
"50074","zcta",2023,106.25,126.8,119.98,78.81,"safety_score",126.74
"50075","zcta",2023,99.52,126.8,110.98,104.21,"safety_score",106.36
"50076","zcta",2023,106.89,15.09,115.45,84.02,"safety_score",124.93
"50078","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"50101","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"50102","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"50103","zcta",2023,108.77,126.8,108.54,94.76,"safety_score",111.8
"50104","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"50105","zcta",2023,103.05,111.21,110.3,96.04,"safety_score",107.2
"50106","zcta",2023,103.18,112.15,101.33,94.07,"safety_score",106.69
"50107","zcta",2023,108.84,126.8,109.82,117.86,"safety_score",99.44
"50108","zcta",2023,106.68,126.8,116.09,100.61,"safety_score",111.76
"50109","zcta",2023,89.75,103.65,110.18,104.41,"safety_score",101.48
"50111","zcta",2023,89.75,103.65,98.45,107.73,"safety_score",92.52
"50112","zcta",2023,102.37,107.41,105.26,116.43,"safety_score",91.84
"50115","zcta",2023,108.56,126.8,108.5,101.36,"safety_score",108.45
"50116","zcta",2023,98.21,112.92,108.42,90.87,"safety_score",111.08
"50117","zcta",2023,105.23,-96.62,122.3,108.66,"safety_score",116.91
"50118","zcta",2023,-78.86,121.57,109.08,86.6,"safety_score",99.53
"50119","zcta",2023,98.21,112.92,117.24,89.21,"safety_score",114.59
"50120","zcta",2023,101.83,106.99,121.31,71.83,"safety_score",124.6
"50122","zcta",2023,98.33,118.44,116.13,80.88,"safety_score",119.52
"50123","zcta",2023,104.45,126.8,106.11,108.13,"safety_score",103.66
"50124","zcta",2023,94.71,106.37,109.47,113.35,"safety_score",95.86
"50125","zcta",2023,-78.86,121.57,99.68,104.77,"safety_score",82.7
"50126","zcta",2023,99.94,122.62,104.98,115.3,"safety_score",95.55
"50127","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"50128","zcta",2023,103.65,119.79,108.31,99.93,"safety_score",105.6
"50129","zcta",2023,108.91,126.8,109.98,106.5,"safety_score",104.75
"50130","zcta",2023,99.52,126.8,108.81,99.16,"safety_score",108
"50131","zcta",2023,86.38,101.52,92.72,110.84,"safety_score",87.78
"50132","zcta",2023,99.52,126.8,112.3,90.37,"safety_score",114.54
"50133","zcta",2023,108.21,126.8,103.96,112.56,"safety_score",99.24
"50134","zcta",2023,105.73,119,104.88,123.11,"safety_score",90.35
"50135","zcta",2023,101.24,123.11,110.79,94.65,"safety_score",111.13
"50136","zcta",2023,106.6,126.8,118.31,94.61,"safety_score",115.11
"50138","zcta",2023,98.21,112.92,109.76,104.29,"safety_score",102.51
"50139","zcta",2023,39.34,120.43,112.39,73.03,"safety_score",118.99
"50140","zcta",2023,108.21,126.8,100.25,118.73,"safety_score",93.74
"50141","zcta",2023,101.53,115.05,114.81,74.71,"safety_score",122.53
"50142","zcta",2023,101.83,106.99,109.21,84.77,"safety_score",113.13
"50143","zcta",2023,97.21,116.69,114.63,80.13,"safety_score",119.63
"50144","zcta",2023,108.77,126.8,107.39,109.61,"safety_score",102.03
"50146","zcta",2023,100.83,116.29,93.22,105.42,"safety_score",97.15
"50147","zcta",2023,107.28,126.8,114.87,90.66,"safety_score",117.9
"50148","zcta",2023,101.83,106.99,117.11,89.24,"safety_score",113.55
"50149","zcta",2023,93.94,126.8,110.88,95.28,"safety_score",110.93
"50150","zcta",2023,101.48,119.86,113.58,70.97,"safety_score",126.21
"50151","zcta",2023,9.9,124.18,105.94,98.71,"safety_score",100.46
"50153","zcta",2023,100.32,111.76,118.52,79.23,"safety_score",120.09
"50154","zcta",2023,100.69,114.83,92.64,108.76,"safety_score",94.45
"50155","zcta",2023,96.14,126.8,108.96,78.31,"safety_score",121.08
"50156","zcta",2023,95.97,111.37,104.74,100.04,"safety_score",103.54
"50157","zcta",2023,103.5,91.71,108.38,89.47,"safety_score",105.92
"50158","zcta",2023,103.99,116.89,74.7,110.1,"safety_score",87.35
"50160","zcta",2023,-78.86,121.57,98.99,111.07,"safety_score",78.63
"50161","zcta",2023,96.89,111.95,115.64,94.05,"safety_score",111.38
"50162","zcta",2023,101.53,115.05,111.79,102.37,"safety_score",103.49
"50163","zcta",2023,98.21,112.92,113.28,87.94,"safety_score",114.5
"50164","zcta",2023,108.91,126.8,118.86,72.8,"safety_score",128.97
"50165","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"50166","zcta",2023,-78.86,121.57,109.54,88.95,"safety_score",97.6
