"geoid","geolevel","year","crime_score","infrastructure_score","social_cohesion_score","structural_composition_score","level","value"
"40003","zcta",2023,102.65,103.41,114.05,94.23,"safety_score",110.9
"40004","zcta",2023,103.08,103.67,102.18,107.82,"safety_score",95.47
"40006","zcta",2023,107.54,103.68,101.67,89.23,"safety_score",108.89
"40007","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"40008","zcta",2023,104.23,103.6,114.14,92.43,"safety_score",112
"40009","zcta",2023,107.84,103.57,106.2,84.47,"safety_score",114.56
"40010","zcta",2023,106.73,102.64,88.69,94.28,"safety_score",96.29
"40011","zcta",2023,107.16,103.67,103.96,108.45,"safety_score",96.44
"40012","zcta",2023,105.08,103.33,111.16,91.93,"safety_score",110.57
"40013","zcta",2023,103.23,103.64,113.8,97.67,"safety_score",109.26
"40014","zcta",2023,99.63,103.19,106.48,94.15,"safety_score",105.61
"40019","zcta",2023,106.27,103.62,104.62,112.28,"safety_score",94.19
"40020","zcta",2023,103.08,101.08,121.11,157.97,"safety_score",75.06
"40022","zcta",2023,106.15,103.05,109.4,64.18,"safety_score",129.67
"40023","zcta",2023,101.35,102.52,117.18,91.16,"safety_score",113.38
"40025","zcta",2023,92.52,69.66,122.15,89.07,"safety_score",116.41
"40026","zcta",2023,106.73,103.58,114.64,101.49,"safety_score",106.38
"40031","zcta",2023,106.56,103.67,104.77,106.93,"safety_score",98.65
"40033","zcta",2023,107.76,103.68,100.14,111.64,"safety_score",93.4
"40036","zcta",2023,106.39,103.32,122.55,91.94,"safety_score",116.08
"40037","zcta",2023,106.2,103.61,107.83,81.23,"safety_score",117.78
"40040","zcta",2023,107.4,103.61,110.14,102.56,"safety_score",104.31
"40041","zcta",2023,92.52,60.86,68.24,90.51,"safety_score",85.21
"40045","zcta",2023,107.54,103.68,115.23,100.44,"safety_score",107.38
"40046","zcta",2023,106.21,103.49,109.84,90.62,"safety_score",112.51
"40047","zcta",2023,99.71,103.36,105.03,97.69,"safety_score",103.37
"40049","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"40050","zcta",2023,106.39,103.65,101.39,104.16,"safety_score",98.98
"40051","zcta",2023,102.1,103.54,110,99.46,"safety_score",105.77
"40052","zcta",2023,104.1,103.32,101.15,86.96,"safety_score",111.2
"40055","zcta",2023,107.47,103.58,110.08,87.89,"safety_score",113.61
"40056","zcta",2023,106.73,103.48,111.14,88.5,"safety_score",114.47
"40057","zcta",2023,106.27,103.62,111.51,96.43,"safety_score",107.57
"40058","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"40059","zcta",2023,99.63,103.11,108.25,94.8,"safety_score",107.31
"40060","zcta",2023,108.13,103.58,116.2,75.39,"safety_score",125.43
"40062","zcta",2023,108.13,103.08,114.7,87.25,"safety_score",114.89
"40063","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"40065","zcta",2023,105.77,103.68,89.07,107.19,"safety_score",91.13
