"geoid","geolevel","year","crime_score","infrastructure_score","social_cohesion_score","structural_composition_score","level","value"
"20601","zcta",2023,100.42,103.6,100.96,106.4,"safety_score",96.7
"20602","zcta",2023,100.64,102.78,88.01,114.39,"safety_score",84.84
"20603","zcta",2023,100.64,102.78,98.94,106.38,"safety_score",95.59
"20606","zcta",2023,103.87,114.17,122.3,48.03,"safety_score",142.97
"20607","zcta",2023,100.42,103.6,104.62,91.76,"safety_score",107.39
"20608","zcta",2023,100.2,104.43,109.77,94.02,"safety_score",107.37
"20609","zcta",2023,103.87,114.17,114.31,74.68,"safety_score",123.6
"20611","zcta",2023,100.64,102.78,110.01,115.68,"safety_score",96.11
"20612","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"20613","zcta",2023,100.42,103.6,108.22,93.38,"safety_score",107.9
"20615","zcta",2023,109.11,107.43,122.3,75.27,"safety_score",124.24
"20616","zcta",2023,100.64,102.78,105.06,94.29,"safety_score",105.93
"20617","zcta",2023,100.64,102.78,122.3,96.31,"safety_score",109.72
"20618","zcta",2023,103.87,114.17,114.92,94.17,"safety_score",112.06
"20619","zcta",2023,103.87,114.17,91.11,129.53,"safety_score",80.42
"20620","zcta",2023,103.87,114.17,116.51,85.77,"safety_score",117.13
"20621","zcta",2023,103.87,114.17,122.3,70.06,"safety_score",129.38
"20622","zcta",2023,102.25,108.48,110,87.27,"safety_score",112.71
"20623","zcta",2023,100.2,104.43,116.03,72.17,"safety_score",123.19
"20624","zcta",2023,103.87,114.17,114.61,68.85,"safety_score",127.64
"20625","zcta",2023,100.64,102.78,122.3,62.64,"safety_score",130.36
"20626","zcta",2023,103.87,114.17,115.97,61.91,"safety_score",131.69
"20628","zcta",2023,103.87,114.17,118,72.75,"safety_score",127.44
"20629","zcta",2023,109.11,107.43,95.2,103.31,"safety_score",96.07
"20630","zcta",2023,103.87,114.17,122.3,121.93,"safety_score",97.71
"20632","zcta",2023,100.64,102.78,77.64,80.01,"safety_score",103.67
