"geoid","geolevel","year","crime_score","infrastructure_score","social_cohesion_score","structural_composition_score","level","value"
"18950","zcta",2023,109.18,-176.6,122.55,63.78,"safety_score",149.26
"07001","zcta",2023,108.83,102.09,53.78,127.89,"safety_score",61.96
"07002","zcta",2023,106.02,103.53,44.23,120.53,"safety_score",56.86
"07003","zcta",2023,101.91,103.13,71.11,119.58,"safety_score",70.18
"07004","zcta",2023,101.91,99.87,94.56,90.82,"safety_score",105.01
"07005","zcta",2023,108.96,102.74,97.06,101.1,"safety_score",96.71
"07006","zcta",2023,101.91,102.57,95.87,99.12,"safety_score",96.62
"07008","zcta",2023,108.83,102.6,57.78,111.91,"safety_score",74.31
"07009","zcta",2023,104.98,101.72,102.39,90.66,"safety_score",104.86
"07010","zcta",2023,108.59,101.95,44.96,120.94,"safety_score",60.04
"07011","zcta",2023,108.05,103.09,31.74,115.91,"safety_score",59.27
"07012","zcta",2023,108.05,102.16,71.97,113.61,"safety_score",77.6
"07013","zcta",2023,108.05,102.9,80.27,98.75,"safety_score",92.15
"07014","zcta",2023,108.05,98.94,68.11,99.76,"safety_score",84.78
"07016","zcta",2023,108.72,103.01,103.05,90.35,"safety_score",106.85
"07017","zcta",2023,101.91,102.97,50.11,129.79,"safety_score",53.96
"07018","zcta",2023,101.91,102.65,53.65,133.62,"safety_score",51.98
"07020","zcta",2023,108.59,100.63,49.12,138.32,"safety_score",47.75
"07021","zcta",2023,101.91,91.01,116.24,83.1,"safety_score",114.74
"07022","zcta",2023,108.59,100.71,25.45,120.85,"safety_score",50.84
"07023","zcta",2023,108.72,101.59,108.07,92.88,"safety_score",109.63
"07024","zcta",2023,108.59,102.57,32.86,118.4,"safety_score",55.53
"07026","zcta",2023,108.59,102.32,22.85,116.61,"safety_score",54.44
"07027","zcta",2023,108.72,100.24,81.22,109.58,"safety_score",82.28
"07028","zcta",2023,101.91,100.01,100.55,85.28,"safety_score",110.1
"07029","zcta",2023,106.02,103.19,24.8,151.04,"safety_score",31.07
"07030","zcta",2023,106.02,103.5,56.02,146.13,"safety_score",42.05
"07031","zcta",2023,108.59,100.97,53.06,119.24,"safety_score",62.68
"07032","zcta",2023,106.02,103.42,31.27,121.55,"safety_score",54.03
"07033","zcta",2023,108.72,101.75,85.62,102.41,"safety_score",92.02
"07034","zcta",2023,108.96,102.3,70.87,98.28,"safety_score",88.63
"07035","zcta",2023,108.96,102.39,84.3,97.2,"safety_score",95.53
"07036","zcta",2023,108.72,103.33,47.77,119.37,"safety_score",64.52
"07039","zcta",2023,101.91,102.74,100.88,90.32,"safety_score",107.37
"07040","zcta",2023,101.91,102.53,81.32,102.39,"safety_score",87.86
"07041","zcta",2023,101.91,99.82,84.26,110.49,"safety_score",83.5
"07042","zcta",2023,101.91,102.6,75.06,125.28,"safety_score",68.78
"07043","zcta",2023,104.98,101.74,104.84,99.13,"safety_score",102.6
"07044","zcta",2023,101.91,101.65,94.69,93.12,"safety_score",99.91
"07045","zcta",2023,108.96,102.28,106.83,89.26,"safety_score",110.06
"07046","zcta",2023,108.96,100.51,112.66,85.96,"safety_score",117.42
"07047","zcta",2023,106.02,103.51,25.38,122.87,"safety_score",50.74
"07050","zcta",2023,101.91,102.82,23.91,137.12,"safety_score",41.22
"07052","zcta",2023,101.91,103.08,74.69,109.53,"safety_score",81.35
"07054","zcta",2023,108.96,103.21,76.32,120.45,"safety_score",74.7
"07055","zcta",2023,108.05,103.36,-6.85,125.76,"safety_score",38.21
"07057","zcta",2023,108.59,99.93,38.4,119.15,"safety_score",56.43
"07058","zcta",2023,108.96,101.26,91.46,102.64,"safety_score",92.74
"07059","zcta",2023,109,103.36,102.52,88.79,"safety_score",106.13
"07060","zcta",2023,108.85,103.34,15.91,129.15,"safety_score",46.21
"07062","zcta",2023,108.86,102.97,37.96,122.03,"safety_score",60.43
"07063","zcta",2023,108.85,102.56,29.15,116.76,"safety_score",62.09
"07064","zcta",2023,108.83,96.36,76.01,82.58,"safety_score",104.16
"07065","zcta",2023,108.72,103.14,69.24,121.67,"safety_score",71.97
"07066","zcta",2023,108.72,102.64,95,93.97,"safety_score",101.34
"07067","zcta",2023,108.83,102.19,98.94,87.45,"safety_score",110.17
"07068","zcta",2023,101.91,98.95,97,102.49,"safety_score",91.72
"07069","zcta",2023,109,102.86,95.82,93.58,"safety_score",104.08
"07070","zcta",2023,108.59,101.32,77.69,106.81,"safety_score",82.51
"07071","zcta",2023,108.59,101.7,61.29,104.28,"safety_score",77.17
"07072","zcta",2023,108.59,96.68,85.97,93.25,"safety_score",91.54
"07073","zcta",2023,108.59,99.31,54.88,141.82,"safety_score",48.98
"07074","zcta",2023,108.59,89.38,65.79,117.84,"safety_score",76.54
"07075","zcta",2023,108.59,99.28,81.31,105.86,"safety_score",87.3
"07076","zcta",2023,108.72,103.03,99.43,91.78,"safety_score",102.73
"07077","zcta",2023,108.83,95.1,88.17,85.2,"safety_score",105.27
"07078","zcta",2023,101.91,101.61,103.1,104.06,"safety_score",100.05
"07079","zcta",2023,101.91,102.09,95.96,108.52,"safety_score",90.2
"07080","zcta",2023,108.83,102.55,94.85,91.73,"safety_score",103.33
"07081","zcta",2023,108.72,102.74,75.62,106.11,"safety_score",84.95
"07082","zcta",2023,108.96,101.15,113.95,73.07,"safety_score",118.95
"07083","zcta",2023,108.72,103.4,78.79,101.4,"safety_score",89.44
"07086","zcta",2023,106.02,103.04,50.7,141.71,"safety_score",45.37
"07087","zcta",2023,106.02,103.52,1.38,135.12,"safety_score",32.85
"07088","zcta",2023,108.72,98.44,61.64,111.08,"safety_score",76.72
"07090","zcta",2023,108.72,103.16,104.36,99.27,"safety_score",98.69
"07092","zcta",2023,108.72,101.37,109.92,103.16,"safety_score",105.24
"07093","zcta",2023,106.02,103.51,7.76,131.6,"safety_score",37.4
"07094","zcta",2023,106.02,103.18,61.57,120.84,"safety_score",66.25
"07095","zcta",2023,108.83,102.32,62.82,121.98,"safety_score",68.34
"07102","zcta",2023,101.91,101.42,45.61,149.28,"safety_score",36.83
"07103","zcta",2023,101.91,102.89,44.76,131.94,"safety_score",52.12
"07104","zcta",2023,101.91,103.15,24.55,125.73,"safety_score",47.53
"07105","zcta",2023,101.91,103.17,-33.27,145.23,"safety_score",14.84
"07106","zcta",2023,101.91,102.87,27.5,123.08,"safety_score",50.59
"07107","zcta",2023,101.91,102.99,12.95,124.64,"safety_score",45.6
"07108","zcta",2023,101.91,102.65,50.11,135.1,"safety_score",52.04
"07109","zcta",2023,101.91,102.91,52.54,115.15,"safety_score",66.93
"07110","zcta",2023,104.98,102.8,80.75,107.94,"safety_score",84.65
"07111","zcta",2023,101.91,103.2,35.37,132.28,"safety_score",47.09
"07112","zcta",2023,101.91,102.62,50.15,131.3,"safety_score",53.23
"07114","zcta",2023,101.91,101.36,24.11,120.12,"safety_score",51.51
"07201","zcta",2023,108.72,103.1,-17.58,140.09,"safety_score",25.21
"07202","zcta",2023,108.72,103.33,-3,126.11,"safety_score",38.96
"07203","zcta",2023,108.72,102.97,61.64,117.54,"safety_score",71.61
"07204","zcta",2023,108.72,102.53,67.87,109.81,"safety_score",77.19
"07205","zcta",2023,108.72,102.96,57,105.79,"safety_score",77.06
"07206","zcta",2023,108.72,103.17,-23.3,125.31,"safety_score",32.01
"07208","zcta",2023,108.72,103.19,3.68,134.95,"safety_score",37.56
"07302","zcta",2023,106.02,103.49,58.93,151.84,"safety_score",40.74
"07304","zcta",2023,106.02,103.47,42.11,134.44,"safety_score",47.99
"07305","zcta",2023,106.02,103.53,41.55,117.29,"safety_score",58.85
"07306","zcta",2023,106.02,103.49,41.31,137.96,"safety_score",44.38
"07307","zcta",2023,106.02,103.43,39.82,131.58,"safety_score",47.67
"07310","zcta",2023,106.02,102.94,62.05,162.47,"safety_score",34.3
"07311","zcta",2023,106.02,98.08,69.99,176.27,"safety_score",28.67
"07401","zcta",2023,108.59,97.17,102.25,95.51,"safety_score",105.12
"07403","zcta",2023,108.05,100.66,97.5,114.82,"safety_score",87.81
