"geoid","geolevel","year","crime_score","infrastructure_score","social_cohesion_score","structural_composition_score","level","value"
"43001","zcta",2023,99.17,102.09,114.28,92.61,"safety_score",109.47
"43002","zcta",2023,83.3,61.31,118.63,144.93,"safety_score",78.27
"43003","zcta",2023,33.91,103.29,99.26,99.13,"safety_score",92.27
"43004","zcta",2023,83.3,102.73,90.95,114.32,"safety_score",85.57
"43005","zcta",2023,105.88,103.34,73.22,75.33,"safety_score",108.31
"43006","zcta",2023,105.15,103.39,120.44,90.88,"safety_score",114.55
"43008","zcta",2023,99.17,101.94,105.62,123.31,"safety_score",88.56
"43009","zcta",2023,102.41,103.61,111.3,101.6,"safety_score",105.94
"43010","zcta",2023,108.61,99.83,114.93,90.6,"safety_score",113.13
"43011","zcta",2023,68.22,103.44,111.86,91.72,"safety_score",106.27
"43013","zcta",2023,29.82,101.66,116.52,97.87,"safety_score",100.07
"43014","zcta",2023,102.93,103.63,111.93,86.68,"safety_score",113.79
"43015","zcta",2023,29.56,103.66,98.4,111.22,"safety_score",82.13
"43016","zcta",2023,47.47,103.44,87.1,122.22,"safety_score",71.05
"43017","zcta",2023,47.47,103.42,94.67,112.73,"safety_score",80.72
"43019","zcta",2023,103.02,103.51,105.87,89.79,"safety_score",106.69
"43021","zcta",2023,-39.53,103.51,117.13,93.27,"safety_score",94.22
"43022","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"43023","zcta",2023,99.17,103.42,113.56,89.59,"safety_score",112.46
"43025","zcta",2023,99.17,102.92,99.62,97.94,"safety_score",100.29
"43026","zcta",2023,94.82,103.45,94.43,118.45,"safety_score",84.09
"43028","zcta",2023,105.88,103.67,118.58,84.79,"safety_score",120.23
"43029","zcta",2023,102.5,103.21,100.04,90.82,"safety_score",105.78
"43030","zcta",2023,99.17,85.5,122.55,76.94,"safety_score",125.27
"43031","zcta",2023,29.82,103.44,108.09,97.64,"safety_score",96.23
"43032","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"43033","zcta",2023,99.17,93.47,109.55,100.82,"safety_score",103.29
"43035","zcta",2023,-39.53,103.61,94.68,111.57,"safety_score",72.58
"43036","zcta",2023,98.65,102.66,87.6,104.63,"safety_score",92
"43037","zcta",2023,105.88,103.29,101.92,72.81,"safety_score",120.08
"43040","zcta",2023,29.56,103.65,100.93,105.91,"safety_score",87.67
"43044","zcta",2023,105.79,103.59,112.95,100.89,"safety_score",105.39
"43045","zcta",2023,100.53,103.54,109.31,94.64,"safety_score",108.63
"43046","zcta",2023,-1.77,102.16,116.2,99.54,"safety_score",93.62
"43050","zcta",2023,106.61,103.68,101.24,105.84,"safety_score",96.38
"43054","zcta",2023,47.65,103.24,98.9,116.14,"safety_score",80.77
"43055","zcta",2023,99.17,103.62,95.86,112.03,"safety_score",88.62
"43056","zcta",2023,102.69,103.55,101.78,102.02,"safety_score",99.19
"43060","zcta",2023,102.33,103.56,109.78,99.57,"safety_score",103.04
"43061","zcta",2023,29.56,103.4,116.64,90.18,"safety_score",106.04
"43062","zcta",2023,-1.77,103.54,100.25,103.94,"safety_score",85.05
"43064","zcta",2023,96.1,103.11,104.71,104.53,"safety_score",99.57
"43065","zcta",2023,21.88,103.33,109.86,96.88,"safety_score",96.71
"43066","zcta",2023,-39.53,101.46,117.19,59.88,"safety_score",117.6
"43067","zcta",2023,102.3,103.46,115.22,109.49,"safety_score",101.5
"43068","zcta",2023,26.58,103.46,74.08,119.93,"safety_score",65.12
"43070","zcta",2023,102.41,102.75,122.55,73.6,"safety_score",126.95
"43071","zcta",2023,99.17,101.95,118.05,70.06,"safety_score",127.16
"43072","zcta",2023,102.41,103.66,104.88,104.65,"safety_score",99.3
"43074","zcta",2023,29.82,103.47,104.26,105.99,"safety_score",86.43
"43076","zcta",2023,33.86,103.32,111.04,95.77,"safety_score",99.66
"43077","zcta",2023,98.65,102.48,99.52,100.13,"safety_score",99.83
"43078","zcta",2023,105.51,103.66,100.13,104.89,"safety_score",96.16
"43080","zcta",2023,102.53,103.28,107.74,95.13,"safety_score",105.57
"43081","zcta",2023,21.88,103.43,91.55,123.72,"safety_score",68.09
"43082","zcta",2023,-39.53,103.61,109.25,92.9,"safety_score",90.36
"43084","zcta",2023,100.53,103.46,110.22,84.8,"safety_score",108.71
"43085","zcta",2023,83.3,102.54,99.15,110.16,"safety_score",89.09
"43101","zcta",2023,101.51,102.44,102.74,115.49,"safety_score",93.28
"43102","zcta",2023,34.3,103.2,107.63,84.11,"safety_score",106.1
"43103","zcta",2023,-0.19,103.48,103.05,105.25,"safety_score",85.32
"43105","zcta",2023,-1.77,103.16,109.89,91.1,"safety_score",96.32
"43106","zcta",2023,99.5,103.6,110.79,110.57,"safety_score",96.97
"43107","zcta",2023,35.23,103.17,107.44,94.18,"safety_score",97.92
"43109","zcta",2023,83.3,-117.84,79.97,91.96,"safety_score",99.7
"43110","zcta",2023,27.64,103.4,85.51,124.37,"safety_score",67.65
"43111","zcta",2023,103.29,102.97,109.56,85.48,"safety_score",113.98
"43112","zcta",2023,-102.72,102.62,113.23,78.22,"safety_score",92.89
"43113","zcta",2023,-0.19,103.57,103.68,110.88,"safety_score",80.67
"43115","zcta",2023,101.92,103.53,91.47,95.54,"safety_score",102.24
"43116","zcta",2023,102.34,103.62,108.16,94.65,"safety_score",109.72
"43117","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"43119","zcta",2023,94.82,103.17,94.79,107.66,"safety_score",91.66
"43123","zcta",2023,83.3,103.23,97.63,112.09,"safety_score",88.15
"43125","zcta",2023,92.82,102.66,91.42,129.52,"safety_score",74.27
"43126","zcta",2023,83.3,20,107.6,114.66,"safety_score",95.77
"43127","zcta",2023,103.29,103.33,112.72,88.83,"safety_score",113.9
"43128","zcta",2023,99.5,103.62,88.16,122.63,"safety_score",79.48
"43130","zcta",2023,0.28,103.64,100.22,110.4,"safety_score",79.24
"43135","zcta",2023,100.45,103.65,109.4,73.95,"safety_score",122.22
"43136","zcta",2023,-102.72,101.35,113.11,102.81,"safety_score",78.06
"43137","zcta",2023,92.82,96.76,97.25,108.96,"safety_score",88.47
"43138","zcta",2023,101.03,103.68,98.95,99.68,"safety_score",100.24
"43140","zcta",2023,99.42,103.25,101.14,108.21,"safety_score",94.64
"43142","zcta",2023,99.5,102.52,113.53,129.66,"safety_score",86.02
"43143","zcta",2023,102.73,103.66,107.28,99.37,"safety_score",103.59
"43144","zcta",2023,103.29,103.36,112.71,89.7,"safety_score",112.54
"43145","zcta",2023,100.92,103.61,113.22,104.58,"safety_score",101.84
"43146","zcta",2023,97.33,102.93,104.81,104.46,"safety_score",99.34
"43147","zcta",2023,26.58,103.4,101.12,101.51,"safety_score",90.23
"43148","zcta",2023,1.2,102.3,106.53,94.44,"safety_score",93.31
"43149","zcta",2023,103.29,103.64,115.37,86.58,"safety_score",117.47
"43150","zcta",2023,1.2,102.49,108.23,94.05,"safety_score",91.1
"43151","zcta",2023,106.35,102.97,96.89,114.24,"safety_score",91.6
"43152","zcta",2023,98.98,103.62,108.62,72.34,"safety_score",122.93
"43153","zcta",2023,103.57,103.04,89.38,111.57,"safety_score",89.9
"43154","zcta",2023,-0.19,102.89,98.67,94.48,"safety_score",91.86
"43155","zcta",2023,0.28,102.57,110.82,83.81,"safety_score",104.62
"43156","zcta",2023,102.34,102.62,121.27,104.74,"safety_score",104.68
"43157","zcta",2023,-102.72,95.04,108.71,107.84,"safety_score",70.18
"43158","zcta",2023,103.29,103.13,107.1,136.57,"safety_score",80.05
"43160","zcta",2023,100.51,103.68,100.52,114.16,"safety_score",90.03
"43162","zcta",2023,106.35,103.66,105.87,102.08,"safety_score",101.51
"43164","zcta",2023,101.92,103.55,109.54,108.93,"safety_score",99.28
"43201","zcta",2023,83.3,102.8,82.83,185.76,"safety_score",30.76
"43202","zcta",2023,83.3,102.19,81.22,157.98,"safety_score",48.84
"43203","zcta",2023,83.3,100.37,66.52,144.49,"safety_score",51.78
"43204","zcta",2023,83.3,102.99,77.51,130.6,"safety_score",68.11
"43205","zcta",2023,83.3,101.26,81.09,145.86,"safety_score",57.51
"43206","zcta",2023,83.3,102.32,96.32,145.4,"safety_score",64
"43207","zcta",2023,83.3,103.04,91.82,118.8,"safety_score",82.2
"43209","zcta",2023,83.3,102.63,92.49,121.86,"safety_score",78.44
"43210","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"43211","zcta",2023,83.3,102.38,70.87,137.42,"safety_score",62.43
"43212","zcta",2023,83.3,102.38,86.51,150.31,"safety_score",54.04
"43213","zcta",2023,83.3,102.85,69.29,135.33,"safety_score",59.95
"43214","zcta",2023,83.3,102.55,97.33,122.61,"safety_score",79.4
"43215","zcta",2023,83.3,101.92,71.87,173.23,"safety_score",30.29
"43217","zcta",2023,83.3,88.78,39.83,163.48,"safety_score",27
"43219","zcta",2023,83.3,102.76,62.8,135.32,"safety_score",58.29
"43220","zcta",2023,83.3,102.67,80.81,132.45,"safety_score",63.91
"43221","zcta",2023,83.3,102.83,97.85,116.3,"safety_score",85.03
"43222","zcta",2023,83.3,96.48,81.42,132.31,"safety_score",68.52
"43223","zcta",2023,83.3,102.59,84.96,135.48,"safety_score",67.9
"43224","zcta",2023,83.3,103,64.2,122.6,"safety_score",67.29
"43227","zcta",2023,83.3,102.5,77.87,123.38,"safety_score",72.54
"43228","zcta",2023,83.3,103.17,68.33,134.76,"safety_score",59.93
"43229","zcta",2023,83.3,103.13,63.19,136.14,"safety_score",56.89
