"geoid","geolevel","year","crime_score","infrastructure_score","social_cohesion_score","structural_composition_score","level","value"
"29001","zcta",2023,93.7,108.17,105.39,94.78,"safety_score",106.77
"29003","zcta",2023,77.73,109.11,106.54,97.91,"safety_score",101.14
"29006","zcta",2023,86.19,106.29,92.24,98.47,"safety_score",98.58
"29009","zcta",2023,94.6,118.01,106.99,73.98,"safety_score",121.29
"29010","zcta",2023,93.42,119.49,100.71,98.65,"safety_score",102.73
"29014","zcta",2023,95.9,118.29,120.31,78.96,"safety_score",123.11
"29015","zcta",2023,101.12,115.57,116.54,77.2,"safety_score",122.93
"29016","zcta",2023,86.97,109.17,110.29,102.12,"safety_score",102.83
"29018","zcta",2023,73.13,109.63,107.86,102.72,"safety_score",99.98
"29020","zcta",2023,93.42,119.49,104.56,98.96,"safety_score",104.85
"29030","zcta",2023,96.38,119.55,113.7,83.22,"safety_score",118.02
"29031","zcta",2023,97.14,121.12,105.31,84.92,"safety_score",114.99
"29032","zcta",2023,93.42,119.49,110.79,99.11,"safety_score",108
"29033","zcta",2023,60.55,91.61,90.24,126.45,"safety_score",73.81
"29036","zcta",2023,79.21,102.58,115.28,96.21,"safety_score",108.07
"29037","zcta",2023,99.84,117.44,120.19,87.91,"safety_score",118.07
"29038","zcta",2023,94.37,112.3,110.95,82.05,"safety_score",116.1
"29039","zcta",2023,94.37,112.3,111.94,89.81,"safety_score",111.16
"29040","zcta",2023,90.13,111.92,108.24,113.4,"safety_score",97.7
"29042","zcta",2023,77.73,109.11,98.93,104.07,"safety_score",94.16
"29044","zcta",2023,72.83,102.78,104.52,92.38,"safety_score",104.46
"29045","zcta",2023,92.47,110.18,101.01,114.11,"safety_score",93.78
"29046","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"29047","zcta",2023,96.38,119.55,107.76,88.1,"safety_score",113.59
"29048","zcta",2023,94.37,112.3,102.28,93.87,"safety_score",106.3
"29051","zcta",2023,93.7,108.17,117.33,67.16,"safety_score",127.45
"29052","zcta",2023,72.83,102.78,99.43,94.07,"safety_score",101.98
"29053","zcta",2023,79.47,109.2,89.7,107.61,"safety_score",92.74
"29054","zcta",2023,60.55,91.61,114.86,90.21,"safety_score",107.91
"29055","zcta",2023,95.9,118.29,108.11,75.51,"safety_score",120.44
"29056","zcta",2023,90.97,123.05,114.74,88.82,"safety_score",114.22
"29058","zcta",2023,102.62,111.87,115.08,105.7,"safety_score",104.32
"29059","zcta",2023,89.46,110.18,105.53,73.08,"safety_score",117.73
"29061","zcta",2023,72.83,102.78,109.41,103.55,"safety_score",99.2
"29062","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"29063","zcta",2023,66.69,97.19,106.39,108.56,"safety_score",94.69
"29065","zcta",2023,101.12,115.57,110.18,73.61,"safety_score",123.03
"29067","zcta",2023,102.62,111.87,110.25,96.87,"safety_score",107.37
"29069","zcta",2023,87.16,116.41,100.4,89.83,"safety_score",107.25
"29070","zcta",2023,80.58,104.29,107.51,92.31,"safety_score",107.76
"29072","zcta",2023,60.55,91.61,103.87,103.65,"safety_score",95.03
"29073","zcta",2023,60.55,91.61,105.5,102.04,"safety_score",97.56
"29074","zcta",2023,103.46,112.18,122.3,94.7,"safety_score",114.99
