"geoid","geolevel","year","crime_score","infrastructure_score","social_cohesion_score","structural_composition_score","level","value"
"53001","zcta",2023,104.1,103.04,111.62,78.34,"safety_score",119.92
"53002","zcta",2023,105.31,102.7,98.56,92.25,"safety_score",104.91
"53003","zcta",2023,104.11,99.37,114.82,86.8,"safety_score",114.12
"53004","zcta",2023,105.14,103.13,107.35,79.51,"safety_score",116.56
"53005","zcta",2023,105.57,103.32,108.22,96.93,"safety_score",104.64
"53006","zcta",2023,102.57,103.4,100.81,92.97,"safety_score",105.62
"53007","zcta",2023,105.57,99.65,72.26,133.56,"safety_score",62.63
"53010","zcta",2023,103.88,103.43,108.52,80.35,"safety_score",117.11
"53011","zcta",2023,102.57,103.3,107.08,91.35,"safety_score",109.86
"53012","zcta",2023,105.82,103.51,103.46,98.06,"safety_score",101.68
"53013","zcta",2023,104.62,103.26,105.99,89.06,"safety_score",111.23
"53014","zcta",2023,94.51,103.62,104.35,87.44,"safety_score",106.88
"53015","zcta",2023,105.48,103.36,103.18,78.8,"safety_score",117.28
"53016","zcta",2023,104.11,102.36,96.92,116.71,"safety_score",87.31
"53017","zcta",2023,106.04,102.48,120.56,84.55,"safety_score",119.77
"53018","zcta",2023,105.57,102.66,99.37,98.13,"safety_score",99.91
"53019","zcta",2023,101.04,103.35,101.86,93.17,"safety_score",105.66
"53020","zcta",2023,95.53,103.48,112.5,77.55,"safety_score",119.56
"53021","zcta",2023,105.25,103.1,102.45,90.32,"safety_score",107.56
"53022","zcta",2023,106.51,103.45,97.25,103.14,"safety_score",94.63
"53023","zcta",2023,104.1,102.78,116.62,76.84,"safety_score",123.51
"53024","zcta",2023,105.14,103.58,96.86,110.48,"safety_score",90.23
"53027","zcta",2023,105.31,103.58,102.5,96.04,"safety_score",102.7
"53029","zcta",2023,106.04,103.39,101.95,93.34,"safety_score",105.97
"53031","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"53032","zcta",2023,104.11,103.58,96.91,93.9,"safety_score",99.14
"53033","zcta",2023,106.51,102.94,118.6,72.06,"safety_score",127.16
