"geoid","geolevel","year","crime_score","infrastructure_score","social_cohesion_score","structural_composition_score","level","value"
"82001","zcta",2023,102,103.53,101.71,125.14,"safety_score",82.89
"82005","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"82007","zcta",2023,102,103.41,95.8,122.91,"safety_score",83.39
"82009","zcta",2023,102,103.51,108.45,103.58,"safety_score",101.13
"82050","zcta",2023,102,82.82,104.32,67.17,"safety_score",124.53
"82051","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"82052","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"82053","zcta",2023,102,99.78,98.54,98.88,"safety_score",102.98
"82054","zcta",2023,102,96.67,109.69,117.96,"safety_score",93.42
"82055","zcta",2023,103.19,102.86,122.55,80.53,"safety_score",123.78
"82058","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"82059","zcta",2023,102,81.77,118.98,63.79,"safety_score",132.78
"82060","zcta",2023,102,87.76,83.62,153.03,"safety_score",66.83
"82061","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"82070","zcta",2023,103.19,103.67,97.07,142.22,"safety_score",70.36
"82072","zcta",2023,103.19,103.67,93.06,157.85,"safety_score",57.69
"82073","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"82081","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"82082","zcta",2023,94.08,101.36,112.6,99.27,"safety_score",104.83
"82083","zcta",2023,103.19,97.49,115.67,138.51,"safety_score",80.5
"82084","zcta",2023,103.19,101.83,122.55,67.08,"safety_score",131.13
"82190","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"82201","zcta",2023,103.19,103.66,110.12,112.12,"safety_score",96.34
"82210","zcta",2023,103.84,103.69,118.14,90.99,"safety_score",113.61
"82212","zcta",2023,103.84,103.69,122.19,121.71,"safety_score",97.82
"82213","zcta",2023,105.03,103.69,95.87,90.62,"safety_score",107.31
"82214","zcta",2023,105.03,103.69,107.19,91.09,"safety_score",110.22
"82215","zcta",2023,105.03,103.69,122.55,100.7,"safety_score",108.76
"82217","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"82219","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"82221","zcta",2023,102.92,98.03,118.42,149.24,"safety_score",77.18
"82222","zcta",2023,102.98,103.69,122.55,94.97,"safety_score",112.71
"82223","zcta",2023,103.84,103.69,119.68,108.78,"safety_score",101.35
"82224","zcta",2023,NA,NA,NA,NA,"safety_score",NA
"82225","zcta",2023,103.41,103.69,107.79,115.65,"safety_score",92.61
"82227","zcta",2023,102.98,103.69,117.46,91.4,"safety_score",113.6
